Team 1,Team 2,Date,Outcome,1-ORtg,1-DRtg,1-3PAr,1-TS%,1-TRB%,1-AST%,1-STL%,1-BLK%,1-eFG%,1-TOV%,1-ORB%,1-FTr,1-oeFG%,1-oTOV%,1-oDRB%,1-oFTr,1-Pace,1-o3PAr,2-ORtg,2-DRtg,2-3PAr,2-TS%,2-TRB%,2-AST%,2-STL%,2-BLK%,2-eFG%,2-TOV%,2-ORB%,2-FTr,2-oeFG%,2-oTOV%,2-oDRB%,2-oFTr,2-Pace,2-o3PAr
Albany (NY),Florida,2014-03-20,0,101.4799154334038,97.8850419855751,0.2615933412604043,0.5402864705736833,0.5299896587383661,0.4912751677852349,0.0836227221518914,0.0872246696035242,0.4901902497027348,0.1909718188787956,0.3050108932461873,0.4244946492271106,0.4816564758198999,0.1909385489134853,0.6949891067538126,0.2884936075597554,4304.674999999999,0.3690939410783769,109.34054693005386,90.00571102227298,0.3528428093645485,0.5557994961983777,0.5394673123486683,0.5476477683956574,0.1119360365505425,0.0810359231411863,0.5270345596432553,0.17367188743152,0.3439363817097415,0.4336677814938685,0.4513451631368059,0.1745288406624786,0.6560636182902585,0.3262736119061248,4388.3,0.3148254149971379
American,Wisconsin,2014-03-20,0,104.12213740458016,93.85396603046752,0.3563758389261744,0.5889464594127807,0.5113306217315514,0.6567164179104478,0.0965555194236686,0.1011959521619135,0.562751677852349,0.2173027989821883,0.2535031847133758,0.348993288590604,0.4592096876991714,0.2136228331290492,0.7464968152866241,0.4117272147864882,3963.85,0.307202039515615,114.5486725663717,98.18579738524448,0.3931232091690544,0.574914130048561,0.5121334681496461,0.5006257822277848,0.0760237286183263,0.0828571428571428,0.5312320916905444,0.1217699115044248,0.2617801047120419,0.4412607449856733,0.4754666666666666,0.1188734665668375,0.7382198952879581,0.2586666666666666,4289.125,0.2533333333333333
Arizona,Weber State,2014-03-21,1,109.1316477385058,86.71718223986491,0.2652310924369748,0.5444622230015562,0.5696798493408662,0.5751121076233184,0.0877260316033028,0.1073025335320417,0.5157563025210085,0.1546471014651934,0.3486328125,0.4170168067226891,0.4222100054975261,0.1543978156218131,0.6513671875,0.3446948873007147,4555.975,0.2622319956019791,110.72437449556092,99.10861916779592,0.3689516129032258,0.5960139024655153,0.5300487276664861,0.5586592178770949,0.0611658813729999,0.0904295403165034,0.5534274193548387,0.1866424535916061,0.2739234449760765,0.5,0.4606643356643357,0.1839949277073983,0.7260765550239234,0.3397435897435897,3993.3250000000007,0.2266899766899767
Arizona,Gonzaga,2014-03-23,1,109.1316477385058,86.71718223986491,0.2652310924369748,0.5444622230015562,0.5696798493408662,0.5751121076233184,0.0877260316033028,0.1073025335320417,0.5157563025210085,0.1546471014651934,0.3486328125,0.4170168067226891,0.4222100054975261,0.1543978156218131,0.6513671875,0.3446948873007147,4555.975,0.2622319956019791,113.64500602992145,95.0038134728384,0.3275954814416353,0.5916222667164398,0.530893536121673,0.5394594594594595,0.0975389672471022,0.1053446940356312,0.5621301775147929,0.1621016720809204,0.2943632567849686,0.3975255513717052,0.445176594623089,0.160273280983124,0.7056367432150313,0.3842909857670005,4628.300000000001,0.3194517659462308
Arizona,San Diego State,2014-03-27,1,109.1316477385058,86.71718223986491,0.2652310924369748,0.5444622230015562,0.5696798493408662,0.5751121076233184,0.0877260316033028,0.1073025335320417,0.5157563025210085,0.1546471014651934,0.3486328125,0.4170168067226891,0.4222100054975261,0.1543978156218131,0.6513671875,0.3446948873007147,4555.975,0.2622319956019791,106.13583564888629,85.54265118141771,0.2548596112311015,0.5188616220549592,0.5392670157068062,0.4135802469135802,0.118999942788489,0.1441899915182358,0.4829913606911447,0.1480435475789186,0.3488372093023256,0.4470842332613391,0.4306192660550458,0.1487499284856113,0.6511627906976745,0.3125,4380.174999999999,0.3239678899082568
Arizona,Wisconsin,2014-03-29,0,109.1316477385058,86.71718223986491,0.2652310924369748,0.5444622230015562,0.5696798493408662,0.5751121076233184,0.0877260316033028,0.1073025335320417,0.5157563025210085,0.1546471014651934,0.3486328125,0.4170168067226891,0.4222100054975261,0.1543978156218131,0.6513671875,0.3446948873007147,4555.975,0.2622319956019791,114.5486725663717,98.18579738524448,0.3931232091690544,0.574914130048561,0.5121334681496461,0.5006257822277848,0.0760237286183263,0.0828571428571428,0.5312320916905444,0.1217699115044248,0.2617801047120419,0.4412607449856733,0.4754666666666666,0.1188734665668375,0.7382198952879581,0.2586666666666666,4289.125,0.2533333333333333
Arizona State,Texas,2014-03-20,0,104.88609309132212,95.6234069092684,0.3747216035634744,0.5572963814033377,0.4865603644646925,0.5611866501854141,0.0715873962796247,0.1312545322697607,0.5228285077951003,0.1594478299805605,0.2211538461538461,0.4198218262806236,0.4598003152916448,0.1583599978306849,0.7788461538461539,0.3704676826064109,4594.025,0.2753547031003678,103.93694095650878,98.1326765676918,0.2643037974683544,0.5124981666561904,0.5564270152505446,0.4947121034077555,0.080680261998535,0.1600646725949878,0.4736708860759493,0.169970467631249,0.3831858407079646,0.4384810126582278,0.4595645412130638,0.1698531831548105,0.6168141592920354,0.4048729911871436,4708.325000000001,0.3587350959046138
Baylor,Nebraska,2014-03-21,1,112.3130427361369,103.21662335421674,0.3460754332313965,0.5549347445655612,0.5481152993348115,0.587248322147651,0.0789328962550006,0.1438102297998517,0.5231906218144751,0.175382448953466,0.4012797074954296,0.4393476044852191,0.4841505695889054,0.1772755210972966,0.5987202925045704,0.3184744923229321,4661.875,0.3318474492322932,100.772655046517,97.6877489556009,0.3331288343558282,0.5295564932498757,0.4856845393024466,0.4267241379310345,0.1034683765665986,0.0884615384615384,0.4834355828220859,0.1596254381815315,0.2397905759162303,0.4276073619631901,0.4768089053803339,0.1598173515981735,0.7602094240837697,0.4304267161410018,4119.674999999999,0.3568336425479282
Baylor,Creighton,2014-03-23,1,112.3130427361369,103.21662335421674,0.3460754332313965,0.5549347445655612,0.5481152993348115,0.587248322147651,0.0789328962550006,0.1438102297998517,0.5231906218144751,0.175382448953466,0.4012797074954296,0.4393476044852191,0.4841505695889054,0.1772755210972966,0.5987202925045704,0.3184744923229321,4661.875,0.3318474492322932,119.40502183406112,101.24681470695307,0.4466446644664466,0.6207434733257662,0.5152423788105946,0.6449834619625138,0.061430651619949,0.0377358490566037,0.592959295929593,0.1464701601164483,0.258414766558089,0.3432343234323432,0.4804812834224599,0.1465234801601747,0.741585233441911,0.3294117647058823,4396.0,0.3481283422459893
Baylor,Wisconsin,2014-03-27,0,112.3130427361369,103.21662335421674,0.3460754332313965,0.5549347445655612,0.5481152993348115,0.587248322147651,0.0789328962550006,0.1438102297998517,0.5231906218144751,0.175382448953466,0.4012797074954296,0.4393476044852191,0.4841505695889054,0.1772755210972966,0.5987202925045704,0.3184744923229321,4661.875,0.3318474492322932,114.5486725663717,98.18579738524448,0.3931232091690544,0.574914130048561,0.5121334681496461,0.5006257822277848,0.0760237286183263,0.0828571428571428,0.5312320916905444,0.1217699115044248,0.2617801047120419,0.4412607449856733,0.4754666666666666,0.1188734665668375,0.7382198952879581,0.2586666666666666,4289.125,0.2533333333333333
