Index,Team,G,Date,Site,Opponent,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,oFG,oFGA,oFG%,o3P,o3PA,o3P%,oFT,oFTA,oFT%,oORB,oTRB,oAST,oSTL,oBLK,oTOV,oPF
18,Abilene Christian,19,2021-02-08,@,Texas A&M-Corpus Christi,W,82.0,69.0,31.0,60.0,0.517,6.0,15.0,0.4,14.0,21.0,0.667,10.0,30.0,20.0,8.0,3.0,8.0,16.0,23.0,49.0,0.469,5.0,13.0,0.385,18.0,20.0,0.9,5.0,27.0,11.0,2.0,1.0,16.0,18.0
19,Abilene Christian,20,2021-02-10,,Houston Christian,W,88.0,59.0,33.0,71.0,0.465,13.0,28.0,0.464,9.0,18.0,0.5,17.0,40.0,26.0,18.0,4.0,19.0,22.0,20.0,56.0,0.357,4.0,21.0,0.19,15.0,23.0,0.652,10.0,33.0,11.0,14.0,6.0,24.0,17.0
20,Abilene Christian,21,2021-02-13,,Texas A&M-Corpus Christi,W,83.0,55.0,27.0,56.0,0.482,7.0,26.0,0.269,22.0,27.0,0.815,5.0,30.0,19.0,13.0,6.0,13.0,24.0,15.0,51.0,0.294,3.0,14.0,0.214,22.0,30.0,0.733,7.0,31.0,7.0,6.0,2.0,23.0,21.0
21,Abilene Christian,22,2021-02-24,,Sam Houston,W,86.0,72.0,29.0,57.0,0.509,10.0,19.0,0.526,18.0,22.0,0.818,8.0,28.0,21.0,6.0,3.0,14.0,12.0,29.0,60.0,0.483,5.0,20.0,0.25,9.0,11.0,0.818,6.0,25.0,14.0,9.0,4.0,12.0,20.0
22,Abilene Christian,23,2021-02-27,@,Central Arkansas,L,82.0,84.0,28.0,62.0,0.452,12.0,23.0,0.522,14.0,22.0,0.636,6.0,31.0,23.0,9.0,1.0,11.0,25.0,28.0,55.0,0.509,7.0,19.0,0.368,21.0,33.0,0.636,9.0,37.0,16.0,5.0,4.0,13.0,19.0
23,Abilene Christian,24,2021-03-03,@,Stephen F. Austin,W,63.0,61.0,22.0,45.0,0.489,4.0,13.0,0.308,15.0,26.0,0.577,7.0,25.0,13.0,4.0,1.0,22.0,30.0,18.0,41.0,0.439,2.0,15.0,0.133,23.0,35.0,0.657,3.0,22.0,7.0,15.0,1.0,15.0,21.0
24,Abilene Christian,25,2021-03-06,,Incarnate Word,W,85.0,60.0,30.0,68.0,0.441,12.0,33.0,0.364,13.0,14.0,0.929,13.0,42.0,22.0,14.0,5.0,13.0,18.0,19.0,53.0,0.358,10.0,24.0,0.417,12.0,16.0,0.75,5.0,27.0,14.0,7.0,2.0,18.0,11.0
25,Abilene Christian,26,2021-03-12,N,Lamar,W,93.0,71.0,34.0,64.0,0.531,9.0,21.0,0.429,16.0,21.0,0.762,11.0,32.0,22.0,11.0,2.0,10.0,12.0,29.0,56.0,0.518,7.0,15.0,0.467,6.0,8.0,0.75,5.0,23.0,9.0,6.0,8.0,16.0,17.0
26,Abilene Christian,27,2021-03-13,N,Nicholls State,W,79.0,45.0,29.0,64.0,0.453,11.0,22.0,0.5,10.0,11.0,0.909,13.0,51.0,19.0,12.0,3.0,16.0,15.0,19.0,64.0,0.297,4.0,27.0,0.148,3.0,11.0,0.273,12.0,32.0,8.0,10.0,6.0,15.0,12.0
27,Abilene Christian,28,2021-03-20,N,Texas,W,53.0,52.0,20.0,67.0,0.299,3.0,18.0,0.167,10.0,12.0,0.833,13.0,30.0,9.0,11.0,0.0,9.0,15.0,18.0,40.0,0.45,7.0,20.0,0.35,9.0,11.0,0.818,5.0,30.0,15.0,6.0,9.0,22.0,16.0
28,Abilene Christian,29,2021-03-22,N,UCLA,L,47.0,67.0,17.0,57.0,0.298,4.0,19.0,0.211,9.0,11.0,0.818,7.0,30.0,13.0,3.0,2.0,9.0,15.0,27.0,58.0,0.466,7.0,19.0,0.368,6.0,13.0,0.462,11.0,41.0,15.0,4.0,4.0,7.0,15.0
29,Air Force,1,2020-11-28,N,Cal State Northridge,W,66.0,61.0,21.0,48.0,0.438,11.0,25.0,0.44,13.0,19.0,0.684,3.0,28.0,14.0,5.0,2.0,13.0,17.0,20.0,55.0,0.364,7.0,29.0,0.241,14.0,18.0,0.778,6.0,31.0,7.0,6.0,0.0,10.0,16.0
30,Air Force,2,2020-11-29,N,Seattle,L,45.0,63.0,16.0,40.0,0.4,6.0,20.0,0.3,7.0,8.0,0.875,4.0,22.0,9.0,2.0,0.0,15.0,15.0,24.0,57.0,0.421,11.0,29.0,0.379,4.0,6.0,0.667,6.0,24.0,16.0,4.0,3.0,5.0,13.0
31,Air Force,3,2020-12-05,,Lamar,W,59.0,44.0,21.0,41.0,0.512,9.0,21.0,0.429,8.0,11.0,0.727,1.0,28.0,16.0,9.0,4.0,15.0,16.0,16.0,50.0,0.32,1.0,6.0,0.167,11.0,16.0,0.688,5.0,26.0,3.0,9.0,3.0,12.0,15.0
32,Air Force,4,2020-12-13,@,Drake,L,53.0,81.0,17.0,49.0,0.347,4.0,18.0,0.222,15.0,20.0,0.75,3.0,18.0,5.0,10.0,0.0,12.0,12.0,31.0,55.0,0.564,10.0,24.0,0.417,9.0,14.0,0.643,10.0,37.0,16.0,7.0,2.0,13.0,19.0
33,Air Force,5,2020-12-18,@,Nevada,L,57.0,74.0,19.0,46.0,0.413,6.0,17.0,0.353,13.0,23.0,0.565,4.0,20.0,14.0,10.0,1.0,15.0,20.0,24.0,47.0,0.511,8.0,21.0,0.381,18.0,27.0,0.667,8.0,36.0,18.0,6.0,3.0,18.0,25.0
34,Air Force,6,2020-12-20,@,Nevada,W,68.0,66.0,23.0,47.0,0.489,6.0,19.0,0.316,16.0,18.0,0.889,4.0,23.0,16.0,9.0,1.0,13.0,19.0,23.0,54.0,0.426,2.0,24.0,0.083,18.0,26.0,0.692,11.0,31.0,14.0,6.0,2.0,16.0,19.0
35,Air Force,7,2020-12-31,,Utah State,L,48.0,83.0,17.0,36.0,0.472,5.0,19.0,0.263,9.0,14.0,0.643,5.0,19.0,12.0,3.0,2.0,24.0,11.0,34.0,65.0,0.523,12.0,30.0,0.4,3.0,6.0,0.5,15.0,31.0,24.0,11.0,1.0,8.0,21.0
36,Air Force,8,2021-01-02,,Utah State,L,53.0,72.0,19.0,47.0,0.404,5.0,14.0,0.357,10.0,12.0,0.833,4.0,19.0,8.0,9.0,3.0,16.0,15.0,30.0,55.0,0.545,7.0,19.0,0.368,5.0,10.0,0.5,12.0,36.0,15.0,7.0,7.0,18.0,15.0
37,Air Force,9,2021-01-06,@,Boise State,L,59.0,78.0,23.0,49.0,0.469,5.0,21.0,0.238,8.0,12.0,0.667,2.0,19.0,10.0,6.0,1.0,14.0,15.0,26.0,54.0,0.481,10.0,22.0,0.455,16.0,18.0,0.889,6.0,31.0,18.0,8.0,2.0,14.0,15.0
