Index,Team,G,Date,Site,Opponent,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,oFG,oFGA,oFG%,o3P,o3PA,o3P%,oFT,oFTA,oFT%,oORB,oTRB,oAST,oSTL,oBLK,oTOV,oPF
0,Abilene Christian,1,2014-11-14,,NON-FBS-SCHOOL,W,101,61,39,69,0.565,12,25,0.48,11,16,0.688,10,38,24,14,1,14,31,16.0,45.0,0.356,0.0,13.0,0.0,29.0,39.0,0.744,7.0,25.0,3.0,2.0,2.0,22.0,20.0
1,Abilene Christian,2,2014-11-19,@,Tulsa,L,39,65,15,55,0.273,5,22,0.227,4,7,0.571,9,26,12,9,2,13,22,23.0,49.0,0.469,5.0,14.0,0.357,14.0,25.0,0.56,13.0,42.0,12.0,8.0,7.0,14.0,11.0
2,Abilene Christian,3,2014-11-22,,Duquesne,L,81,102,25,62,0.403,6,14,0.429,25,32,0.781,9,27,11,6,1,11,26,34.0,57.0,0.596,12.0,23.0,0.522,22.0,34.0,0.647,9.0,39.0,13.0,6.0,5.0,15.0,26.0
3,Abilene Christian,4,2014-11-25,,NON-FBS-SCHOOL,W,91,65,32,72,0.444,10,30,0.333,17,25,0.68,19,40,25,13,2,14,25,20.0,42.0,0.476,7.0,14.0,0.5,18.0,29.0,0.621,7.0,31.0,6.0,7.0,2.0,30.0,23.0
4,Abilene Christian,5,2014-11-29,@,UC Riverside,L,56,76,19,53,0.358,7,16,0.438,11,13,0.846,6,19,10,10,3,12,15,28.0,58.0,0.483,8.0,16.0,0.5,12.0,19.0,0.632,17.0,44.0,15.0,8.0,5.0,15.0,14.0
5,Abilene Christian,6,2014-12-04,,Sacramento State,W,72,61,23,45,0.511,7,17,0.412,19,24,0.792,5,26,17,2,0,17,23,17.0,53.0,0.321,5.0,21.0,0.238,22.0,31.0,0.71,17.0,32.0,9.0,10.0,3.0,14.0,22.0
6,Abilene Christian,7,2014-12-06,@,Houston,L,59,71,22,67,0.328,8,31,0.258,7,8,0.875,11,31,14,4,2,10,20,22.0,50.0,0.44,10.0,22.0,0.455,17.0,23.0,0.739,9.0,37.0,15.0,3.0,7.0,11.0,13.0
7,Abilene Christian,8,2014-12-13,,NON-FBS-SCHOOL,W,76,48,24,61,0.393,7,18,0.389,21,27,0.778,12,32,13,10,2,12,28,11.0,47.0,0.234,3.0,14.0,0.214,23.0,33.0,0.697,9.0,35.0,4.0,7.0,2.0,23.0,22.0
8,Abilene Christian,9,2014-12-17,@,Loyola (IL),L,44,83,14,55,0.255,6,22,0.273,10,12,0.833,6,15,7,10,0,10,18,27.0,42.0,0.643,9.0,14.0,0.643,20.0,26.0,0.769,6.0,41.0,17.0,5.0,2.0,14.0,13.0
9,Abilene Christian,10,2014-12-20,@,Boise State,L,33,77,11,55,0.2,6,19,0.316,5,6,0.833,11,21,4,4,0,9,12,31.0,52.0,0.596,10.0,20.0,0.5,5.0,6.0,0.833,8.0,40.0,17.0,2.0,6.0,12.0,7.0
10,Abilene Christian,11,2014-12-22,N,South Carolina State,W,65,59,23,54,0.426,8,24,0.333,11,18,0.611,6,24,14,7,0,14,21,18.0,45.0,0.4,4.0,15.0,0.267,19.0,24.0,0.792,7.0,35.0,11.0,8.0,6.0,22.0,21.0
11,Abilene Christian,12,2014-12-23,N,Arkansas-Pine Bluff,W,69,61,24,45,0.533,10,20,0.5,11,16,0.688,5,27,15,7,2,18,21,20.0,53.0,0.377,5.0,19.0,0.263,16.0,20.0,0.8,11.0,29.0,5.0,3.0,2.0,14.0,19.0
12,Abilene Christian,13,2014-12-28,@,Grand Canyon,L,81,83,31,59,0.525,9,22,0.409,10,16,0.625,3,21,11,4,2,11,27,29.0,47.0,0.617,4.0,11.0,0.364,21.0,35.0,0.6,3.0,26.0,19.0,7.0,1.0,16.0,18.0
