Index,Team,G,Date,Site,Opponent,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,oFG,oFGA,oFG%,o3P,o3PA,o3P%,oFT,oFTA,oFT%,oORB,oTRB,oAST,oSTL,oBLK,oTOV,oPF
0,Abilene Christian,1,2023-11-06,@,Oklahoma State,W,64,59,26,57,.456,5,18,.278,7,11,.636,7,32,13,4,1,15,18,23,56,.411,5,23,.217,8,20,.400,6,32,13,9,2,12,16
1,Abilene Christian,2,2023-11-10,@,NC State,L,64,84,20,57,.351,5,17,.294,19,27,.704,14,34,12,4,3,11,19,29,62,.468,6,22,.273,20,24,.833,12,34,12,4,3,7,20
2,Abilene Christian,3,2023-11-14,,Prairie View,L,74,79,23,60,.383,5,19,.263,23,29,.793,13,34,9,8,1,14,25,21,49,.429,4,10,.400,33,34,.971,8,34,7,8,5,14,23
3,Abilene Christian,4,2023-11-17,N,San Jose State,W,77,71,25,59,.424,7,15,.467,20,26,.769,7,27,13,1,3,5,14,28,61,.459,8,25,.320,7,12,.583,9,35,13,4,3,6,18
4,Abilene Christian,5,2023-11-19,N,Fordham,W,59,45,22,55,.400,3,12,.250,12,17,.706,6,29,9,11,1,9,19,16,54,.296,1,12,.083,12,21,.571,16,41,3,5,3,19,16
5,Abilene Christian,6,2023-11-20,N,Missouri State,L,69,87,25,59,.424,7,16,.438,12,19,.632,5,21,12,11,2,12,22,30,52,.577,7,18,.389,20,27,.741,8,39,16,5,3,15,18
6,Abilene Christian,7,2023-11-29,@,UT Arlington,L,71,86,25,55,.455,8,17,.471,13,19,.684,5,22,20,11,1,15,22,27,47,.574,12,22,.545,20,28,.714,5,29,25,9,4,17,18
7,Abilene Christian,8,2023-12-02,,Stephen F. Austin,L (1 OT),74,79,21,55,.382,4,17,.235,28,35,.800,3,26,9,15,2,22,24,26,57,.456,8,22,.364,19,29,.655,11,43,8,8,5,28,26
8,Abilene Christian,9,2023-12-06,,Northern Arizona,L,76,78,23,60,.383,5,19,.263,25,31,.806,9,28,9,12,1,10,18,28,57,.491,6,18,.333,16,20,.800,10,41,13,5,4,21,26
9,Abilene Christian,10,2023-12-10,,NON-FBS-SCHOOL,W,120,69,46,76,.605,8,25,.320,20,32,.625,16,57,32,8,0,17,24,24,66,.364,8,25,.320,13,25,.520,5,23,9,9,1,18,23
10,Abilene Christian,11,2023-12-17,,UTEP,W,88,82,24,42,.571,6,13,.462,34,48,.708,5,30,13,5,1,23,25,26,62,.419,5,15,.333,25,36,.694,14,32,12,15,0,15,33
11,Abilene Christian,12,2023-12-21,@,Arkansas,L,73,83,28,72,.389,4,16,.250,13,20,.650,9,30,15,10,1,8,21,27,52,.519,7,15,.467,22,28,.786,7,45,9,2,6,17,17
12,Abilene Christian,13,2023-12-30,@,Western Kentucky,L,84,86,32,75,.427,11,22,.500,9,9,1.000,7,31,18,6,0,9,16,35,69,.507,7,20,.350,9,15,.600,10,40,13,7,4,11,13
13,Abilene Christian,14,2024-01-06,,Texas-Rio Grande Valley,W (1 OT),91,89,31,58,.534,4,12,.333,25,39,.641,5,31,17,8,4,15,22,32,62,.516,6,19,.316,19,28,.679,8,34,18,9,2,21,28
14,Abilene Christian,15,2024-01-11,@,Grand Canyon,L,64,74,24,59,.407,2,10,.200,14,17,.824,6,27,10,6,0,10,21,25,52,.481,5,17,.294,19,22,.864,6,34,15,3,8,15,15
15,Abilene Christian,16,2024-01-13,@,California Baptist,L,53,68,20,56,.357,1,12,.083,12,17,.706,9,27,7,7,2,11,20,23,57,.404,5,17,.294,17,22,.773,13,40,10,4,6,11,15
16,Abilene Christian,17,2024-01-18,@,Tarleton State,L,71,79,24,61,.393,9,18,.500,14,17,.824,8,30,13,6,3,9,21,30,57,.526,6,15,.400,13,24,.542,10,36,16,5,5,9,19
17,Abilene Christian,18,2024-01-20,,UT Arlington,W,78,67,26,60,.433,7,14,.500,19,25,.760,9,38,7,9,4,19,25,21,65,.323,6,27,.222,19,31,.613,15,43,8,12,2,16,20
