Index,Team,G,Date,Site,Opponent,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,oFG,oFGA,oFG%,o3P,o3PA,o3P%,oFT,oFTA,oFT%,oORB,oTRB,oAST,oSTL,oBLK,oTOV,oPF
0,Abilene Christian,1,2021-11-09,@,Utah,L,56.0,70.0,22.0,57.0,0.386,4.0,21.0,0.19,8.0,17.0,0.471,7.0,27.0,11.0,9.0,6.0,10.0,24.0,24.0,62.0,0.387,7.0,23.0,0.304,15.0,23.0,0.652,19.0,52.0,12.0,5.0,3.0,20.0,22.0
1,Abilene Christian,2,2021-11-12,@,Texas A&M,L (2 OT),80.0,81.0,32.0,73.0,0.438,10.0,26.0,0.385,6.0,13.0,0.462,14.0,35.0,22.0,13.0,0.0,16.0,23.0,24.0,54.0,0.444,9.0,21.0,0.429,24.0,33.0,0.727,10.0,39.0,14.0,8.0,6.0,20.0,15.0
2,Abilene Christian,3,2021-11-16,@,UT Arlington,W (1 OT),80.0,71.0,22.0,67.0,0.328,7.0,20.0,0.35,29.0,38.0,0.763,17.0,40.0,13.0,15.0,0.0,14.0,25.0,24.0,51.0,0.471,6.0,14.0,0.429,17.0,24.0,0.708,7.0,37.0,16.0,8.0,7.0,26.0,30.0
3,Abilene Christian,4,2021-11-27,,NON-FBS-SCHOOL,W,89.0,54.0,34.0,64.0,0.531,5.0,20.0,0.25,16.0,24.0,0.667,11.0,36.0,24.0,17.0,2.0,14.0,18.0,17.0,43.0,0.395,7.0,24.0,0.292,13.0,18.0,0.722,2.0,22.0,12.0,6.0,0.0,28.0,22.0
4,Abilene Christian,5,2021-11-29,,NON-FBS-SCHOOL,W,88.0,47.0,34.0,67.0,0.507,6.0,21.0,0.286,14.0,16.0,0.875,15.0,33.0,19.0,18.0,5.0,16.0,21.0,16.0,44.0,0.364,3.0,20.0,0.15,12.0,18.0,0.667,8.0,23.0,6.0,9.0,1.0,32.0,19.0
5,Abilene Christian,6,2021-12-01,,NON-FBS-SCHOOL,W,108.0,65.0,39.0,77.0,0.506,10.0,27.0,0.37,20.0,25.0,0.8,13.0,40.0,24.0,7.0,2.0,6.0,27.0,18.0,52.0,0.346,5.0,16.0,0.313,24.0,31.0,0.774,8.0,32.0,10.0,4.0,3.0,18.0,19.0
6,Abilene Christian,7,2021-12-04,,Incarnate Word,W,98.0,65.0,36.0,66.0,0.545,12.0,24.0,0.5,14.0,20.0,0.7,9.0,29.0,17.0,10.0,0.0,8.0,21.0,20.0,43.0,0.465,5.0,20.0,0.25,20.0,25.0,0.8,0.0,22.0,10.0,3.0,2.0,18.0,21.0
7,Abilene Christian,8,2021-12-11,,Drexel,W,73.0,56.0,26.0,63.0,0.413,8.0,20.0,0.4,13.0,20.0,0.65,8.0,34.0,12.0,4.0,0.0,14.0,22.0,19.0,57.0,0.333,5.0,29.0,0.172,13.0,18.0,0.722,10.0,39.0,6.0,7.0,4.0,13.0,20.0
8,Abilene Christian,9,2021-12-15,,Cal State Bakersfield,W,69.0,59.0,17.0,44.0,0.386,5.0,17.0,0.294,30.0,40.0,0.75,9.0,31.0,11.0,14.0,3.0,20.0,22.0,22.0,56.0,0.393,4.0,11.0,0.364,11.0,20.0,0.55,12.0,36.0,6.0,9.0,2.0,24.0,30.0
9,Abilene Christian,10,2021-12-19,,NON-FBS-SCHOOL,W,112.0,41.0,42.0,76.0,0.553,7.0,25.0,0.28,21.0,24.0,0.875,14.0,44.0,17.0,18.0,2.0,9.0,17.0,12.0,46.0,0.261,6.0,22.0,0.273,11.0,13.0,0.846,3.0,21.0,3.0,6.0,2.0,30.0,19.0
10,Abilene Christian,11,2021-12-22,,Longwood,W,74.0,58.0,24.0,48.0,0.5,6.0,19.0,0.316,20.0,27.0,0.741,3.0,32.0,17.0,11.0,2.0,16.0,26.0,18.0,55.0,0.327,5.0,23.0,0.217,17.0,30.0,0.567,10.0,34.0,8.0,6.0,0.0,21.0,25.0
11,Abilene Christian,12,2021-12-30,@,Utah Valley,W,80.0,76.0,31.0,63.0,0.492,10.0,25.0,0.4,8.0,9.0,0.889,9.0,25.0,23.0,12.0,0.0,6.0,15.0,29.0,50.0,0.58,12.0,23.0,0.522,6.0,8.0,0.75,7.0,30.0,22.0,3.0,8.0,16.0,10.0
12,Abilene Christian,13,2022-01-01,@,Utah Tech,W,64.0,50.0,22.0,61.0,0.361,4.0,20.0,0.2,16.0,24.0,0.667,10.0,33.0,10.0,15.0,3.0,12.0,23.0,14.0,43.0,0.326,2.0,18.0,0.111,20.0,27.0,0.741,8.0,40.0,10.0,6.0,5.0,27.0,29.0
13,Abilene Christian,14,2022-01-06,,Stephen F. Austin,L,58.0,64.0,21.0,56.0,0.375,2.0,17.0,0.118,14.0,18.0,0.778,3.0,21.0,11.0,11.0,2.0,15.0,20.0,22.0,43.0,0.512,10.0,22.0,0.455,10.0,16.0,0.625,3.0,34.0,15.0,3.0,7.0,22.0,21.0
14,Abilene Christian,15,2022-01-08,,Sam Houston,L,63.0,65.0,22.0,52.0,0.423,10.0,22.0,0.455,9.0,12.0,0.75,6.0,24.0,12.0,4.0,0.0,11.0,17.0,23.0,46.0,0.5,10.0,21.0,0.476,9.0,16.0,0.563,7.0,32.0,9.0,7.0,4.0,15.0,16.0
15,Abilene Christian,16,2022-01-13,@,Grand Canyon,L,68.0,95.0,26.0,61.0,0.426,7.0,21.0,0.333,9.0,14.0,0.643,7.0,20.0,9.0,9.0,1.0,9.0,20.0,34.0,54.0,0.63,12.0,24.0,0.5,15.0,21.0,0.714,7.0,34.0,18.0,4.0,3.0,15.0,17.0
16,Abilene Christian,17,2022-01-15,@,New Mexico State,L,63.0,77.0,17.0,50.0,0.34,5.0,24.0,0.208,24.0,27.0,0.889,8.0,24.0,7.0,6.0,0.0,12.0,29.0,23.0,45.0,0.511,11.0,23.0,0.478,20.0,30.0,0.667,7.0,26.0,9.0,4.0,2.0,12.0,21.0
17,Abilene Christian,18,2022-01-20,,Seattle,L,62.0,72.0,21.0,63.0,0.333,7.0,24.0,0.292,13.0,16.0,0.813,9.0,31.0,7.0,11.0,4.0,14.0,25.0,21.0,47.0,0.447,5.0,18.0,0.278,25.0,31.0,0.806,3.0,31.0,9.0,8.0,6.0,18.0,18.0
18,Abilene Christian,19,2022-01-22,,California Baptist,W,77.0,68.0,27.0,59.0,0.458,9.0,21.0,0.429,14.0,22.0,0.636,8.0,26.0,17.0,9.0,2.0,15.0,25.0,18.0,48.0,0.375,6.0,24.0,0.25,26.0,34.0,0.765,12.0,38.0,9.0,10.0,0.0,23.0,23.0
19,Abilene Christian,20,2022-01-26,@,Texas-Rio Grande Valley,W,87.0,85.0,28.0,66.0,0.424,7.0,30.0,0.233,24.0,30.0,0.8,9.0,24.0,20.0,12.0,2.0,12.0,28.0,27.0,46.0,0.587,6.0,16.0,0.375,25.0,32.0,0.781,6.0,31.0,14.0,4.0,6.0,26.0,27.0
20,Abilene Christian,21,2022-01-29,@,Lamar,W,85.0,82.0,26.0,63.0,0.413,7.0,24.0,0.292,26.0,39.0,0.667,14.0,39.0,14.0,6.0,1.0,9.0,21.0,27.0,60.0,0.45,7.0,16.0,0.438,21.0,27.0,0.778,8.0,33.0,18.0,5.0,4.0,12.0,28.0
21,Abilene Christian,22,2022-02-02,,Chicago State,W,77.0,73.0,27.0,52.0,0.519,3.0,14.0,0.214,20.0,24.0,0.833,5.0,22.0,14.0,14.0,2.0,11.0,22.0,25.0,46.0,0.543,11.0,23.0,0.478,12.0,18.0,0.667,6.0,25.0,11.0,3.0,3.0,22.0,22.0
22,Abilene Christian,23,2022-02-05,,Texas-Rio Grande Valley,W,83.0,66.0,33.0,70.0,0.471,8.0,21.0,0.381,9.0,15.0,0.6,12.0,37.0,23.0,12.0,4.0,12.0,24.0,18.0,47.0,0.383,6.0,18.0,0.333,24.0,34.0,0.706,11.0,39.0,8.0,4.0,3.0,24.0,15.0
23,Abilene Christian,24,2022-02-12,@,Tarleton State,W,77.0,63.0,30.0,59.0,0.508,7.0,20.0,0.35,10.0,12.0,0.833,12.0,30.0,21.0,7.0,1.0,10.0,17.0,22.0,50.0,0.44,3.0,15.0,0.2,16.0,20.0,0.8,10.0,27.0,11.0,2.0,1.0,13.0,14.0
24,Abilene Christian,25,2022-02-17,@,Sam Houston,L (1 OT),71.0,75.0,22.0,61.0,0.361,4.0,25.0,0.16,23.0,26.0,0.885,13.0,43.0,13.0,7.0,2.0,15.0,24.0,27.0,60.0,0.45,5.0,18.0,0.278,16.0,25.0,0.64,7.0,29.0,12.0,7.0,2.0,11.0,19.0
25,Abilene Christian,26,2022-02-24,,Lamar,W,77.0,42.0,26.0,65.0,0.4,9.0,27.0,0.333,16.0,22.0,0.727,10.0,32.0,18.0,22.0,4.0,14.0,20.0,12.0,40.0,0.3,2.0,13.0,0.154,16.0,21.0,0.762,7.0,34.0,4.0,5.0,6.0,37.0,18.0
26,Abilene Christian,27,2022-02-26,@,Stephen F. Austin,L,71.0,73.0,21.0,54.0,0.389,6.0,19.0,0.316,23.0,27.0,0.852,9.0,27.0,13.0,5.0,1.0,10.0,19.0,28.0,52.0,0.538,4.0,11.0,0.364,13.0,23.0,0.565,12.0,35.0,12.0,5.0,6.0,14.0,25.0
27,Abilene Christian,28,2022-03-03,,Utah Tech,W,80.0,64.0,28.0,68.0,0.412,6.0,19.0,0.316,18.0,22.0,0.818,13.0,32.0,17.0,18.0,1.0,11.0,26.0,19.0,44.0,0.432,6.0,20.0,0.3,20.0,30.0,0.667,6.0,32.0,15.0,7.0,2.0,24.0,19.0
28,Abilene Christian,29,2022-03-05,,Tarleton State,W,61.0,56.0,19.0,51.0,0.373,3.0,20.0,0.15,20.0,26.0,0.769,12.0,24.0,11.0,11.0,3.0,12.0,26.0,15.0,36.0,0.417,3.0,12.0,0.25,23.0,25.0,0.92,6.0,26.0,5.0,3.0,1.0,21.0,22.0
29,Abilene Christian,30,2022-03-09,N,Utah Valley,W,82.0,74.0,28.0,55.0,0.509,11.0,21.0,0.524,15.0,19.0,0.789,3.0,16.0,15.0,10.0,1.0,9.0,20.0,24.0,46.0,0.522,11.0,26.0,0.423,15.0,18.0,0.833,9.0,33.0,18.0,4.0,6.0,20.0,21.0
30,Abilene Christian,31,2022-03-10,N,Stephen F. Austin,W,76.0,62.0,26.0,49.0,0.531,7.0,15.0,0.467,17.0,23.0,0.739,2.0,23.0,17.0,13.0,2.0,13.0,23.0,18.0,51.0,0.353,5.0,18.0,0.278,21.0,24.0,0.875,9.0,30.0,7.0,5.0,6.0,21.0,23.0
31,Abilene Christian,32,2022-03-11,N,Seattle,W,78.0,76.0,23.0,60.0,0.383,4.0,20.0,0.2,28.0,39.0,0.718,9.0,34.0,7.0,8.0,2.0,7.0,24.0,23.0,55.0,0.418,10.0,26.0,0.385,20.0,27.0,0.741,10.0,41.0,9.0,2.0,3.0,19.0,29.0
32,Abilene Christian,33,2022-03-12,N,New Mexico State,L,52.0,66.0,17.0,52.0,0.327,6.0,22.0,0.273,12.0,16.0,0.75,4.0,21.0,6.0,5.0,1.0,11.0,18.0,20.0,53.0,0.377,8.0,25.0,0.32,18.0,23.0,0.783,15.0,40.0,12.0,3.0,6.0,14.0,17.0
33,Abilene Christian,34,2022-03-20,N,Troy,W,82.0,70.0,28.0,63.0,0.444,9.0,25.0,0.36,17.0,23.0,0.739,10.0,30.0,18.0,13.0,2.0,13.0,17.0,23.0,50.0,0.46,8.0,23.0,0.348,16.0,17.0,0.941,4.0,29.0,14.0,8.0,4.0,20.0,22.0
34,Abilene Christian,35,2022-03-21,N,Ohio,W,91.0,86.0,29.0,55.0,0.527,8.0,18.0,0.444,25.0,29.0,0.862,4.0,26.0,18.0,10.0,2.0,11.0,32.0,26.0,53.0,0.491,7.0,23.0,0.304,27.0,40.0,0.675,10.0,33.0,10.0,5.0,2.0,14.0,23.0
35,Abilene Christian,36,2022-03-22,N,Middle Tennessee,L,69.0,85.0,20.0,49.0,0.408,8.0,19.0,0.421,21.0,27.0,0.778,10.0,30.0,10.0,5.0,2.0,16.0,20.0,30.0,53.0,0.566,10.0,22.0,0.455,15.0,23.0,0.652,3.0,23.0,19.0,11.0,4.0,10.0,23.0
36,Air Force,1,2021-11-11,N,South Dakota,L,53.0,59.0,20.0,45.0,0.444,7.0,23.0,0.304,6.0,12.0,0.5,0.0,27.0,8.0,5.0,5.0,16.0,18.0,21.0,58.0,0.362,6.0,18.0,0.333,11.0,16.0,0.688,11.0,37.0,10.0,6.0,2.0,12.0,15.0
37,Air Force,2,2021-11-13,@,Tulsa,W,59.0,58.0,24.0,49.0,0.49,9.0,27.0,0.333,2.0,3.0,0.667,4.0,28.0,13.0,3.0,3.0,17.0,13.0,22.0,59.0,0.373,7.0,22.0,0.318,7.0,8.0,0.875,8.0,24.0,7.0,6.0,1.0,8.0,11.0
