Index,Team,G,Date,Site,Opponent,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,oFG,oFGA,oFG%,o3P,o3PA,o3P%,oFT,oFTA,oFT%,oORB,oTRB,oAST,oSTL,oBLK,oTOV,oPF
14,Abilene Christian,15,2017-12-30,,Sam Houston,W,75,72,25,55,.455,9,22,.409,16,27,.593,8,34,17,6,11,15,22,24,58,.414,9,21,.429,15,21,.714,5,30,13,7,1,15,23
15,Abilene Christian,16,2018-01-03,,McNeese State,W,79,74,28,60,.467,6,24,.250,17,24,.708,4,33,17,7,2,11,20,27,58,.466,8,24,.333,12,19,.632,5,36,9,4,2,15,18
16,Abilene Christian,17,2018-01-06,,Southeastern Louisiana,L,70,72,29,66,.439,5,18,.278,7,13,.538,9,27,16,8,5,9,22,26,50,.520,9,17,.529,11,18,.611,7,36,14,3,4,19,14
17,Abilene Christian,18,2018-01-10,@,Houston Christian,W,82,74,30,55,.545,6,19,.316,16,22,.727,3,21,18,7,7,10,24,25,58,.431,10,24,.417,14,23,.609,11,34,13,3,0,16,20
18,Abilene Christian,19,2018-01-13,@,Northwestern State,W,69,58,23,53,.434,8,18,.444,15,23,.652,7,29,13,9,0,15,22,19,48,.396,3,15,.200,17,29,.586,12,37,6,3,5,21,19
19,Abilene Christian,20,2018-01-17,,Stephen F. Austin,L,66,76,19,43,.442,6,17,.353,22,29,.759,5,26,15,4,8,22,28,23,59,.390,4,17,.235,26,36,.722,15,33,10,11,2,13,23
20,Abilene Christian,21,2018-01-20,@,Central Arkansas,W,80,63,28,56,.500,10,22,.455,14,20,.700,8,36,19,6,5,11,20,23,57,.404,5,21,.238,12,16,.750,7,27,17,7,7,10,18
21,Abilene Christian,22,2018-01-24,@,Texas A&M-Corpus Christi,L,66,80,18,51,.353,6,23,.261,24,30,.800,6,20,12,11,0,19,22,23,45,.511,11,23,.478,23,25,.920,4,30,14,12,2,25,25
22,Abilene Christian,23,2018-01-31,,Lamar,W,74,69,26,49,.531,8,19,.421,14,21,.667,3,32,22,5,5,16,23,21,60,.350,10,27,.370,17,28,.607,10,32,13,10,0,13,20
23,Abilene Christian,24,2018-02-03,@,Sam Houston,L,77,84,28,52,.538,7,18,.389,14,21,.667,9,32,16,5,3,19,26,26,54,.481,6,18,.333,26,32,.813,7,25,17,6,1,11,18
24,Abilene Christian,25,2018-02-07,,Nicholls State,L,65,69,25,60,.417,3,21,.143,12,16,.750,14,34,7,8,2,13,15,26,60,.433,9,27,.333,8,15,.533,16,37,13,8,1,15,18
25,Abilene Christian,26,2018-02-10,,Incarnate Word,W,80,69,31,62,.500,9,24,.375,9,14,.643,16,39,16,7,5,17,27,18,45,.400,7,20,.350,26,36,.722,5,22,6,9,4,13,15
26,Abilene Christian,27,2018-02-17,@,Southeastern Louisiana,L,54,68,20,59,.339,4,15,.267,10,14,.714,13,34,9,7,2,15,12,28,56,.500,7,20,.350,5,9,.556,7,32,14,4,4,13,17
27,Abilene Christian,28,2018-02-22,,Texas A&M-Corpus Christi,L,67,76,23,54,.426,4,24,.167,17,27,.630,8,29,7,8,1,16,21,29,58,.500,0,9,.000,18,22,.818,8,34,5,10,2,13,22
28,Abilene Christian,29,2018-02-24,,Central Arkansas,L,72,74,32,68,.471,3,14,.214,5,10,.500,12,31,12,11,5,10,19,24,55,.436,10,26,.385,16,21,.762,9,34,9,6,6,18,14
29,Abilene Christian,30,2018-02-28,@,Stephen F. Austin,L,56,76,22,51,.431,7,18,.389,5,11,.455,7,28,17,6,2,23,20,27,54,.500,8,21,.381,14,20,.700,6,28,12,12,2,12,17
30,Abilene Christian,31,2018-03-03,@,Incarnate Word,W,69,59,22,56,.393,6,20,.300,19,23,.826,9,33,10,6,1,9,14,21,54,.389,3,17,.176,14,15,.933,8,31,3,3,9,13,15
31,Abilene Christian,32,2018-03-12,@,Drake,L (1 OT),73,80,32,86,.372,6,31,.194,3,3,1.000,19,48,14,11,8,16,23,25,65,.385,6,25,.240,24,29,.828,5,34,12,11,5,12,12
32,Air Force,1,2017-11-12,,Texas State,W,65,57,25,60,.417,8,20,.400,7,9,.778,10,29,16,11,3,10,21,20,44,.455,5,13,.385,12,17,.706,6,31,8,4,3,19,14
33,Air Force,2,2017-11-14,,Canisius,W,93,79,23,50,.460,9,21,.429,38,41,.927,10,32,14,6,4,14,20,27,63,.429,11,35,.314,14,16,.875,13,30,13,5,2,11,29
34,Air Force,3,2017-11-20,,Arkansas-Pine Bluff,W,57,47,15,50,.300,6,22,.273,21,27,.778,10,37,11,5,1,12,12,19,48,.396,5,19,.263,4,8,.500,4,27,8,8,5,13,24
35,Air Force,4,2017-11-21,,Pacific,L,71,83,23,60,.383,9,32,.281,16,22,.727,12,32,20,5,3,13,26,24,47,.511,9,17,.529,26,36,.722,9,34,15,8,5,15,18
36,Air Force,5,2017-11-26,@,Colorado,L,69,81,25,58,.431,11,26,.423,8,9,.889,4,21,16,7,1,10,20,26,54,.481,10,26,.385,19,20,.950,10,40,17,1,3,15,16
37,Air Force,6,2017-11-29,@,Indiana State,L,64,74,23,51,.451,6,17,.353,12,18,.667,9,28,10,7,1,20,17,25,54,.463,11,31,.355,13,18,.722,8,29,12,12,2,17,17
38,Air Force,7,2017-12-02,@,Denver,W,61,59,21,55,.382,7,28,.250,12,17,.706,7,29,11,4,0,14,20,19,44,.432,11,26,.423,10,15,.667,6,35,15,4,2,22,20
39,Air Force,8,2017-12-04,,NON-FBS-SCHOOL,W,79,67,30,54,.556,9,20,.450,10,18,.556,4,24,16,5,1,13,17,25,49,.510,9,24,.375,8,11,.727,4,27,13,6,1,19,22
40,Air Force,9,2017-12-06,,Abilene Christian,L,58,62,25,51,.490,3,18,.167,5,8,.625,5,33,15,5,2,20,14,23,54,.426,9,25,.360,7,15,.467,7,24,11,8,4,12,16
41,Air Force,10,2017-12-08,@,UC Riverside,L,48,67,17,56,.304,5,27,.185,9,17,.529,8,24,10,6,2,8,16,25,47,.532,7,23,.304,10,15,.667,4,37,16,5,6,12,16
42,Air Force,11,2017-12-17,N,Army,L,54,79,14,57,.246,9,30,.300,17,22,.773,17,43,9,5,3,21,18,26,61,.426,16,31,.516,11,14,.786,9,33,18,10,1,13,22
43,Air Force,12,2017-12-22,,NON-FBS-SCHOOL,W,111,68,43,70,.614,11,27,.407,14,18,.778,13,44,26,9,1,8,15,24,58,.414,10,25,.400,10,16,.625,4,20,11,6,1,12,17
44,Air Force,13,2017-12-27,@,New Mexico,L,58,87,22,58,.379,3,16,.188,11,20,.550,13,36,7,4,2,16,15,31,62,.500,14,33,.424,11,14,.786,7,34,21,9,4,6,20
45,Air Force,14,2017-12-30,@,Fresno State,L,59,71,17,45,.378,6,17,.353,19,22,.864,6,20,11,3,4,12,23,25,47,.532,7,17,.412,14,22,.636,8,33,16,3,3,14,24
46,Air Force,15,2018-01-06,,Nevada,L,75,86,29,55,.527,8,21,.381,9,14,.643,8,23,14,6,3,9,17,29,55,.527,15,31,.484,13,15,.867,11,32,16,5,3,14,17
47,Air Force,16,2018-01-10,,Nevada-Las Vegas,L,76,81,25,61,.410,6,20,.300,20,24,.833,16,33,9,7,2,10,18,29,46,.630,9,18,.500,14,23,.609,4,28,18,7,3,16,21
48,Air Force,17,2018-01-13,@,San Jose State,W,78,71,23,56,.411,13,33,.394,19,28,.679,12,34,16,4,3,8,19,24,51,.471,6,14,.429,17,27,.630,9,31,15,4,3,9,22
49,Air Force,18,2018-01-17,@,Colorado State,W,76,71,25,63,.397,12,39,.308,14,17,.824,9,34,18,6,5,8,18,27,73,.370,5,17,.294,12,15,.800,17,45,16,6,4,9,15
50,Air Force,19,2018-01-24,@,Utah State,L,49,71,18,55,.327,3,22,.136,10,15,.667,9,32,9,8,0,9,17,26,52,.500,9,28,.321,10,14,.714,6,36,14,3,4,10,15
51,Air Force,20,2018-01-27,,Boise State,L,64,70,19,46,.413,6,16,.375,20,23,.870,5,21,9,10,3,10,13,23,50,.460,12,27,.444,12,12,1.000,7,25,14,3,2,13,18
52,Air Force,21,2018-02-03,@,San Diego State,L,50,81,20,61,.328,6,27,.222,4,9,.444,10,25,17,10,1,12,17,28,54,.519,11,26,.423,14,17,.824,12,39,15,5,10,14,14
53,Air Force,22,2018-02-06,,Colorado State,W,78,73,26,57,.456,12,26,.462,14,20,.700,10,34,18,4,2,9,12,30,63,.476,6,21,.286,7,8,.875,7,31,11,5,4,8,17
54,Air Force,23,2018-02-10,,New Mexico,W,100,92,36,61,.590,5,18,.278,23,26,.885,9,32,20,5,5,14,27,28,56,.500,14,27,.519,22,28,.786,5,23,15,6,1,17,26
55,Air Force,24,2018-02-14,@,Nevada-Las Vegas,L,73,81,26,64,.406,13,30,.433,8,12,.667,5,21,19,5,5,6,25,25,56,.446,9,17,.529,22,32,.688,15,45,16,2,9,18,17
56,Air Force,25,2018-02-17,@,Boise State,L,52,76,20,52,.385,5,17,.294,7,8,.875,4,24,8,7,4,10,11,28,53,.528,14,28,.500,6,10,.600,4,31,19,3,2,13,14
57,Air Force,26,2018-02-21,,San Diego State,L,56,67,21,53,.396,13,36,.361,1,2,.500,4,30,20,6,3,14,17,26,54,.481,6,20,.300,9,15,.600,3,29,13,7,2,10,12
58,Air Force,27,2018-02-24,,Utah State,W,75,65,25,51,.490,8,19,.421,17,26,.654,6,29,12,12,4,12,19,22,57,.386,10,27,.370,11,19,.579,12,38,12,3,3,16,24
59,Air Force,28,2018-02-26,,Fresno State,L,48,54,14,49,.286,4,22,.182,16,22,.727,7,38,9,9,3,18,18,19,56,.339,3,14,.214,13,17,.765,7,35,8,5,1,13,20
60,Air Force,29,2018-02-28,@,Wyoming,L,54,66,23,59,.390,5,20,.250,3,5,.600,9,34,12,6,1,19,15,23,53,.434,10,25,.400,10,15,.667,4,30,15,12,5,15,14
61,Air Force,30,2018-03-03,,San Jose State,W,83,61,28,64,.438,16,41,.390,11,17,.647,9,42,21,5,3,7,16,23,60,.383,8,24,.333,7,12,.583,5,35,13,4,3,11,21
62,Air Force,31,2018-03-07,N,Nevada-Las Vegas,L (1 OT),90,97,32,69,.464,13,27,.481,13,20,.650,10,31,22,9,3,12,24,32,65,.492,7,17,.412,26,37,.703,13,41,23,5,5,13,20
63,Akron,1,2017-11-11,,Cleveland State,W,67,57,20,66,.303,8,34,.235,19,23,.826,7,44,8,5,5,16,26,22,55,.400,3,19,.158,10,26,.385,4,37,7,5,4,15,20
64,Akron,2,2017-11-18,,Tennessee-Martin,W,76,59,25,53,.472,15,31,.484,11,14,.786,10,30,18,2,2,14,10,25,59,.424,6,20,.300,3,5,.600,10,28,9,7,3,12,15
65,Akron,3,2017-11-25,@,Dayton,L,60,73,22,50,.440,6,20,.300,10,18,.556,3,21,16,5,1,10,17,27,52,.519,9,21,.429,10,17,.588,10,36,21,5,2,14,17
66,Akron,4,2017-11-28,,Chattanooga,W,75,70,28,53,.528,6,14,.429,13,17,.765,8,29,13,13,2,17,23,26,48,.542,5,11,.455,13,21,.619,5,23,13,7,1,16,15
67,Akron,5,2017-12-02,@,Marshall,L,64,86,24,63,.381,6,24,.250,10,19,.526,10,30,9,11,2,22,19,30,64,.469,10,29,.345,16,20,.800,16,41,17,10,5,20,19
68,Akron,6,2017-12-06,,Purdue Fort Wayne,W,83,79,31,61,.508,10,24,.417,11,27,.407,12,36,16,9,5,18,16,28,58,.483,14,33,.424,9,11,.818,6,23,16,10,3,20,20
69,Akron,7,2017-12-09,,Appalachian State,W,94,89,34,60,.567,14,24,.583,12,20,.600,6,31,26,4,2,13,17,32,64,.500,12,27,.444,13,18,.722,6,28,18,6,5,5,18
70,Akron,8,2017-12-16,,Mississippi Valley State,W,81,63,28,59,.475,12,28,.429,13,21,.619,13,38,15,9,6,12,19,23,63,.365,1,12,.083,16,20,.800,13,30,8,6,2,10,19
71,Akron,9,2017-12-22,N,Southern California,L,53,84,16,50,.320,7,28,.250,14,19,.737,4,22,12,3,1,16,22,27,55,.491,10,23,.435,20,27,.741,9,37,13,5,3,11,19
72,Akron,10,2017-12-23,N,Princeton,L,62,64,20,57,.351,12,30,.400,10,14,.714,5,28,7,3,4,11,11,23,52,.442,7,24,.292,11,14,.786,5,34,9,3,6,13,15
73,Akron,11,2017-12-25,N,Davidson,L,78,91,25,51,.490,14,35,.400,14,18,.778,3,25,14,4,1,15,17,33,62,.532,13,28,.464,12,15,.800,4,28,21,5,2,6,17
74,Akron,12,2017-12-29,,NON-FBS-SCHOOL,W,86,49,28,55,.509,12,25,.480,18,26,.692,8,44,17,4,7,11,18,18,66,.273,4,20,.200,9,13,.692,11,31,9,4,1,8,17
75,Akron,13,2018-01-02,@,Western Michigan,L,75,87,27,61,.443,9,27,.333,12,15,.800,8,24,15,5,2,11,23,31,56,.554,9,19,.474,16,23,.696,11,36,16,2,1,10,16
76,Akron,14,2018-01-05,@,Toledo,L,65,67,27,60,.450,9,22,.409,2,4,.500,8,34,16,6,2,11,22,22,46,.478,9,24,.375,14,22,.636,4,26,15,4,8,10,12
77,Akron,15,2018-01-09,,Buffalo,L,65,87,15,47,.319,6,20,.300,29,41,.707,9,27,5,6,1,16,21,33,67,.493,7,31,.226,14,21,.667,11,35,14,9,5,11,29
78,Akron,16,2018-01-13,,Bowling Green State,W,80,78,26,60,.433,12,32,.375,16,20,.800,10,34,13,3,2,14,31,21,52,.404,7,16,.438,29,43,.674,8,31,8,8,2,11,18
79,Akron,17,2018-01-16,@,Eastern Michigan,L,49,63,17,55,.309,7,29,.241,8,8,1.000,8,27,11,7,2,12,18,21,45,.467,7,18,.389,14,20,.700,6,32,12,9,10,12,11
80,Akron,18,2018-01-20,,Northern Illinois,W,82,67,29,55,.527,15,31,.484,9,12,.750,6,28,19,6,1,13,23,19,48,.396,4,15,.267,25,33,.758,10,28,4,5,1,15,16
81,Akron,19,2018-01-23,,Ohio,W,71,68,26,55,.473,10,23,.435,9,14,.643,8,27,14,5,0,11,17,23,50,.460,9,23,.391,13,16,.813,5,23,16,6,4,12,17
82,Akron,20,2018-01-27,@,Ball State,L (2 OT),106,111,36,77,.468,15,44,.341,19,21,.905,10,35,19,12,3,17,33,34,68,.500,10,18,.556,33,42,.786,11,40,18,7,2,18,19
83,Akron,21,2018-01-30,@,Miami (OH),L,64,79,24,59,.407,7,31,.226,9,10,.900,5,29,8,3,2,10,15,28,58,.483,10,30,.333,13,17,.765,5,32,16,9,4,6,12
84,Akron,22,2018-02-03,,Toledo,L,56,77,23,59,.390,8,21,.381,2,7,.286,7,29,4,3,2,10,17,28,56,.500,10,27,.370,11,18,.611,8,35,18,4,2,9,10
85,Akron,23,2018-02-06,@,Ohio,L,75,99,27,65,.415,6,26,.231,15,20,.750,10,32,5,6,2,15,20,32,59,.542,16,27,.593,19,23,.826,3,32,19,7,7,15,20
86,Akron,24,2018-02-10,,Central Michigan,W,69,63,25,57,.439,8,24,.333,11,15,.733,9,35,14,3,4,10,16,24,59,.407,5,22,.227,10,21,.476,13,32,8,3,1,11,11
87,Akron,25,2018-02-13,,Ball State,L,77,90,27,65,.415,11,29,.379,12,16,.750,9,21,13,5,2,8,24,31,56,.554,7,17,.412,21,27,.778,8,37,16,3,5,17,20
88,Akron,26,2018-02-17,@,Kent State,L,68,78,21,53,.396,9,21,.429,17,24,.708,8,26,12,6,5,14,23,23,54,.426,10,24,.417,22,24,.917,9,29,8,7,6,13,21
89,Akron,27,2018-02-20,@,Bowling Green State,W,81,79,25,48,.521,7,17,.412,24,30,.800,3,24,12,7,4,11,20,28,59,.475,7,23,.304,16,23,.696,11,32,17,4,1,14,20
90,Akron,28,2018-02-24,,Miami (OH),L (1 OT),62,64,21,57,.368,6,28,.214,14,17,.824,11,39,8,6,5,18,22,22,64,.344,5,26,.192,15,19,.789,11,36,11,12,0,14,16
91,Akron,29,2018-02-27,@,Buffalo,L,68,80,26,59,.441,10,26,.385,6,12,.500,8,25,15,9,2,16,21,27,52,.519,8,20,.400,18,24,.750,8,28,13,6,6,16,16
92,Akron,30,2018-03-02,,Kent State,W,67,65,21,49,.429,7,25,.280,18,28,.643,7,30,13,2,0,11,21,20,50,.400,8,25,.320,17,25,.680,6,32,10,5,3,13,25
93,Akron,31,2018-03-05,@,Western Michigan,W,79,78,28,52,.538,12,33,.364,11,19,.579,5,27,17,7,1,16,15,26,54,.481,9,29,.310,17,19,.895,3,24,14,7,2,10,18
94,Akron,32,2018-03-08,N,Eastern Michigan,L,58,67,21,53,.396,9,25,.360,7,13,.538,11,29,14,10,1,15,20,21,46,.457,6,19,.316,19,22,.864,7,29,9,12,7,14,16
95,Alabama,1,2017-11-10,N,Memphis,W,82,70,26,58,.448,11,27,.407,19,28,.679,12,36,16,8,7,16,30,23,60,.383,2,17,.118,22,36,.611,15,37,7,7,3,17,22
96,Alabama,2,2017-11-14,,Lipscomb,W,86,64,34,57,.596,6,18,.333,12,32,.375,5,40,17,9,10,13,17,23,70,.329,7,27,.259,11,19,.579,12,40,10,5,4,14,23
97,Alabama,3,2017-11-17,,Alabama A&M,W,104,67,40,63,.635,16,27,.593,8,15,.533,11,44,25,3,6,15,20,25,58,.431,8,15,.533,9,24,.375,6,19,10,7,0,7,11
98,Alabama,4,2017-11-21,,UT Arlington,W,77,76,27,53,.509,8,25,.320,15,24,.625,6,26,12,9,4,14,13,31,60,.517,10,21,.476,4,7,.571,8,30,19,3,1,18,23
99,Alabama,5,2017-11-24,N,Brigham Young,W,71,59,27,55,.491,5,13,.385,12,16,.750,8,31,12,6,6,9,19,22,59,.373,4,17,.235,11,21,.524,10,30,15,3,3,11,21
100,Alabama,6,2017-11-25,N,Minnesota,L,84,89,27,58,.466,7,18,.389,23,32,.719,10,31,9,4,6,13,19,30,66,.455,8,19,.421,21,27,.778,15,38,16,7,6,12,24
101,Alabama,7,2017-11-29,,Louisiana Tech,W,77,74,24,54,.444,2,9,.222,27,37,.730,9,42,10,8,6,18,21,24,65,.369,4,23,.174,22,30,.733,8,29,8,8,2,14,29
102,Alabama,8,2017-12-03,,UCF,L,62,65,22,51,.431,3,13,.231,15,23,.652,7,26,14,8,8,15,16,25,52,.481,7,15,.467,8,15,.533,8,34,15,8,3,17,19
103,Alabama,9,2017-12-06,,Rhode Island,W,68,64,21,47,.447,2,11,.182,24,39,.615,11,45,10,4,5,24,16,25,71,.352,7,23,.304,7,11,.636,7,26,7,13,6,12,29
104,Alabama,10,2017-12-09,@,Arizona,L,82,88,24,62,.387,10,24,.417,24,28,.857,6,26,15,5,2,8,27,29,56,.518,8,16,.500,22,35,.629,12,41,17,2,3,12,21
105,Alabama,11,2017-12-19,N,Mercer,W,80,79,28,62,.452,6,28,.214,18,23,.783,13,34,12,6,8,13,21,26,55,.473,10,28,.357,17,22,.773,7,27,14,7,0,14,20
106,Alabama,12,2017-12-22,N,Texas,L,50,66,21,61,.344,3,15,.200,5,9,.556,9,34,9,8,3,11,14,24,54,.444,7,26,.269,11,14,.786,5,35,10,4,9,11,15
107,Alabama,13,2017-12-30,,Texas A&M,W,79,57,26,57,.456,7,23,.304,20,24,.833,9,41,14,7,9,12,20,21,70,.300,2,21,.095,13,20,.650,18,37,9,7,2,12,19
108,Alabama,14,2018-01-02,@,Vanderbilt,L,75,76,26,52,.500,4,11,.364,19,22,.864,4,28,13,10,8,10,17,23,54,.426,10,25,.400,20,26,.769,6,28,12,7,5,12,15
109,Alabama,15,2018-01-06,@,Georgia,L,46,65,17,57,.298,4,23,.174,8,11,.727,4,27,7,8,6,12,18,20,58,.345,9,29,.310,16,21,.762,12,46,15,8,5,11,16
110,Alabama,16,2018-01-09,,South Carolina,W,76,62,30,51,.588,7,17,.412,9,14,.643,8,34,18,8,7,16,19,19,53,.358,5,15,.333,19,25,.760,9,26,8,3,2,13,16
111,Alabama,17,2018-01-13,@,Louisiana State,W,74,66,25,57,.439,6,22,.273,18,18,1.000,10,37,8,8,4,18,20,21,52,.404,7,25,.280,17,22,.773,5,23,13,11,3,14,17
112,Alabama,18,2018-01-17,,Auburn,W,76,71,25,51,.490,10,23,.435,16,25,.640,5,32,12,8,8,19,25,24,61,.393,9,26,.346,14,22,.636,10,31,11,9,4,14,21
113,Alabama,19,2018-01-20,,Mississippi State,W,68,62,25,60,.417,5,16,.313,13,23,.565,14,37,16,7,6,11,17,21,56,.375,7,23,.304,13,16,.813,9,33,5,7,1,15,20
114,Alabama,20,2018-01-23,@,Mississippi,L,66,78,25,62,.403,6,21,.286,10,14,.714,14,33,17,6,2,11,21,26,52,.500,8,21,.381,18,24,.750,7,31,13,5,4,10,17
115,Alabama,21,2018-01-27,,Oklahoma,W,80,73,30,54,.556,8,19,.421,12,22,.545,7,35,15,8,12,17,11,29,71,.408,8,27,.296,7,9,.778,13,36,12,4,3,12,18
116,Alabama,22,2018-01-31,,Missouri,L,60,69,17,48,.354,5,20,.250,21,32,.656,6,25,6,7,3,10,19,25,47,.532,9,23,.391,10,15,.667,4,31,13,3,2,17,25
117,Alabama,23,2018-02-03,@,Florida,W,68,50,29,52,.558,4,13,.308,6,12,.500,9,37,12,6,4,19,12,19,57,.333,5,24,.208,7,11,.636,8,24,9,12,3,12,13
118,Alabama,24,2018-02-06,@,Mississippi State,L,63,67,18,49,.367,3,22,.136,24,30,.800,9,29,4,4,5,11,23,24,52,.462,2,19,.105,17,28,.607,7,31,10,4,7,9,22
119,Alabama,25,2018-02-10,,Tennessee,W,78,50,32,56,.571,5,14,.357,9,18,.500,8,37,15,8,7,11,16,16,58,.276,4,17,.235,14,20,.700,11,31,7,4,4,12,16
120,Alabama,26,2018-02-13,,Louisiana State,W,80,65,27,49,.551,10,21,.476,16,23,.696,4,32,17,4,4,14,16,22,56,.393,9,23,.391,12,17,.706,8,31,10,11,3,14,23
121,Alabama,27,2018-02-17,@,Kentucky,L,71,81,26,55,.473,6,24,.250,13,21,.619,9,25,11,3,3,13,22,28,64,.438,4,11,.364,21,28,.750,19,42,10,5,4,13,19
122,Alabama,28,2018-02-21,@,Auburn,L,71,90,24,52,.462,9,26,.346,14,22,.636,6,35,14,4,5,17,21,29,68,.426,12,34,.353,20,26,.769,12,35,19,14,6,9,16
123,Alabama,29,2018-02-24,,Arkansas,L,73,76,22,49,.449,11,27,.407,18,27,.667,8,26,14,9,9,15,15,27,57,.474,7,14,.500,15,21,.714,11,29,13,7,2,14,20
124,Alabama,30,2018-02-27,,Florida,L,52,73,18,60,.300,3,15,.200,13,22,.591,17,43,9,4,1,14,19,27,56,.482,7,24,.292,12,20,.600,5,29,9,6,6,6,20
125,Alabama,31,2018-03-03,@,Texas A&M,L,66,68,21,56,.375,5,24,.208,19,31,.613,14,36,13,5,6,13,22,23,59,.390,4,21,.190,18,30,.600,13,43,16,6,4,12,23
126,Alabama,32,2018-03-08,N,Texas A&M,W,71,70,28,59,.475,4,13,.308,11,16,.688,9,31,11,9,3,13,17,24,61,.393,6,20,.300,16,21,.762,15,41,6,6,9,17,20
127,Alabama,33,2018-03-09,N,Auburn,W,81,63,26,52,.500,8,22,.364,21,30,.700,8,43,13,3,0,15,20,20,62,.323,8,33,.242,15,22,.682,10,33,7,7,4,10,25
128,Alabama,34,2018-03-10,N,Kentucky,L,63,86,22,58,.379,8,24,.333,11,15,.733,12,29,6,4,3,10,22,27,42,.643,12,18,.667,20,28,.714,1,23,20,4,5,10,18
129,Alabama,35,2018-03-15,N,Virginia Tech,W,86,83,30,50,.600,8,18,.444,18,27,.667,9,25,19,3,3,15,18,30,54,.556,9,18,.500,14,20,.700,8,19,14,7,1,13,21
130,Alabama,36,2018-03-17,N,Villanova,L,58,81,20,48,.417,4,16,.250,14,23,.609,8,31,13,7,3,15,13,25,63,.397,17,41,.415,14,16,.875,12,33,18,6,5,8,21
131,Alabama A&M,1,2017-11-11,@,Ohio,L,53,61,21,62,.339,4,19,.211,7,8,.875,8,42,5,4,1,22,17,24,65,.369,5,21,.238,8,13,.615,4,33,11,9,6,15,13
132,Alabama A&M,2,2017-11-13,@,Samford,L,68,87,21,51,.412,7,15,.467,19,24,.792,8,32,11,7,2,25,21,32,64,.500,8,26,.308,15,20,.750,10,32,21,10,4,14,23
133,Alabama A&M,3,2017-11-17,@,Alabama,L,67,104,25,58,.431,8,15,.533,9,24,.375,6,19,10,7,0,7,11,40,63,.635,16,27,.593,8,15,.533,11,44,25,3,6,15,20
