Index,Team,G,Date,Site,Opponent,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,oFG,oFGA,oFG%,o3P,o3PA,o3P%,oFT,oFTA,oFT%,oORB,oTRB,oAST,oSTL,oBLK,oTOV,oPF
0,Abilene Christian,1,2013-11-09,@,Duquesne,L,75,94,22,63,0.349,7,25,0.28,24,32,0.75,9,30,9,3,1,10,26,30,58,0.517,7,19,0.368,27,37,0.73,10,40,19,4,2,10,22
1,Abilene Christian,2,2013-11-11,@,St. Bonaventure,L,47,75,14,40,0.35,4,16,0.25,15,26,0.577,9,23,7,2,1,16,30,25,56,0.446,2,14,0.143,23,32,0.719,18,40,15,7,7,9,23
2,Abilene Christian,3,2013-11-13,@,Maryland,L,44,67,17,54,0.315,10,21,0.476,0,0,,3,18,9,6,0,16,15,26,53,0.491,4,18,0.222,11,17,0.647,12,38,12,9,10,17,8
3,Abilene Christian,4,2013-11-17,@,Iowa,L,41,103,14,54,0.259,3,23,0.13,10,12,0.833,7,27,6,3,0,17,21,38,61,0.623,9,21,0.429,18,22,0.818,5,35,25,11,5,5,10
4,Abilene Christian,5,2013-11-19,@,TCU,L,64,71,19,50,0.38,9,20,0.45,17,25,0.68,10,36,13,4,2,13,26,22,48,0.458,3,13,0.231,24,37,0.649,8,30,11,7,3,6,20
5,Abilene Christian,6,2013-11-22,N,NON-FBS-SCHOOL,W,62,44,16,41,0.39,5,21,0.238,25,33,0.758,12,37,11,10,4,20,16,17,49,0.347,3,13,0.231,7,11,0.636,6,17,9,12,3,13,22
6,Abilene Christian,7,2013-11-23,N,NON-FBS-SCHOOL,W,78,56,27,63,0.429,10,22,0.455,14,20,0.7,12,41,19,10,0,20,24,18,50,0.36,5,18,0.278,15,28,0.536,11,34,11,4,1,22,23
7,Abilene Christian,8,2013-11-25,@,Xavier,L,65,93,23,53,0.434,9,24,0.375,10,14,0.714,3,19,11,3,3,11,24,33,57,0.579,6,13,0.462,21,36,0.583,16,45,18,8,7,8,16
8,Abilene Christian,9,2013-11-29,N,NON-FBS-SCHOOL,L,67,77,21,54,0.389,9,22,0.409,16,25,0.64,6,22,12,6,4,9,27,21,46,0.457,5,17,0.294,30,33,0.909,6,31,7,5,6,12,21
9,Abilene Christian,10,2013-11-30,@,Towson,L,47,74,18,55,0.327,3,19,0.158,8,11,0.727,6,18,8,7,3,7,19,26,45,0.578,6,17,0.353,16,18,0.889,4,29,12,1,9,14,17
10,Abilene Christian,11,2013-12-03,,NON-FBS-SCHOOL,W,93,53,37,69,0.536,7,18,0.389,12,24,0.5,13,45,21,15,6,13,18,17,57,0.298,5,22,0.227,14,19,0.737,7,27,4,3,3,22,21
11,Abilene Christian,12,2013-12-17,,NON-FBS-SCHOOL,W,90,63,31,62,0.5,11,25,0.44,17,21,0.81,8,36,22,5,9,13,14,20,57,0.351,9,24,0.375,14,19,0.737,11,31,12,6,2,15,16
