Index,Team,G,Date,Site,Opponent,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,oFG,oFGA,oFG%,o3P,o3PA,o3P%,oFT,oFTA,oFT%,oORB,oTRB,oAST,oSTL,oBLK,oTOV,oPF
0,Abilene Christian,1,2019-11-05,,NON-FBS-SCHOOL,W,90,39,36,75,0.48,6,27,0.222,12,17,0.706,12,42,20,16,2,7,21,12,49,0.245,4,21,0.19,11,18,0.611,7,34,3,3,3,28,17
1,Abilene Christian,2,2019-11-10,@,Drexel,L (1 OT),83,86,30,65,0.462,9,25,0.36,14,20,0.7,3,18,13,12,2,8,26,27,52,0.519,8,20,0.4,24,32,0.75,8,39,15,4,5,22,17
2,Abilene Christian,3,2019-11-16,,Pepperdine,L,69,73,20,50,0.4,5,18,0.278,24,33,0.727,9,31,9,10,0,15,20,23,51,0.451,7,21,0.333,20,23,0.87,5,26,9,9,1,17,22
3,Abilene Christian,4,2019-11-18,@,Nevada-Las Vegas,L,58,72,22,59,0.373,7,26,0.269,7,9,0.778,9,25,16,6,1,11,17,27,50,0.54,6,22,0.273,12,15,0.8,7,29,14,4,4,12,13
4,Abilene Christian,5,2019-11-21,,NON-FBS-SCHOOL,W,90,58,33,67,0.493,7,25,0.28,17,23,0.739,16,40,22,6,3,13,17,16,45,0.356,7,16,0.438,19,21,0.905,5,25,7,7,1,23,23
5,Abilene Christian,6,2019-11-25,@,Texas State,L,56,61,19,56,0.339,5,13,0.385,13,17,0.765,11,34,7,5,5,16,20,24,50,0.48,5,15,0.333,8,17,0.471,5,28,12,9,5,13,14
6,Abilene Christian,7,2019-11-29,@,Southern Methodist,L,51,70,17,52,0.327,5,19,0.263,12,15,0.8,7,21,8,7,0,9,16,26,42,0.619,7,17,0.412,11,14,0.786,4,31,15,7,5,14,16
7,Abilene Christian,8,2019-12-05,,Southeast Missouri State,W,73,64,23,56,0.411,5,19,0.263,22,27,0.815,7,35,11,8,2,13,20,19,54,0.352,2,13,0.154,24,28,0.857,7,30,6,7,3,13,19
8,Abilene Christian,9,2019-12-07,,NON-FBS-SCHOOL,W,102,34,43,79,0.544,6,27,0.222,10,16,0.625,16,47,27,9,2,9,17,12,50,0.24,2,15,0.133,8,15,0.533,7,27,3,3,0,25,15
9,Abilene Christian,10,2019-12-12,,NON-FBS-SCHOOL,W,105,36,38,78,0.487,15,41,0.366,14,17,0.824,21,47,25,19,2,10,13,12,42,0.286,4,22,0.182,8,9,0.889,4,25,4,4,2,35,18
10,Abilene Christian,11,2019-12-18,@,New Orleans,W,77,71,24,50,0.48,7,15,0.467,22,30,0.733,8,30,18,11,3,21,22,22,48,0.458,3,9,0.333,24,26,0.923,4,25,13,10,4,22,27
11,Abilene Christian,12,2019-12-21,,Nicholls State,W,79,61,30,55,0.545,4,18,0.222,15,19,0.789,7,31,22,11,5,19,25,18,52,0.346,3,18,0.167,22,30,0.733,11,31,4,11,2,22,20
12,Abilene Christian,13,2019-12-29,@,Wichita State,L,66,84,21,54,0.389,5,21,0.238,19,23,0.826,5,25,9,8,4,18,23,29,57,0.509,6,17,0.353,20,29,0.69,13,38,16,8,5,16,20
13,Abilene Christian,14,2020-01-04,@,Lamar,W,74,62,28,64,0.438,7,22,0.318,11,16,0.688,12,31,13,9,2,12,17,22,49,0.449,4,14,0.286,14,18,0.778,8,31,13,7,8,21,14
14,Abilene Christian,15,2020-01-08,,McNeese State,L,84,88,29,63,0.46,6,21,0.286,20,23,0.87,6,17,15,5,2,14,28,29,46,0.63,4,12,0.333,26,29,0.897,5,29,8,9,8,21,27
15,Abilene Christian,16,2020-01-11,,Texas A&M-Corpus Christi,W,68,56,18,52,0.346,7,22,0.318,25,35,0.714,11,30,11,14,1,14,25,18,44,0.409,5,14,0.357,15,24,0.625,11,40,10,7,2,24,26
16,Abilene Christian,17,2020-01-18,,Southeastern Louisiana,W,76,55,27,51,0.529,4,17,0.235,18,27,0.667,9,27,16,10,5,15,19,18,49,0.367,4,20,0.2,15,19,0.789,8,29,6,7,2,24,28
17,Abilene Christian,18,2020-01-22,@,Sam Houston,L (1 OT),76,82,23,56,0.411,7,24,0.292,23,29,0.793,12,39,15,4,3,18,25,25,56,0.446,6,18,0.333,26,33,0.788,6,25,14,8,3,13,21
18,Abilene Christian,19,2020-01-25,@,Central Arkansas,W (1 OT),70,69,22,61,0.361,11,28,0.393,15,23,0.652,8,27,12,9,3,14,25,23,55,0.418,7,23,0.304,16,24,0.667,12,46,11,7,11,22,21
19,Abilene Christian,20,2020-01-29,@,Stephen F. Austin,L,61,71,20,43,0.465,4,11,0.364,17,23,0.739,8,20,12,9,4,27,23,26,52,0.5,7,13,0.538,12,19,0.632,9,25,18,14,3,19,20
20,Abilene Christian,21,2020-02-01,,Incarnate Word,W,72,58,23,51,0.451,9,28,0.321,17,25,0.68,9,26,15,9,1,10,22,20,42,0.476,2,14,0.143,16,25,0.64,8,31,2,5,1,16,21
21,Abilene Christian,22,2020-02-05,@,Northwestern State,L,69,73,25,69,0.362,7,25,0.28,12,16,0.75,12,37,13,8,3,11,20,25,56,0.446,7,18,0.389,16,24,0.667,9,36,6,4,4,15,14
22,Abilene Christian,23,2020-02-08,,Lamar,W,84,49,31,60,0.517,15,32,0.469,7,13,0.538,9,43,15,7,5,15,24,15,57,0.263,4,17,0.235,15,26,0.577,9,29,5,7,5,15,17
23,Abilene Christian,24,2020-02-12,,Houston Christian,W,81,67,29,58,0.5,8,20,0.4,15,25,0.6,6,28,24,11,6,13,25,19,52,0.365,5,17,0.294,24,29,0.828,10,32,7,7,2,24,24
24,Abilene Christian,25,2020-02-15,@,Texas A&M-Corpus Christi,W,78,64,26,46,0.565,1,13,0.077,25,32,0.781,6,26,10,12,3,15,19,24,49,0.49,6,16,0.375,10,19,0.526,6,24,11,3,1,18,21
