Index,Team,Gtm,Date,Site,Opponent,Type,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,oFG,oFGA,oFG%,o3P,o3PA,o3P%,o2P,o2PA,o2P%,oeFG%,oFT,oFTA,oFT%,oORB,oDRB,oTRB,oAST,oSTL,oBLK,oTOV,oPF
3031,George Mason,15,2017-01-04,,Massachusetts,REG (Conf),W,86,81,,30,68,0.441,9,20,0.45,21,48,0.438,0.507,17,28,0.607,10,24,34,13,6,3,8,11,34,73,0.466,8,26,0.308,26,47,0.553,0.521,5,7,0.714,12,30,42,12,3,8,12,22
3032,George Mason,16,2017-01-07,@,St. Bonaventure,REG (Conf),L,72,82,,22,52,0.423,6,18,0.333,16,34,0.471,0.481,22,32,0.688,10,24,34,10,3,5,15,19,30,67,0.448,5,19,0.263,25,48,0.521,0.485,17,23,0.739,11,24,35,16,9,2,8,23
3033,George Mason,17,2017-01-10,@,Saint Joseph's,REG (Conf),W,75,67,,26,52,0.5,7,17,0.412,19,35,0.543,0.567,16,21,0.762,8,19,27,10,10,2,15,17,27,64,0.422,5,21,0.238,22,43,0.512,0.461,8,12,0.667,8,15,23,5,4,2,14,16
3034,George Mason,18,2017-01-14,,Saint Louis,REG (Conf),L,56,63,,20,51,0.392,5,15,0.333,15,36,0.417,0.441,11,19,0.579,8,27,35,12,1,1,11,17,21,55,0.382,9,25,0.36,12,30,0.4,0.464,12,16,0.75,6,25,31,12,3,0,7,19
3035,George Mason,19,2017-01-22,@,Richmond,REG (Conf),W,82,77,,30,64,0.469,5,16,0.313,25,48,0.521,0.508,17,24,0.708,11,33,44,10,6,5,15,18,26,72,0.361,9,30,0.3,17,42,0.405,0.424,16,20,0.8,9,25,34,18,8,0,10,19
3036,George Mason,20,2017-01-25,,George Washington,REG (Conf),L,68,87,,25,62,0.403,1,8,0.125,24,54,0.444,0.411,17,26,0.654,10,25,35,5,7,3,13,26,27,61,0.443,11,19,0.579,16,42,0.381,0.533,22,30,0.733,11,25,36,19,3,5,10,21
3037,George Mason,21,2017-01-28,@,Massachusetts,REG (Conf),W,76,74,,28,60,0.467,6,10,0.6,22,50,0.44,0.517,14,22,0.636,8,30,38,17,7,1,11,15,28,67,0.418,10,29,0.345,18,38,0.474,0.493,8,17,0.471,13,22,35,20,5,12,9,17
3038,George Mason,22,2017-02-01,@,Saint Louis,REG (Conf),L,74,76,2OT,24,57,0.421,10,23,0.435,14,34,0.412,0.509,16,21,0.762,5,25,30,16,3,0,13,19,24,60,0.4,8,28,0.286,16,32,0.5,0.467,20,27,0.741,11,29,40,16,8,4,9,16
3039,George Mason,23,2017-02-04,,La Salle,REG (Conf),W,95,75,,31,49,0.633,10,18,0.556,21,31,0.677,0.735,23,27,0.852,6,27,33,15,2,1,14,21,25,55,0.455,11,25,0.44,14,30,0.467,0.555,14,20,0.7,5,12,17,12,7,2,9,20
3040,George Mason,24,2017-02-08,@,Davidson,REG (Conf),W,76,69,,27,63,0.429,5,15,0.333,22,48,0.458,0.468,17,18,0.944,10,30,40,8,7,2,8,11,28,62,0.452,7,27,0.259,21,35,0.6,0.508,6,9,0.667,5,24,29,18,4,3,10,13
3041,George Mason,25,2017-02-11,,Fordham,REG (Conf),W,73,67,,24,52,0.462,6,13,0.462,18,39,0.462,0.519,19,25,0.76,12,29,41,15,7,2,18,11,27,62,0.435,9,28,0.321,18,34,0.529,0.508,4,6,0.667,6,16,22,17,14,3,10,21
3042,George Mason,26,2017-02-14,,Richmond,REG (Conf),W,93,70,,29,54,0.537,6,18,0.333,23,36,0.639,0.593,29,32,0.906,9,30,39,12,3,1,14,7,30,65,0.462,6,21,0.286,24,44,0.545,0.508,4,8,0.5,5,16,21,16,6,1,7,21
3043,George Mason,27,2017-02-18,,Rhode Island,REG (Conf),L,74,77,,20,45,0.444,3,13,0.231,17,32,0.531,0.478,31,36,0.861,8,25,33,5,5,3,13,22,24,58,0.414,9,20,0.45,15,38,0.395,0.491,20,28,0.714,13,16,29,12,5,7,9,23
3044,George Mason,28,2017-02-21,@,Dayton,REG (Conf),L,70,83,,25,61,0.41,8,23,0.348,17,38,0.447,0.475,12,19,0.632,12,30,42,13,2,1,17,19,28,63,0.444,10,25,0.4,18,38,0.474,0.524,17,24,0.708,7,26,33,17,8,9,5,19
3045,George Mason,29,2017-02-26,@,George Washington,REG (Conf),L,74,83,,32,58,0.552,5,12,0.417,27,46,0.587,0.595,5,10,0.5,5,28,33,13,4,1,14,16,30,62,0.484,8,20,0.4,22,42,0.524,0.548,15,17,0.882,3,21,24,17,8,5,5,10
3046,George Mason,30,2017-03-01,,Duquesne,REG (Conf),W,63,62,,25,62,0.403,3,18,0.167,22,44,0.5,0.427,10,12,0.833,7,23,30,8,6,2,6,11,24,55,0.436,4,14,0.286,20,41,0.488,0.473,10,16,0.625,8,27,35,6,2,5,11,10
3047,George Mason,31,2017-03-04,@,Virginia Commonwealth,REG (Conf),L,60,72,,22,53,0.415,1,9,0.111,21,44,0.477,0.425,15,20,0.75,8,33,41,12,2,2,14,15,31,68,0.456,3,18,0.167,28,50,0.56,0.478,7,13,0.538,8,26,34,20,5,4,4,17
3048,George Mason,32,2017-03-09,N,Fordham,CTOURN,W,82,71,OT,25,59,0.424,5,17,0.294,20,42,0.476,0.466,27,32,0.844,17,34,51,13,2,5,14,18,25,63,0.397,9,26,0.346,16,37,0.432,0.468,12,17,0.706,3,16,19,12,7,3,5,21
3049,George Mason,33,2017-03-10,N,Virginia Commonwealth,CTOURN,L,60,71,,20,52,0.385,3,14,0.214,17,38,0.447,0.413,17,22,0.773,9,24,33,7,3,3,12,17,26,56,0.464,7,14,0.5,19,42,0.452,0.527,12,23,0.522,9,24,33,14,8,3,10,19
3050,George Mason,34,2017-03-15,,Loyola (MD),CBI,L,58,73,,20,60,0.333,5,17,0.294,15,43,0.349,0.375,13,15,0.867,6,26,32,11,5,7,12,15,29,62,0.468,5,15,0.333,24,47,0.511,0.508,10,14,0.714,6,33,39,10,6,4,12,15
3051,George Washington,1,2016-11-11,,NON-FBS-SCHOOL,REG (Non-Conf),W,75,71,,19,45,0.422,8,22,0.364,11,23,0.478,0.511,29,34,0.853,11,26,37,16,3,3,18,14,25,68,0.368,9,21,0.429,16,47,0.34,0.434,12,14,0.857,13,14,27,11,11,2,10,24
3052,George Washington,2,2016-11-15,,Siena,REG (Non-Conf),W,77,75,,27,61,0.443,5,19,0.263,22,42,0.524,0.484,18,23,0.783,15,27,42,11,3,3,12,15,30,67,0.448,7,20,0.35,23,47,0.489,0.5,8,13,0.615,8,19,27,12,6,5,6,20
3053,George Washington,3,2016-11-17,,NON-FBS-SCHOOL,REG (Non-Conf),W,61,41,,16,45,0.356,3,20,0.15,13,25,0.52,0.389,26,41,0.634,14,40,54,9,8,5,19,17,16,60,0.267,3,22,0.136,13,38,0.342,0.292,6,11,0.545,3,24,27,9,11,1,13,27
3054,George Washington,4,2016-11-21,N,Georgia,REG (Non-Conf),L,73,81,,24,56,0.429,10,24,0.417,14,32,0.438,0.518,15,24,0.625,4,23,27,12,3,1,10,22,28,58,0.483,6,16,0.375,22,42,0.524,0.534,19,26,0.731,8,31,39,16,6,1,6,19
3055,George Washington,5,2016-11-22,N,UAB,REG (Non-Conf),L,74,81,,26,65,0.4,8,27,0.296,18,38,0.474,0.462,14,16,0.875,16,18,34,8,6,4,18,19,27,52,0.519,8,18,0.444,19,34,0.559,0.596,19,22,0.864,7,20,27,19,9,4,17,16
3056,George Washington,6,2016-11-26,,Penn State,REG (Non-Conf),L,68,74,,24,56,0.429,5,24,0.208,19,32,0.594,0.473,15,20,0.75,6,27,33,14,7,7,14,16,25,60,0.417,5,13,0.385,20,47,0.426,0.458,19,22,0.864,8,29,37,17,6,7,14,16
3057,George Washington,7,2016-11-29,@,Harvard,REG (Non-Conf),W,77,74,,23,52,0.442,5,10,0.5,18,42,0.429,0.49,26,35,0.743,13,25,38,10,8,3,16,17,26,56,0.464,9,22,0.409,17,34,0.5,0.545,13,17,0.765,9,18,27,18,11,7,16,28
3058,George Washington,8,2016-12-03,,South Florida,REG (Non-Conf),W,68,67,,21,55,0.382,9,23,0.391,12,32,0.375,0.464,17,27,0.63,12,19,31,13,9,2,11,13,29,54,0.537,7,15,0.467,22,39,0.564,0.602,2,4,0.5,5,27,32,16,5,2,14,23
3059,George Washington,9,2016-12-04,N,Florida State,REG (Non-Conf),L,48,67,,14,62,0.226,4,23,0.174,10,39,0.256,0.258,16,24,0.667,20,26,46,6,7,4,17,14,27,66,0.409,8,22,0.364,19,44,0.432,0.47,5,8,0.625,11,29,40,17,10,6,12,20
3060,George Washington,10,2016-12-07,@,Temple,REG (Non-Conf),W,66,63,,25,53,0.472,9,18,0.5,16,35,0.457,0.557,7,8,0.875,5,26,31,18,5,3,16,13,23,54,0.426,12,26,0.462,11,28,0.393,0.537,5,8,0.625,5,17,22,20,6,8,9,14
3061,George Washington,11,2016-12-10,,Howard,REG (Non-Conf),W,79,62,,23,51,0.451,13,26,0.5,10,25,0.4,0.578,20,23,0.87,10,27,37,20,3,3,12,18,20,60,0.333,5,20,0.25,15,40,0.375,0.375,17,21,0.81,11,18,29,8,10,3,7,16
3062,George Washington,12,2016-12-15,,UCF,REG (Non-Conf),W,74,59,,25,59,0.424,12,30,0.4,13,29,0.448,0.525,12,19,0.632,10,20,30,15,6,4,5,12,21,53,0.396,5,15,0.333,16,38,0.421,0.443,12,18,0.667,9,27,36,13,3,4,11,17
3063,George Washington,13,2016-12-22,@,Miami (FL),REG (Non-Conf),L,64,72,,23,56,0.411,7,22,0.318,16,34,0.471,0.473,11,15,0.733,11,22,33,11,5,3,11,14,25,57,0.439,7,14,0.5,18,43,0.419,0.5,15,19,0.789,10,21,31,10,5,3,6,14
3064,George Washington,14,2016-12-30,@,Saint Joseph's,REG (Conf),L,63,68,,22,64,0.344,12,26,0.462,10,38,0.263,0.438,7,7,1.0,15,30,45,18,3,3,10,18,27,58,0.466,5,14,0.357,22,44,0.5,0.509,9,19,0.474,7,18,25,14,7,7,3,9
3065,George Washington,15,2017-01-05,,Davidson,REG (Conf),W,73,69,,26,53,0.491,11,18,0.611,15,35,0.429,0.594,10,13,0.769,6,29,35,17,6,8,15,12,27,69,0.391,8,23,0.348,19,46,0.413,0.449,7,8,0.875,11,22,33,16,8,3,10,16
3066,George Washington,16,2017-01-08,,Richmond,REG (Conf),L,70,77,,24,53,0.453,8,25,0.32,16,28,0.571,0.528,14,17,0.824,7,19,26,15,5,5,10,13,32,52,0.615,8,15,0.533,24,37,0.649,0.692,5,11,0.455,3,23,26,22,6,3,12,18
3067,George Washington,17,2017-01-11,@,Virginia Commonwealth,REG (Conf),L,55,85,,18,49,0.367,2,16,0.125,16,33,0.485,0.388,17,26,0.654,14,18,32,4,4,4,16,18,33,64,0.516,7,18,0.389,26,46,0.565,0.57,12,16,0.75,11,21,32,20,9,2,7,24
3068,George Washington,18,2017-01-15,@,La Salle,REG (Conf),L,69,79,,23,48,0.479,10,24,0.417,13,24,0.542,0.583,13,18,0.722,8,12,20,15,7,1,17,15,27,44,0.614,11,17,0.647,16,27,0.593,0.739,14,15,0.933,3,12,15,20,7,0,13,17
3069,George Washington,19,2017-01-18,,Duquesne,REG (Conf),W,65,63,,24,57,0.421,11,25,0.44,13,32,0.406,0.518,6,10,0.6,10,30,40,17,4,9,14,15,26,64,0.406,4,21,0.19,22,43,0.512,0.438,7,13,0.538,10,21,31,12,6,4,12,13
3070,George Washington,20,2017-01-25,@,George Mason,REG (Conf),W,87,68,,27,61,0.443,11,19,0.579,16,42,0.381,0.533,22,30,0.733,11,25,36,19,3,5,10,21,25,62,0.403,1,8,0.125,24,54,0.444,0.411,17,26,0.654,10,25,35,5,7,3,13,26
3071,George Washington,21,2017-01-28,,Saint Louis,REG (Conf),W,63,55,,20,45,0.444,6,19,0.316,14,26,0.538,0.511,17,23,0.739,6,26,32,11,3,6,11,14,21,55,0.382,9,20,0.45,12,35,0.343,0.464,4,6,0.667,5,19,24,10,5,0,9,20
3072,George Washington,22,2017-01-31,@,Rhode Island,REG (Conf),L,70,82,,26,53,0.491,7,14,0.5,19,39,0.487,0.557,11,13,0.846,5,14,19,15,6,2,9,15,29,53,0.547,6,14,0.429,23,39,0.59,0.604,18,20,0.9,6,22,28,14,5,9,9,14
3073,George Washington,23,2017-02-04,@,Richmond,REG (Conf),L,75,84,,21,59,0.356,7,29,0.241,14,30,0.467,0.415,26,30,0.867,12,24,36,7,4,0,10,20,30,54,0.556,7,21,0.333,23,33,0.697,0.62,17,22,0.773,2,27,29,13,4,2,7,22
3074,George Washington,24,2017-02-08,,Virginia Commonwealth,REG (Conf),L,53,54,,19,60,0.317,5,20,0.25,14,40,0.35,0.358,10,17,0.588,17,23,40,8,9,4,7,17,19,53,0.358,5,18,0.278,14,35,0.4,0.406,11,15,0.733,10,26,36,9,4,3,12,16
3075,George Washington,25,2017-02-11,,St. Bonaventure,REG (Conf),W,76,70,,21,48,0.438,10,20,0.5,11,28,0.393,0.542,24,32,0.75,8,30,38,14,2,5,14,15,23,61,0.377,5,23,0.217,18,38,0.474,0.418,19,23,0.826,6,19,25,20,11,2,8,25
3076,George Washington,26,2017-02-15,@,Davidson,REG (Conf),L,63,74,,23,60,0.383,7,22,0.318,16,38,0.421,0.442,10,11,0.909,11,22,33,13,1,5,12,19,25,61,0.41,7,18,0.389,18,43,0.419,0.467,17,20,0.85,9,24,33,13,9,2,4,14
3077,George Washington,27,2017-02-19,@,Duquesne,REG (Conf),W,77,70,,23,61,0.377,12,26,0.462,11,35,0.314,0.475,19,22,0.864,14,21,35,16,4,3,10,15,25,60,0.417,4,13,0.308,21,47,0.447,0.45,16,17,0.941,11,22,33,13,4,1,10,18
3078,George Washington,28,2017-02-23,,Massachusetts,REG (Conf),W,83,67,,31,58,0.534,7,14,0.5,24,44,0.545,0.595,14,20,0.7,7,29,36,16,6,3,15,14,25,62,0.403,6,26,0.231,19,36,0.528,0.452,11,16,0.688,7,20,27,10,12,3,11,21
3079,George Washington,29,2017-02-26,,George Mason,REG (Conf),W,83,74,,30,62,0.484,8,20,0.4,22,42,0.524,0.548,15,17,0.882,3,21,24,17,8,5,5,10,32,58,0.552,5,12,0.417,27,46,0.587,0.595,5,10,0.5,5,28,33,13,4,1,14,16
3080,George Washington,30,2017-03-01,@,Fordham,REG (Conf),W,67,66,,22,45,0.489,4,12,0.333,18,33,0.545,0.533,19,26,0.731,8,20,28,9,10,1,18,13,26,52,0.5,11,28,0.393,15,24,0.625,0.606,3,5,0.6,5,16,21,18,11,1,17,20
3081,George Washington,31,2017-03-04,,Dayton,REG (Conf),W,87,81,,27,57,0.474,13,26,0.5,14,31,0.452,0.588,20,28,0.714,10,23,33,14,9,4,10,21,28,58,0.483,8,20,0.4,20,38,0.526,0.552,17,31,0.548,10,20,30,18,7,2,12,24
3082,George Washington,32,2017-03-09,N,Saint Louis,CTOURN,W,53,46,,21,58,0.362,4,20,0.2,17,38,0.447,0.397,7,8,0.875,6,27,33,15,9,4,8,8,18,49,0.367,5,22,0.227,13,27,0.481,0.418,5,8,0.625,7,28,35,10,2,3,16,10
3083,George Washington,33,2017-03-10,N,Richmond,CTOURN,L,67,70,,28,51,0.549,7,17,0.412,21,34,0.618,0.618,4,4,1.0,8,19,27,14,2,6,12,15,26,58,0.448,6,21,0.286,20,37,0.541,0.5,12,16,0.75,8,13,21,16,6,2,4,12
3084,George Washington,34,2017-03-15,,Toledo,CBI,W,73,69,,28,57,0.491,9,24,0.375,19,33,0.576,0.57,8,12,0.667,6,23,29,13,6,3,7,13,29,57,0.509,6,20,0.3,23,37,0.622,0.561,5,7,0.714,5,23,28,11,2,1,9,11
3085,George Washington,35,2017-03-20,@,NON-FBS-SCHOOL,CBI,L,71,80,,27,63,0.429,7,19,0.368,20,44,0.455,0.484,10,17,0.588,7,17,24,16,8,5,12,16,29,62,0.468,8,23,0.348,21,39,0.538,0.532,14,19,0.737,12,28,40,24,8,6,14,16
3086,Georgetown,1,2016-11-12,,South Carolina Upstate,REG (Non-Conf),W,105,60,,36,54,0.667,9,17,0.529,27,37,0.73,0.75,24,32,0.75,5,22,27,22,13,2,14,24,21,57,0.368,6,25,0.24,15,32,0.469,0.421,12,28,0.429,20,13,33,11,6,2,25,26
3087,Georgetown,2,2016-11-15,,Maryland,REG (Non-Conf),L,75,76,,16,50,0.32,6,15,0.4,10,35,0.286,0.38,37,42,0.881,10,22,32,7,6,4,15,24,26,58,0.448,7,27,0.259,19,31,0.613,0.509,17,22,0.773,8,25,33,11,6,7,14,32
3088,Georgetown,3,2016-11-17,,Arkansas State,REG (Non-Conf),L,72,78,,23,56,0.411,3,20,0.15,20,36,0.556,0.438,23,32,0.719,9,17,26,14,5,3,11,25,28,51,0.549,6,12,0.5,22,39,0.564,0.608,16,28,0.571,9,24,33,12,3,2,14,29
3089,Georgetown,4,2016-11-21,N,Oregon,REG (Non-Conf),W,65,61,,21,61,0.344,6,21,0.286,15,40,0.375,0.393,17,22,0.773,8,26,34,10,8,10,14,21,23,59,0.39,4,17,0.235,19,42,0.452,0.424,11,20,0.55,14,27,41,10,7,10,17,22
3090,Georgetown,5,2016-11-22,N,Wisconsin,REG (Non-Conf),L,57,73,,18,47,0.383,5,15,0.333,13,32,0.406,0.436,16,20,0.8,0,19,19,7,6,1,10,16,28,65,0.431,5,22,0.227,23,43,0.535,0.469,12,16,0.75,18,28,46,12,5,5,13,18
3091,Georgetown,6,2016-11-23,N,Oklahoma State,REG (Non-Conf),L,70,97,,24,47,0.511,3,9,0.333,21,38,0.553,0.543,19,27,0.704,10,18,28,11,5,1,27,18,36,71,0.507,7,19,0.368,29,52,0.558,0.556,18,19,0.947,9,16,25,18,19,2,10,23
3092,Georgetown,7,2016-11-27,,Howard,REG (Non-Conf),W,85,72,,27,55,0.491,13,28,0.464,14,27,0.519,0.609,18,24,0.75,9,22,31,21,11,7,17,20,25,58,0.431,4,12,0.333,21,46,0.457,0.466,18,26,0.692,10,17,27,7,7,2,17,19
3093,Georgetown,8,2016-11-30,,Coppin State,REG (Non-Conf),W,96,44,,34,68,0.5,14,31,0.452,20,37,0.541,0.603,14,19,0.737,18,32,50,22,6,9,10,18,16,59,0.271,7,24,0.292,9,35,0.257,0.331,5,12,0.417,6,13,19,9,2,5,13,17
3094,Georgetown,9,2016-12-04,,Elon,REG (Non-Conf),W,77,74,,28,52,0.538,4,14,0.286,24,38,0.632,0.577,17,24,0.708,4,27,31,13,6,9,9,16,29,69,0.42,11,28,0.393,18,41,0.439,0.5,5,7,0.714,9,23,32,16,4,1,9,17
3095,Georgetown,10,2016-12-10,N,La Salle,REG (Non-Conf),W,93,78,,25,47,0.532,7,12,0.583,18,35,0.514,0.606,36,43,0.837,5,28,33,13,5,9,11,26,25,61,0.41,6,21,0.286,19,40,0.475,0.459,22,33,0.667,8,21,29,11,6,1,9,32
3096,Georgetown,11,2016-12-17,@,Syracuse,REG (Non-Conf),W,78,71,,25,53,0.472,6,14,0.429,19,39,0.487,0.528,22,25,0.88,11,28,39,16,6,5,18,20,25,57,0.439,7,20,0.35,18,37,0.486,0.5,14,25,0.56,10,16,26,10,10,3,13,23
3097,Georgetown,12,2016-12-22,,UNC Greensboro,REG (Non-Conf),W,78,56,,27,53,0.509,9,17,0.529,18,36,0.5,0.594,15,21,0.714,8,29,37,23,5,10,12,18,22,72,0.306,3,14,0.214,19,58,0.328,0.326,9,15,0.6,18,22,40,12,7,4,13,22
3098,Georgetown,13,2016-12-28,@,Marquette,REG (Conf),L,66,76,,25,59,0.424,9,21,0.429,16,38,0.421,0.5,7,11,0.636,10,21,31,13,5,7,15,18,26,59,0.441,10,23,0.435,16,36,0.444,0.525,14,17,0.824,7,21,28,19,12,3,9,14
3099,Georgetown,14,2016-12-31,,Xavier,REG (Conf),L,76,81,,28,56,0.5,6,17,0.353,22,39,0.564,0.554,14,23,0.609,6,30,36,20,3,3,10,28,23,59,0.39,6,19,0.316,17,40,0.425,0.441,29,38,0.763,14,25,39,15,5,0,8,23
3100,Georgetown,15,2017-01-04,@,Providence,REG (Conf),L,70,76,,27,65,0.415,8,26,0.308,19,39,0.487,0.477,8,16,0.5,12,21,33,14,3,3,8,21,24,54,0.444,6,15,0.4,18,39,0.462,0.5,22,30,0.733,11,28,39,11,2,6,10,18
3101,Georgetown,16,2017-01-07,,Butler,REG (Conf),L,76,85,OT,27,63,0.429,7,19,0.368,20,44,0.455,0.484,15,22,0.682,7,25,32,14,6,5,15,24,25,64,0.391,10,20,0.5,15,44,0.341,0.469,25,29,0.862,12,29,41,12,7,2,12,24
3102,Georgetown,17,2017-01-09,,St. John's (NY),REG (Conf),W,83,55,,26,61,0.426,4,17,0.235,22,44,0.5,0.459,27,33,0.818,12,35,47,17,7,7,14,26,16,58,0.276,5,30,0.167,11,28,0.393,0.319,18,27,0.667,3,22,25,7,2,7,15,27
3103,Georgetown,18,2017-01-14,,Connecticut,REG (Non-Conf),W,72,69,,24,55,0.436,8,23,0.348,16,32,0.5,0.509,16,20,0.8,10,24,34,16,4,4,9,18,23,51,0.451,8,18,0.444,15,33,0.455,0.529,15,19,0.789,2,21,23,15,3,6,9,19
3104,Georgetown,19,2017-01-16,,Providence,REG (Conf),L,56,74,,18,55,0.327,5,23,0.217,13,32,0.406,0.373,15,21,0.714,11,27,38,13,4,2,15,15,26,55,0.473,9,21,0.429,17,34,0.5,0.555,13,20,0.65,4,27,31,19,8,1,8,18
3105,Georgetown,20,2017-01-22,@,Xavier,REG (Conf),L,75,86,,28,52,0.538,8,20,0.4,20,32,0.625,0.615,11,14,0.786,1,16,17,22,3,1,15,34,22,50,0.44,6,15,0.4,16,35,0.457,0.5,36,49,0.735,11,22,33,16,7,0,10,17
3106,Georgetown,21,2017-01-25,,Creighton,REG (Conf),W,71,51,,29,61,0.475,7,21,0.333,22,40,0.55,0.533,6,16,0.375,8,34,42,20,7,5,13,16,20,58,0.345,1,18,0.056,19,40,0.475,0.353,10,18,0.556,5,27,32,12,9,5,12,15
3107,Georgetown,22,2017-01-28,@,Butler,REG (Conf),W,85,81,,30,47,0.638,10,20,0.5,20,27,0.741,0.745,15,18,0.833,2,19,21,17,3,4,13,21,30,55,0.545,7,18,0.389,23,37,0.622,0.609,14,16,0.875,4,14,18,16,4,0,9,17
3108,Georgetown,23,2017-01-31,@,DePaul,REG (Conf),W,76,73,,24,44,0.545,9,20,0.45,15,24,0.625,0.648,19,27,0.704,4,25,29,15,3,4,20,22,28,64,0.438,6,19,0.316,22,45,0.489,0.484,11,16,0.688,13,17,30,11,11,3,13,22
3109,Georgetown,24,2017-02-04,,Seton Hall,REG (Conf),L,66,68,OT,24,63,0.381,1,19,0.053,23,44,0.523,0.389,17,25,0.68,13,25,38,12,6,7,11,22,22,62,0.355,3,11,0.273,19,51,0.373,0.379,21,29,0.724,15,27,42,7,6,1,12,26
3110,Georgetown,25,2017-02-07,@,Villanova,REG (Conf),L,64,75,,24,55,0.436,6,18,0.333,18,37,0.486,0.491,10,15,0.667,8,19,27,19,5,1,12,19,26,56,0.464,7,23,0.304,19,33,0.576,0.527,16,19,0.842,10,21,31,16,7,2,8,12
3111,Georgetown,26,2017-02-11,,Marquette,REG (Conf),W,80,62,,29,54,0.537,6,12,0.5,23,42,0.548,0.593,16,25,0.64,8,31,39,17,5,2,8,17,23,55,0.418,3,14,0.214,20,41,0.488,0.445,13,20,0.65,6,21,27,9,5,4,10,20
3112,Georgetown,27,2017-02-19,@,Creighton,REG (Conf),L,70,87,,25,64,0.391,3,22,0.136,22,42,0.524,0.414,17,25,0.68,12,26,38,11,7,4,15,18,34,64,0.531,9,20,0.45,25,44,0.568,0.602,10,17,0.588,6,29,35,17,7,2,13,17
3113,Georgetown,28,2017-02-22,,DePaul,REG (Conf),L,65,67,,21,49,0.429,3,13,0.231,18,36,0.5,0.459,20,24,0.833,7,21,28,13,3,3,12,19,25,53,0.472,7,15,0.467,18,38,0.474,0.538,10,16,0.625,11,19,30,13,6,4,12,23
3114,Georgetown,29,2017-02-25,@,St. John's (NY),REG (Conf),L,80,86,,27,51,0.529,7,16,0.438,20,35,0.571,0.598,19,25,0.76,7,26,33,15,5,6,21,26,27,61,0.443,7,13,0.538,20,48,0.417,0.5,25,31,0.806,5,19,24,10,11,8,9,23
3115,Georgetown,30,2017-02-28,@,Seton Hall,REG (Conf),L,59,62,,24,49,0.49,5,14,0.357,19,35,0.543,0.541,6,8,0.75,5,21,26,12,7,3,15,17,26,63,0.413,3,18,0.167,23,45,0.511,0.437,7,11,0.636,17,16,33,10,9,2,9,10
3116,Georgetown,31,2017-03-04,,Villanova,REG (Conf),L,55,81,,17,47,0.362,4,15,0.267,13,32,0.406,0.404,17,22,0.773,7,24,31,9,4,2,19,22,25,54,0.463,8,23,0.348,17,31,0.548,0.537,23,30,0.767,6,25,31,12,12,3,6,20
3117,Georgetown,32,2017-03-08,N,St. John's (NY),CTOURN,L,73,74,,27,59,0.458,5,21,0.238,22,38,0.579,0.5,14,25,0.56,9,28,37,12,3,4,13,23,23,61,0.377,5,20,0.25,18,41,0.439,0.418,23,32,0.719,11,23,34,13,6,7,8,22
3118,Georgia,1,2016-11-11,@,Clemson,REG (Non-Conf),L,64,74,,26,61,0.426,5,15,0.333,21,46,0.457,0.467,7,11,0.636,10,27,37,14,5,5,14,20,27,62,0.435,7,22,0.318,20,40,0.5,0.492,13,16,0.813,9,22,31,10,4,5,7,18
3119,Georgia,2,2016-11-14,,UNC Asheville,REG (Non-Conf),W,60,46,,22,55,0.4,6,20,0.3,16,35,0.457,0.455,10,11,0.909,9,31,40,17,4,5,17,11,20,59,0.339,4,22,0.182,16,37,0.432,0.373,2,5,0.4,5,23,28,10,8,4,11,12
3120,Georgia,3,2016-11-17,,Furman,REG (Non-Conf),W,84,78,,28,53,0.528,5,18,0.278,23,35,0.657,0.575,23,29,0.793,8,22,30,10,3,2,10,19,27,54,0.5,10,21,0.476,17,33,0.515,0.593,14,20,0.7,4,15,19,14,4,0,12,24
3121,Georgia,4,2016-11-21,N,George Washington,REG (Non-Conf),W,81,73,,28,58,0.483,6,16,0.375,22,42,0.524,0.534,19,26,0.731,8,31,39,16,6,1,6,19,24,56,0.429,10,24,0.417,14,32,0.438,0.518,15,24,0.625,4,23,27,12,3,1,10,22
3122,Georgia,5,2016-11-22,N,Kansas,REG (Non-Conf),L,54,65,,19,60,0.317,3,18,0.167,16,42,0.381,0.342,13,23,0.565,15,24,39,8,6,5,14,15,24,62,0.387,6,21,0.286,18,41,0.439,0.435,11,15,0.733,11,26,37,12,8,6,14,23
3123,Georgia,6,2016-11-25,,Gardner-Webb,REG (Non-Conf),W,77,59,,26,55,0.473,4,13,0.308,22,42,0.524,0.509,21,28,0.75,7,30,37,16,11,4,14,23,18,56,0.321,2,14,0.143,16,42,0.381,0.339,21,30,0.7,11,23,34,6,4,2,19,26
3124,Georgia,7,2016-11-30,,NON-FBS-SCHOOL,REG (Non-Conf),W,86,72,,29,55,0.527,11,22,0.5,18,33,0.545,0.627,17,25,0.68,6,28,34,21,5,5,15,16,26,63,0.413,6,20,0.3,20,43,0.465,0.46,14,21,0.667,9,23,32,6,6,1,16,20
3125,Georgia,8,2016-12-04,,Marquette,REG (Non-Conf),L,79,89,,29,59,0.492,7,21,0.333,22,38,0.579,0.551,14,20,0.7,8,20,28,21,8,6,12,16,31,66,0.47,13,29,0.448,18,37,0.486,0.568,14,17,0.824,11,26,37,15,9,2,9,18
