Index,Team,Gtm,Date,Site,Opponent,Type,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,oFG,oFGA,oFG%,o3P,o3PA,o3P%,o2P,o2PA,o2P%,oeFG%,oFT,oFTA,oFT%,oORB,oDRB,oTRB,oAST,oSTL,oBLK,oTOV,oPF
181,Alabama State,21,2017-01-30,@,NON-FBS-SCHOOL,REG (Conf),L,52,72,,16,49,0.327,8,26,0.308,8,23,0.348,0.408,12,19,0.632,10,18,28,10,1,3,16,12,26,57,0.456,10,21,0.476,16,36,0.444,0.544,10,12,0.833,10,22,32,15,9,3,12,15
182,Alabama State,22,2017-02-04,,NON-FBS-SCHOOL,REG (Conf),W,77,65,,23,47,0.489,7,22,0.318,16,25,0.64,0.564,24,37,0.649,9,27,36,14,8,2,11,13,24,60,0.4,8,25,0.32,16,35,0.457,0.467,9,14,0.643,12,21,33,12,3,2,13,26
183,Alabama State,23,2017-02-06,,Mississippi Valley State,REG (Conf),W,71,66,,25,51,0.49,4,16,0.25,21,35,0.6,0.529,17,31,0.548,10,31,41,13,3,7,21,19,22,59,0.373,6,18,0.333,16,41,0.39,0.424,16,22,0.727,12,21,33,7,12,1,14,27
184,Alabama State,24,2017-02-11,,Alabama A&M,REG (Conf),W,97,89,3OT,28,76,0.368,8,24,0.333,20,52,0.385,0.421,33,47,0.702,16,36,52,12,7,7,18,26,32,86,0.372,2,19,0.105,30,67,0.448,0.384,23,38,0.605,17,33,50,12,7,3,11,34
185,Alabama State,25,2017-02-18,@,Alcorn State,REG (Conf),L,67,75,,22,58,0.379,7,23,0.304,15,35,0.429,0.44,16,25,0.64,12,21,33,9,7,2,18,16,26,50,0.52,8,17,0.471,18,33,0.545,0.6,15,22,0.682,5,24,29,12,6,3,16,19
186,Alabama State,26,2017-02-20,@,Southern,REG (Conf),L,73,79,,27,76,0.355,7,24,0.292,20,52,0.385,0.401,12,20,0.6,19,25,44,10,3,3,11,22,28,59,0.475,6,16,0.375,22,43,0.512,0.525,17,26,0.654,11,23,34,16,5,7,9,16
187,Alabama State,27,2017-02-25,,Texas Southern,REG (Conf),L,73,86,,23,54,0.426,3,14,0.214,20,40,0.5,0.454,24,33,0.727,7,26,33,7,3,2,17,24,28,62,0.452,6,17,0.353,22,45,0.489,0.5,24,30,0.8,11,23,34,11,9,1,10,21
188,Alabama State,28,2017-02-27,,NON-FBS-SCHOOL,REG (Conf),L,58,77,,23,46,0.5,6,15,0.4,17,31,0.548,0.565,6,12,0.5,9,18,27,9,1,3,17,14,29,54,0.537,11,24,0.458,18,30,0.6,0.639,8,13,0.615,8,16,24,13,7,4,9,14
189,Alabama State,29,2017-03-02,@,NON-FBS-SCHOOL,REG (Conf),L,69,82,,24,52,0.462,8,17,0.471,16,35,0.457,0.538,13,17,0.765,5,21,26,7,3,5,13,25,29,52,0.558,6,10,0.6,23,42,0.548,0.615,18,26,0.692,6,17,23,20,4,3,5,15
190,Alabama State,30,2017-03-04,@,Jackson State,REG (Conf),L,59,65,,20,46,0.435,5,17,0.294,15,29,0.517,0.489,14,20,0.7,5,24,29,7,1,3,17,21,19,56,0.339,7,24,0.292,12,32,0.375,0.402,20,30,0.667,11,19,30,7,8,1,6,17
191,Alabama State,31,2017-03-07,@,Texas Southern,CTOURN,L,72,87,,27,74,0.365,6,16,0.375,21,58,0.362,0.405,12,18,0.667,23,18,41,13,3,4,12,27,25,54,0.463,6,20,0.3,19,34,0.559,0.519,31,38,0.816,9,24,33,11,8,5,7,17
192,Albany (NY),1,2016-11-11,@,Penn State,REG (Non-Conf),W,87,81,,30,61,0.492,7,14,0.5,23,47,0.489,0.549,20,25,0.8,10,30,40,16,4,3,14,22,27,63,0.429,9,25,0.36,18,38,0.474,0.5,18,22,0.818,3,19,22,9,7,8,12,23
193,Albany (NY),2,2016-11-14,@,Cincinnati,REG (Non-Conf),L,51,74,,20,48,0.417,2,14,0.143,18,34,0.529,0.438,9,14,0.643,11,21,32,8,4,1,22,19,28,61,0.459,5,21,0.238,23,40,0.575,0.5,13,20,0.65,12,19,31,16,13,6,10,21
194,Albany (NY),3,2016-11-16,,NON-FBS-SCHOOL,REG (Non-Conf),W,97,56,,38,81,0.469,5,12,0.417,33,69,0.478,0.5,16,25,0.64,21,41,62,15,9,2,12,13,20,71,0.282,5,27,0.185,15,44,0.341,0.317,11,13,0.846,7,21,28,11,3,9,13,19
195,Albany (NY),4,2016-11-19,N,Grand Canyon,REG (Non-Conf),L,77,82,,27,59,0.458,8,21,0.381,19,38,0.5,0.525,15,21,0.714,9,23,32,10,6,1,12,21,29,59,0.492,10,24,0.417,19,35,0.543,0.576,14,21,0.667,8,23,31,15,5,3,8,16
196,Albany (NY),5,2016-11-20,N,Brown,REG (Non-Conf),W,80,76,,26,52,0.5,6,14,0.429,20,38,0.526,0.558,22,28,0.786,9,25,34,9,3,2,17,25,25,59,0.424,5,20,0.25,20,39,0.513,0.466,21,29,0.724,7,16,23,13,12,1,7,22
197,Albany (NY),6,2016-11-27,,Siena,REG (Non-Conf),W,81,72,,27,52,0.519,6,12,0.5,21,40,0.525,0.577,21,32,0.656,5,22,27,15,3,0,6,21,23,49,0.469,7,22,0.318,16,27,0.593,0.541,19,25,0.76,5,23,28,11,4,5,10,28
198,Albany (NY),7,2016-11-30,,Holy Cross,REG (Non-Conf),L,49,55,,21,45,0.467,1,9,0.111,20,36,0.556,0.478,6,10,0.6,8,24,32,12,4,2,18,15,18,46,0.391,11,29,0.379,7,17,0.412,0.511,8,10,0.8,1,18,19,15,12,4,8,18
199,Albany (NY),8,2016-12-03,@,Yale,REG (Non-Conf),L,55,59,,22,50,0.44,2,12,0.167,20,38,0.526,0.46,9,10,0.9,4,24,28,13,4,0,12,11,22,56,0.393,11,29,0.379,11,27,0.407,0.491,4,5,0.8,9,23,32,15,2,5,13,14
200,Albany (NY),9,2016-12-07,,Marist,REG (Non-Conf),W,78,66,,26,60,0.433,5,14,0.357,21,46,0.457,0.475,21,28,0.75,12,21,33,13,9,2,9,14,25,51,0.49,11,28,0.393,14,23,0.609,0.598,5,8,0.625,5,23,28,15,4,3,19,23
201,Albany (NY),10,2016-12-10,@,Colgate,REG (Non-Conf),W,74,66,,26,51,0.51,3,9,0.333,23,42,0.548,0.539,19,26,0.731,11,17,28,8,9,1,9,11,23,45,0.511,11,29,0.379,12,16,0.75,0.633,9,11,0.818,5,16,21,11,4,4,15,21
202,Albany (NY),11,2016-12-12,@,Canisius,REG (Non-Conf),L,64,77,,27,66,0.409,2,11,0.182,25,55,0.455,0.424,8,8,1.0,9,27,36,11,5,1,13,20,26,57,0.456,12,28,0.429,14,29,0.483,0.561,13,17,0.765,5,25,30,20,7,4,13,14
203,Albany (NY),12,2016-12-17,,NON-FBS-SCHOOL,REG (Non-Conf),W,87,60,,29,61,0.475,8,17,0.471,21,44,0.477,0.541,21,25,0.84,13,30,43,19,2,3,15,19,24,59,0.407,5,22,0.227,19,37,0.514,0.449,7,12,0.583,2,16,18,12,11,4,8,23
204,Albany (NY),13,2016-12-20,@,Southern Methodist,REG (Non-Conf),L,53,71,,21,51,0.412,7,23,0.304,14,28,0.5,0.48,4,5,0.8,6,16,22,10,3,3,12,21,25,47,0.532,8,17,0.471,17,30,0.567,0.617,13,24,0.542,10,21,31,14,7,1,10,13
205,Albany (NY),14,2016-12-30,@,Columbia,REG (Non-Conf),W,70,67,,21,52,0.404,4,12,0.333,17,40,0.425,0.442,24,28,0.857,10,23,33,8,4,1,15,22,24,51,0.471,7,23,0.304,17,28,0.607,0.539,12,18,0.667,4,19,23,16,9,6,12,25
206,Albany (NY),15,2017-01-02,,Cornell,REG (Non-Conf),W,69,59,,27,62,0.435,4,16,0.25,23,46,0.5,0.468,11,16,0.688,11,26,37,14,4,0,10,13,22,49,0.449,10,31,0.323,12,18,0.667,0.551,5,9,0.556,1,22,23,14,6,2,11,17
207,Albany (NY),16,2017-01-05,@,NON-FBS-SCHOOL,REG (Conf),L,79,85,,32,56,0.571,7,16,0.438,25,40,0.625,0.634,8,11,0.727,7,19,26,13,4,0,12,18,33,52,0.635,12,23,0.522,21,29,0.724,0.75,7,12,0.583,2,14,16,17,7,1,11,14
208,Albany (NY),17,2017-01-08,@,Stony Brook,REG (Conf),L,70,72,,28,50,0.56,7,13,0.538,21,37,0.568,0.63,7,10,0.7,8,20,28,14,3,1,18,21,22,58,0.379,8,28,0.286,14,30,0.467,0.448,20,24,0.833,12,13,25,13,5,4,10,14
209,Albany (NY),18,2017-01-11,,New Hampshire,REG (Conf),L,67,75,,22,51,0.431,5,19,0.263,17,32,0.531,0.48,18,25,0.72,6,23,29,8,5,3,6,15,25,52,0.481,14,30,0.467,11,22,0.5,0.615,11,13,0.846,5,22,27,16,2,3,8,20
210,Albany (NY),19,2017-01-16,@,Maryland-Baltimore County,REG (Conf),W,77,50,,28,54,0.519,5,11,0.455,23,43,0.535,0.565,16,20,0.8,11,28,39,8,8,1,10,17,16,49,0.327,8,27,0.296,8,22,0.364,0.408,10,15,0.667,7,17,24,11,3,4,13,22
211,Albany (NY),20,2017-01-19,,Binghamton,REG (Conf),W,84,65,,35,54,0.648,7,12,0.583,28,42,0.667,0.713,7,11,0.636,8,14,22,17,4,1,8,15,22,48,0.458,8,24,0.333,14,24,0.583,0.542,13,14,0.929,10,11,21,12,4,2,12,12
212,Albany (NY),21,2017-01-22,,Maine,REG (Conf),W,81,63,,30,55,0.545,4,14,0.286,26,41,0.634,0.582,17,22,0.773,8,24,32,16,8,4,10,17,23,51,0.451,6,14,0.429,17,37,0.459,0.51,11,20,0.55,4,19,23,13,6,2,14,17
213,Albany (NY),22,2017-01-25,,Vermont,REG (Conf),L,49,60,,19,64,0.297,1,8,0.125,18,56,0.321,0.305,10,13,0.769,12,25,37,8,8,1,9,20,22,50,0.44,3,18,0.167,19,32,0.594,0.47,13,20,0.65,5,29,34,12,1,7,14,19
