,Offensive Rating,Defensive Rating
Abilene Christian,94.38685,107.545395
Air Force,100.71613,108.528786
Akron,98.473015,109.962814
Alabama,111.10663,91.480804
Alabama A&M,82.66336,122.35181
Alabama State,91.30895,115.95104
Albany (NY),103.54377,108.42997
Alcorn State,89.177284,117.229126
American,91.14044,111.289246
Appalachian State,103.0145,106.629944
Arizona,118.87717,97.206665
Arizona State,115.23795,95.004974
Arkansas,118.05843,94.12219
Arkansas State,101.797386,112.56791
Arkansas-Pine Bluff,91.6764,110.64689
Army,98.099915,108.5847
Auburn,113.57247,90.73964
Austin Peay,101.42758,104.154884
Ball State,101.187515,102.5207
Baylor,110.926994,88.811035
Belmont,111.798706,100.19641
Bethune-Cookman,95.2733,111.246735
Binghamton,94.827415,105.82786
Boise State,107.56877,93.63079
Boston College,111.088486,95.349144
Boston University,94.3383,108.534996
Bowling Green State,98.4372,108.81397
Bradley,100.35178,94.2866
Brigham Young,106.95546,93.414185
Brown,94.31482,107.18787
Bryant,93.74796,119.64699
Bucknell,106.3893,102.217834
Buffalo,109.28362,101.957275
Butler,114.95606,94.61019
Cal Poly,94.85857,111.17332
Cal State Bakersfield,95.27714,101.80006
Cal State Fullerton,100.99965,98.7439
Cal State Northridge,91.63216,111.69672
California,93.998665,100.73691
Campbell,100.38627,111.632996
Canisius,104.09743,101.34664
Central Arkansas,102.490105,110.72693
Central Connecticut State,96.432526,111.58009
Central Michigan,105.068085,110.81153
Charleston Southern,95.32749,105.86452
Charlotte,96.562584,108.703545
Chattanooga,94.60823,110.6279
Chicago State,91.551834,118.00114
Cincinnati,114.41409,80.585785
Clemson,112.52433,88.86568
Cleveland State,96.50277,109.568405
Coastal Carolina,99.039314,108.03437
Colgate,104.51404,108.618706
College of Charleston,107.42052,103.05235
Colorado,101.71873,98.0273
Colorado State,102.48603,105.966705
Columbia,99.72973,115.315285
Connecticut,102.14436,101.89599
Coppin State,82.839775,110.559105
Cornell,102.1215,111.71515
Creighton,117.83303,95.94391
Dartmouth,95.594025,112.439606
Davidson,118.56748,100.817375
Dayton,107.92456,106.82682
DePaul,101.80966,94.97947
Delaware,100.93341,106.65762
Delaware State,89.44772,117.89496
Denver,97.51454,106.49244
Detroit Mercy,100.85134,116.140816
Drake,100.2116,105.0653
Drexel,98.47786,106.880005
Duke,122.830475,89.63963
Duquesne,101.18236,103.793564
East Carolina,93.00696,104.887024
East Tennessee State,104.49792,97.52669
Eastern Illinois,94.64646,106.21087
Eastern Kentucky,98.78805,111.10305
Eastern Michigan,96.64714,102.19959
Eastern Washington,106.01093,102.05551
Elon,101.71287,112.45833
Evansville,99.69345,94.34619
FDU,98.196724,111.28731
Fairfield,100.87097,107.383736
Florida,117.31413,91.713196
Florida A&M,92.16378,116.90805
Florida Atlantic,93.8372,102.37726
Florida Gulf Coast,105.54851,100.99254
Florida International,96.709816,101.248024
Florida State,113.292534,93.69617
Fordham,94.38522,105.25943
Fresno State,109.47139,97.259186
Furman,107.95451,98.69744
Gardner-Webb,92.28285,107.11451
George Mason,100.73405,104.456566
George Washington,100.436455,104.63706
Georgetown,110.29323,99.8016
Georgia,106.21813,90.24909
Georgia Southern,105.55228,106.388794
Georgia State,103.81692,99.553825
Georgia Tech,100.559845,97.56969
Gonzaga,118.38932,93.57973
Grambling,87.169014,106.73946
Grand Canyon,99.60375,94.81598
Green Bay,95.15862,107.65456
Hampton,93.288864,108.35959
Hartford,100.06568,105.88807
Harvard,96.57938,99.47421
Hawaii,99.29642,102.316986
High Point,93.44222,104.92635
Hofstra,107.681625,106.30313
Holy Cross,96.050644,107.32328
Houston,112.58288,87.62657
Houston Christian,94.54166,117.37556
Howard,93.32993,115.93891
IU Indy,93.01308,108.27385
Idaho,103.51324,103.45587
Idaho State,101.239784,108.06691
Illinois,111.413086,101.42218
Illinois State,104.42246,99.662575
Illinois-Chicago,97.82374,101.13749
Incarnate Word,93.09168,112.41759
Indiana,107.55732,93.77339
Indiana State,104.941536,101.3691
Iona,106.25814,107.599594
Iowa,115.76485,105.52711
Iowa State,111.1835,100.43837
Jackson State,83.24472,110.79928
Jacksonville,90.13357,110.96819
Jacksonville State,98.46162,96.64322
James Madison,99.99824,105.587105
Kansas,122.24969,92.04368
Kansas City,94.42891,104.46134
Kansas State,107.56756,91.40761
Kennesaw State,95.16551,108.97072
Kent State,99.5327,105.90862
Kentucky,112.66522,92.15507
La Salle,100.43685,103.504616
Lafayette,96.04929,109.59729
Lamar,94.706894,103.31768
Lehigh,99.75223,112.06928
Liberty,100.40536,102.97178
Lipscomb,99.324745,104.12035
Little Rock,91.94508,105.998856
Long Beach State,101.71626,104.32511
Long Island University,102.41228,109.978516
Longwood,88.04268,110.4018
Louisiana,111.57918,99.51028
Louisiana State,117.00855,98.26146
Louisiana Tech,106.436,103.75821
Louisiana-Monroe,95.25754,110.399734
Louisville,113.00634,92.22209
Loyola (IL),110.80772,92.47335
Loyola (MD),91.40575,114.47707
Loyola Marymount,108.175934,113.74931
Maine,85.622894,108.44626
Manhattan,97.727325,102.31944
Marist,97.488945,111.73627
Marquette,122.253624,100.3935
Marshall,109.082436,102.040405
Maryland,114.99838,94.947754
Maryland-Baltimore County,102.65347,105.18142
Maryland-Eastern Shore,83.19087,121.89133
Massachusetts,103.68023,105.567154
Massachusetts-Lowell,98.26086,114.752655
McNeese State,99.53114,111.038025
Memphis,105.11932,103.45869
Mercer,108.53947,113.964455
Miami (FL),110.54999,90.53757
Miami (OH),95.25956,101.363945
Michigan,109.41313,85.758125
Michigan State,119.632164,88.28837
Middle Tennessee,112.025734,92.736115
Milwaukee,100.21089,104.035934
Minnesota,105.08652,100.27794
Mississippi,111.87088,104.127304
Mississippi State,108.678345,95.01608
Mississippi Valley State,86.99901,115.75234
Missouri,113.18438,89.37198
Missouri State,105.85221,98.32557
Monmouth,101.75143,102.95169
Montana,103.96471,101.53142
Montana State,97.05593,109.05484
Morehead State,94.66879,107.79557
Morgan State,91.639595,113.73389
Mount St. Mary's,101.75224,111.28214
Murray State,111.447556,98.40573
NC State,119.0354,100.189545
NJIT,95.479515,107.49574
Navy,96.757645,106.17497
Nebraska,109.471535,91.045876
Nevada,118.11792,97.252686
Nevada-Las Vegas,111.690865,101.09715
New Hampshire,93.686424,106.263885
New Mexico,113.421814,104.61978
New Mexico State,106.436584,93.573395
