,Offensive Rating,Defensive Rating
Abilene Christian,99.17587,102.10328
Air Force,95.057846,103.360374
Akron,98.95468,91.474785
Alabama,104.82516,93.469315
Alabama A&M,83.532135,113.262535
Alabama State,88.336075,107.84182
Albany (NY),93.70273,103.88132
Alcorn State,86.61518,112.489655
American,99.29611,102.92956
Appalachian State,103.33892,108.95493
Arizona,107.19525,94.879166
Arizona State,108.32555,92.72465
Arkansas,105.179695,95.152115
Arkansas State,99.13079,108.90347
Arkansas-Pine Bluff,94.67253,111.05348
Army,91.378075,104.191666
Auburn,122.21365,91.07647
Austin Peay,108.184456,104.29754
Ball State,103.25909,96.917984
Baylor,114.04714,94.32001
Belmont,111.73013,101.37518
Bethune-Cookman,87.17855,103.93853
Binghamton,92.17315,109.90061
Boise State,106.290985,101.66579
Boston College,106.0826,99.168526
Boston University,99.188416,109.05833
Bowling Green State,106.375694,99.30934
Bradley,103.44535,96.851395
Brigham Young,110.314835,99.789566
Brown,97.20624,97.841805
Bryant,92.21572,112.32943
Bucknell,106.317154,102.40972
Buffalo,112.00436,92.44469
Butler,112.0973,96.554794
Cal Poly,91.47061,113.2718
Cal State Bakersfield,97.741325,106.7842
Cal State Fullerton,99.23715,98.2447
Cal State Northridge,101.159515,108.083664
California,100.84462,108.40905
California Baptist,101.805145,107.524635
Campbell,104.08936,111.25036
Canisius,96.577446,108.65317
Central Arkansas,94.060555,109.39685
Central Connecticut State,90.90442,111.40874
Central Michigan,108.141716,104.97267
Charleston Southern,98.464485,102.34677
Charlotte,93.68169,104.396126
Chattanooga,98.814354,104.72212
Chicago State,86.14204,119.98689
Cincinnati,111.41152,91.56721
Clemson,107.05647,90.3764
Cleveland State,97.334305,107.42527
Coastal Carolina,102.86211,103.592445
Colgate,109.5414,104.35083
College of Charleston,106.579216,101.28856
Colorado,105.560745,92.97628
Colorado State,107.95315,107.73523
Columbia,98.73096,104.17591
Connecticut,109.30159,97.27425
Coppin State,85.288155,109.86467
Cornell,94.714584,108.32856
Creighton,112.01656,94.765594
Dartmouth,98.74494,106.91765
Davidson,108.15177,97.04361
Dayton,111.42058,100.51809
DePaul,110.231926,101.53051
Delaware,101.30599,115.45008
Delaware State,77.40305,113.98892
Denver,96.81118,119.25486
Detroit Mercy,99.12493,109.127655
Drake,109.044716,98.03933
Drexel,98.28828,114.75148
Duke,120.09196,85.84434
Duquesne,104.95918,103.86894
East Carolina,96.46018,101.72598
East Tennessee State,106.91285,98.13584
Eastern Illinois,96.094284,110.36653
Eastern Kentucky,94.78573,107.19358
Eastern Michigan,100.97986,98.81092
Eastern Washington,95.8774,108.2706
Elon,93.667435,108.64928
Evansville,98.36267,100.52176
FDU,106.38972,111.7817
Fairfield,91.48327,110.586555
Florida,109.52536,90.29492
Florida A&M,86.67117,103.792435
Florida Atlantic,95.702156,100.30692
Florida Gulf Coast,97.02706,106.56262
Florida International,98.7396,107.631355
Florida State,109.44205,85.20412
Fordham,88.79593,101.80424
Fresno State,106.58362,96.89828
Furman,106.5703,97.4971
Gardner-Webb,104.99473,105.54157
George Mason,102.656944,101.129265
George Washington,94.482155,105.33782
Georgetown,110.48253,97.6604
Georgia,105.18177,95.20782
Georgia Southern,106.20096,100.25995
Georgia State,109.71113,100.29725
Georgia Tech,103.394005,93.505035
Gonzaga,124.237114,87.52038
Grambling,90.32888,105.158264
Grand Canyon,101.796425,99.63686
Green Bay,102.027916,104.27308
Hampton,100.52797,105.71968
Hartford,103.47883,113.49443
Harvard,105.54324,100.868675
Hawaii,101.80502,104.43753
High Point,94.21004,102.38306
Hofstra,112.98285,107.645226
Holy Cross,99.48821,108.35963
Houston,115.10113,87.26655
Houston Christian,97.24113,113.94365
Howard,97.93442,114.80105
IU Indy,97.98574,101.6712
Idaho,90.101265,119.475784
Idaho State,97.91881,120.41156
Illinois,107.82886,96.63522
Illinois State,98.56135,105.31881
Illinois-Chicago,99.67687,102.1307
Incarnate Word,91.548744,120.9343
Indiana,107.59188,90.34084
Indiana State,100.23287,106.971436
Iona,103.04083,108.340454
Iowa,116.14322,97.05182
Iowa State,116.93325,91.66349
Jackson State,86.69875,104.99138
Jacksonville,96.38543,106.6035
Jacksonville State,98.10606,97.955505
James Madison,96.5598,111.2086
Kansas,114.54716,88.14271
Kansas City,95.702156,107.372925
Kansas State,106.854546,82.67188
Kennesaw State,87.33049,111.493546
Kent State,107.21008,105.38268
Kentucky,117.671974,86.086555
La Salle,95.82764,102.32883
