,Offensive Rating,Defensive Rating
Abilene Christian,98.10367,91.97395
Air Force,93.10287,112.782425
Akron,104.387924,105.41055
Alabama,110.47053,84.534
Alabama A&M,80.76241,101.888626
Alabama State,81.87482,107.86232
Albany (NY),95.564316,100.50088
Alcorn State,92.49899,113.02007
American,98.872604,99.217354
Appalachian State,95.51843,104.86663
Arizona,109.65146,94.231964
Arizona State,104.916245,98.09568
Arkansas,111.24209,87.41463
Arkansas State,97.30178,106.71536
Arkansas-Pine Bluff,86.34484,113.88353
Army,98.528786,98.849205
Auburn,111.75253,93.72817
Austin Peay,95.88379,107.205574
Ball State,101.75606,102.25206
Baylor,126.445854,86.98678
Bellarmine,105.0292,106.769745
Belmont,105.99907,101.31896
Binghamton,93.13645,113.22455
Boise State,111.61061,92.497086
Boston College,103.80807,100.18382
Boston University,97.81778,107.09736
Bowling Green State,104.37893,100.4097
Bradley,96.93883,104.64129
Brigham Young,110.63222,90.99367
Bryant,100.19901,101.21753
Bucknell,101.79114,105.68364
Buffalo,105.06108,95.61707
Butler,104.817375,95.24013
Cal Poly,85.66232,105.40904
Cal State Bakersfield,100.46712,100.40656
Cal State Fullerton,96.85225,108.73765
Cal State Northridge,96.8615,113.216255
California,99.74734,102.85984
California Baptist,102.91957,110.9174
Campbell,103.08747,104.763855
Canisius,101.99071,105.01541
Central Arkansas,89.9824,111.99598
Central Connecticut State,86.89006,112.65609
Central Michigan,92.24015,112.083885
Charleston Southern,88.12229,107.5307
Charlotte,99.43927,101.593414
Chattanooga,101.61921,99.67894
Chicago State,82.16254,118.05724
Cincinnati,98.4866,98.71413
Clemson,107.25873,86.770836
Cleveland State,98.847755,99.571304
Coastal Carolina,98.73409,99.31473
Colgate,110.92555,98.82386
College of Charleston,102.10117,105.33283
Colorado,115.52812,89.48091
Colorado State,107.95662,93.42241
Connecticut,110.22572,84.4159
Coppin State,90.17246,98.44621
Creighton,108.87046,90.617424
Davidson,111.98331,100.11435
Dayton,109.97026,98.22509
DePaul,100.5023,94.15787
Delaware,94.969025,101.62672
Delaware State,94.20554,110.67672
Denver,90.561485,112.47763
Detroit Mercy,107.91913,106.56006
Drake,111.76249,101.47543
Drexel,107.03409,107.03922
Duke,111.70231,94.53045
Duquesne,95.81302,97.62252
East Carolina,96.906685,92.11308
East Tennessee State,103.7675,103.00528
Eastern Illinois,96.40543,108.02061
Eastern Kentucky,100.20396,102.74475
Eastern Michigan,93.77247,110.56892
Eastern Washington,104.72383,103.28008
Elon,101.78363,98.11042
Evansville,102.49366,105.84503
FDU,99.32234,112.87366
Fairfield,91.14839,107.88645
Florida,109.36788,90.94097
Florida A&M,89.49502,104.446754
Florida Atlantic,103.34969,98.095146
Florida Gulf Coast,88.79678,95.18711
Florida International,96.009895,105.5103
Florida State,114.82234,89.59517
Fordham,75.37435,104.016045
Fresno State,99.86932,102.13967
Furman,109.159615,103.33544
