,Offensive Rating,Defensive Rating
Abilene Christian,97.00228,106.75921
Air Force,107.03548,100.9545
Akron,108.17541,103.81731
Alabama,118.35927,84.56552
Alabama A&M,93.82386,107.70322
Alabama State,86.276146,107.786316
Albany (NY),90.72531,114.446205
Alcorn State,95.251495,107.88885
American,96.92561,108.67108
Appalachian State,96.39338,99.70143
Arizona,120.2386,93.672035
Arizona State,106.39314,90.262405
Arkansas,108.85742,86.8644
Arkansas State,97.61073,109.337685
Arkansas-Pine Bluff,90.25363,113.21952
Army,97.53823,109.63555
Auburn,112.69713,94.883545
Austin Peay,91.08826,112.88537
Ball State,104.6677,106.29607
Baylor,118.06099,96.8953
Bellarmine,98.92715,111.05963
Belmont,109.11146,102.29079
Bethune-Cookman,91.91703,114.82267
Binghamton,93.21033,111.98512
Boise State,108.52925,89.77555
Boston College,103.45469,98.50408
Boston University,94.21196,104.04131
Bowling Green State,100.41658,108.56505
Bradley,107.48898,96.20275
Brigham Young,106.519806,96.5643
Brown,94.1864,100.202446
Bryant,99.03971,109.12099
Bucknell,94.52118,108.95985
Buffalo,97.83541,103.52683
Butler,98.2671,95.393875
Cal Poly,88.638535,103.71414
Cal State Bakersfield,90.42089,105.30921
Cal State Fullerton,98.47556,99.07228
Cal State Northridge,89.838936,107.222374
California,93.02403,102.39368
California Baptist,97.444466,98.94865
Campbell,100.16351,110.85005
Canisius,96.68657,111.48956
Central Arkansas,93.920906,111.38646
Central Connecticut State,91.52365,111.06067
Central Michigan,89.13903,106.05646
Charleston Southern,98.998474,116.894165
Charlotte,108.68479,102.18879
Chattanooga,108.17244,107.49524
Chicago State,94.87219,111.508125
Cincinnati,110.059,95.10784
Clemson,114.518295,95.393005
Cleveland State,100.91601,103.98151
Coastal Carolina,98.90648,111.41947
Colgate,109.7475,108.061356
College of Charleston,106.06759,93.54488
Colorado,106.48643,90.08186
Colorado State,110.52704,102.86979
Columbia,92.40604,115.56209
Connecticut,121.22405,86.77035
Coppin State,94.10256,115.43213
Cornell,108.40615,107.264984
Creighton,115.95148,88.81544
Dartmouth,91.51973,105.529396
Davidson,101.87927,103.24233
Dayton,108.95644,90.71397
DePaul,107.15468,102.53791
Delaware,99.94595,104.91877
Delaware State,85.90436,115.023636
Denver,97.130226,109.65253
Detroit Mercy,108.5801,111.299416
Drake,107.50455,95.423225
Drexel,96.881744,96.50477
Duke,114.68682,90.53341
Duquesne,107.43458,103.462776
East Carolina,101.42221,101.075966
East Tennessee State,97.33815,104.19912
Eastern Illinois,89.017815,111.804665
Eastern Kentucky,99.02414,103.51314
Eastern Michigan,95.155525,114.20549
Eastern Washington,110.68963,104.91929
Elon,93.29328,112.43109
Evansville,89.23504,108.30007
FDU,100.895424,115.765434
Fairfield,93.37422,104.751495
Florida,108.30301,89.88641
Florida A&M,84.26674,108.35977
Florida Atlantic,115.90116,94.00127
Florida Gulf Coast,104.735146,101.87285
Florida International,101.158806,101.45391
Florida State,104.799904,102.73801
Fordham,101.983315,98.56319
Fresno State,95.38264,94.88538
Furman,111.33312,101.37432
Gardner-Webb,93.99919,101.22084
George Mason,104.10497,100.0687
George Washington,107.75415,109.064026
Georgetown,101.03391,102.76913
Georgia,101.174355,101.08257
