,Offensive Rating,Defensive Rating
Abilene Christian,100.37938,98.11367
Air Force,96.09339,103.85768
Akron,106.085144,99.28723
Alabama,115.41693,93.38988
Alabama A&M,82.64284,102.910286
Alabama State,91.27341,108.25489
Albany (NY),88.07206,100.912476
Alcorn State,95.71842,107.36916
American,88.01952,110.636215
Appalachian State,98.205475,100.62902
Arizona,118.980934,87.09185
Arizona State,99.60426,84.23493
Arkansas,110.238464,89.15215
Arkansas State,98.574814,103.925995
Arkansas-Pine Bluff,92.69241,115.150696
Army,89.45536,109.61532
Auburn,111.66916,87.63089
Austin Peay,91.1874,101.22208
Ball State,95.32177,108.6094
Baylor,118.58892,89.8096
Bellarmine,105.84801,109.93712
Belmont,111.58032,93.38934
Bethune-Cookman,87.08038,107.560196
Binghamton,85.86228,107.27871
Boise State,108.80477,93.10589
Boston College,104.93008,98.73073
Boston University,102.58693,110.63172
Bowling Green State,99.950806,113.58476
Bradley,106.61706,92.94392
Brigham Young,110.574905,91.9236
Brown,98.29556,100.91928
Bryant,98.33194,106.758575
Bucknell,96.0678,118.34215
Buffalo,104.63267,101.04588
Butler,100.897484,93.66522
Cal Poly,87.16008,103.205536
Cal State Bakersfield,95.015015,104.48152
Cal State Fullerton,104.4824,100.69679
Cal State Northridge,94.015144,107.088135
California,99.52903,90.78335
California Baptist,97.83762,102.50594
Campbell,95.785805,105.59106
Canisius,95.36762,103.91024
Central Arkansas,92.83872,113.640274
Central Connecticut State,83.753426,113.34969
Central Michigan,94.974434,106.16765
Charleston Southern,87.411964,114.59727
Charlotte,104.394104,104.83816
Chattanooga,110.59026,97.03641
Chicago State,92.69286,112.32287
Cincinnati,104.11761,95.87833
Clemson,108.94447,96.201614
Cleveland State,101.54357,102.56779
Coastal Carolina,99.5762,96.90425
Colgate,103.02082,102.69917
College of Charleston,103.526375,99.93212
Colorado,108.926895,88.126915
Colorado State,113.52124,98.29479
Columbia,86.27226,114.54847
Connecticut,116.55156,88.33642
Coppin State,90.916176,107.31931
Cornell,101.88696,106.46506
Creighton,106.00318,88.41706
Dartmouth,97.703156,102.92011
Davidson,116.17052,99.70534
Dayton,105.22802,93.14032
DePaul,109.95085,95.33778
Delaware,105.88,103.866165
Delaware State,82.47788,113.69564
Denver,95.014824,108.29655
Detroit Mercy,103.65684,110.788216
Drake,109.28674,95.16943
Drexel,103.776985,103.4361
Duke,118.71448,93.496086
Duquesne,94.78899,104.53984
East Carolina,99.20721,100.93607
East Tennessee State,106.50923,109.3878
Eastern Illinois,82.38183,109.93286
Eastern Kentucky,93.326416,108.331764
Eastern Michigan,89.645035,106.67811
Eastern Washington,102.197365,109.16154
Elon,94.468025,103.20031
Evansville,95.3777,107.52247
FDU,86.25501,118.262764
Fairfield,99.831245,101.05535
Florida,108.47644,94.09018
