,Offensive Rating,Defensive Rating
Abilene Christian,85.5807,114.830505
Air Force,101.98581,105.79573
Akron,101.28385,95.15177
Alabama,108.826195,94.8995
Alabama A&M,88.80384,111.19682
Alabama State,91.69007,108.50285
Albany (NY),102.12439,102.185814
Alcorn State,84.81328,119.19796
American,97.02721,101.04104
Appalachian State,92.49043,103.64731
Arizona,116.42272,80.92556
Arizona State,109.16751,94.0415
Arkansas,113.6143,96.88416
Arkansas State,90.564384,105.89488
Arkansas-Pine Bluff,81.692055,109.62775
Army,96.1729,103.74838
Auburn,105.658165,98.63776
Austin Peay,90.11808,110.80888
Ball State,92.866745,103.08845
Baylor,110.3177,89.17439
Belmont,103.1106,106.687325
Bethune-Cookman,83.22445,109.11815
Binghamton,86.908585,108.76184
Boise State,108.95322,96.20227
Boston College,109.28461,100.35145
Boston University,101.99798,108.061226
Bowling Green State,99.19869,97.45149
Bradley,89.19579,98.89739
Brigham Young,118.03952,99.09687
Brown,96.06154,105.19053
Bryant,97.94566,107.07585
Bucknell,102.24297,106.99247
Buffalo,105.72719,93.60642
Butler,106.14812,84.84656
Cal Poly,96.05986,101.03286
Cal State Bakersfield,96.571144,103.132286
Cal State Fullerton,94.795456,106.43821
Cal State Northridge,95.14572,105.19734
California,102.87457,92.52906
Campbell,93.49087,107.4719
Canisius,97.85464,99.28978
Central Arkansas,82.38857,117.12446
Central Connecticut State,84.561745,115.43014
Central Michigan,106.13873,101.516075
Charleston Southern,98.9329,109.07502
Charlotte,104.582756,105.94921
Chattanooga,100.67976,102.84148
Chicago State,86.39761,101.4555
Cincinnati,106.9995,88.52507
Clemson,101.33371,89.54981
Cleveland State,102.54838,97.38289
Coastal Carolina,94.93737,100.09105
Colgate,106.50515,105.51441
College of Charleston,92.95912,99.80101
Colorado,103.97972,100.938835
Colorado State,107.04596,93.47716
Columbia,104.57922,103.28748
Connecticut,100.82742,93.69546
Coppin State,90.46443,116.583885
Cornell,93.266235,95.26666
Creighton,108.38871,97.50629
Dartmouth,97.43601,101.79871
Davidson,115.17305,97.46849
Dayton,107.07717,91.337685
DePaul,109.13051,104.12153
Delaware,96.57721,106.696236
Delaware State,92.61324,110.88058
Denver,101.725685,108.963615
Detroit Mercy,98.91015,100.18016
Drake,96.68013,111.76158
Drexel,93.33209,104.56231
Duke,126.06239,86.13252
Duquesne,104.5631,111.98363
East Carolina,99.37849,109.87492
East Tennessee State,96.079346,102.90998
Eastern Illinois,94.30938,103.05516
Eastern Kentucky,101.15209,102.30419
Eastern Michigan,98.34705,97.46632
Eastern Washington,110.54087,110.16396
Elon,91.15642,102.0963
Evansville,103.51492,98.52756
FDU,91.05316,109.078094
Fairfield,91.877754,100.402916
Florida,106.23792,85.797134
Florida A&M,77.375206,116.0634
Florida Atlantic,91.112686,105.18472
Florida Gulf Coast,94.53302,100.57625
Florida International,90.524475,103.46676
Florida State,103.46856,94.99861
Fordham,100.40488,102.50441
Fresno State,99.211105,100.58475
Furman,93.02995,106.62774
Gardner-Webb,103.261215,111.17163
George Mason,97.9694,98.890205
George Washington,104.88067,93.104324
Georgetown,111.97436,90.76378
Georgia,104.88241,86.37144
Georgia Southern,97.56244,98.13194
Georgia State,108.893974,94.9246
Georgia Tech,101.30786,91.57763
Gonzaga,121.70739,85.308395
Grambling,74.38828,114.12317
Grand Canyon,96.14917,109.146454
Green Bay,99.41353,92.32604
Hampton,92.47976,100.386604
Hartford,88.29449,106.0586
Harvard,101.2564,92.8433
Hawaii,101.619415,95.115135
High Point,100.87344,106.35342
Hofstra,105.15581,101.530075
Holy Cross,97.2546,105.275986
Houston,98.75626,100.483444
Houston Christian,94.82427,112.07825
Howard,85.01452,100.88792
IU Indy,89.04636,102.0199
Idaho,103.475525,113.67963
Idaho State,91.6559,109.99523
Illinois,107.6217,91.80143
Illinois State,101.57699,92.32773
Illinois-Chicago,95.505066,108.86748
Incarnate Word,105.31378,109.61947
Indiana,117.91534,100.383835
Indiana State,97.01629,98.29917
Iona,109.96769,104.36445
Iowa,112.00856,87.1294
Iowa State,118.31558,90.48387
Jackson State,83.47269,104.15665
Jacksonville,87.71334,114.75553
Jacksonville State,83.859604,106.114395
James Madison,96.8536,108.126656
Kansas,109.44097,87.835144
Kansas City,94.32448,104.24869
Kansas State,107.91092,94.964386
Kennesaw State,87.92839,114.29841
Kent State,103.24969,100.05298
Kentucky,120.461494,77.8213
La Salle,98.70769,91.77527
Lafayette,113.11846,113.34679
Lamar,92.05281,108.739456
Lehigh,95.69139,95.53892
Liberty,86.69472,108.06241
Lipscomb,95.453705,115.09649
Little Rock,104.24379,105.57093
Long Beach State,99.809135,96.55501
Long Island University,91.07494,108.57469
Longwood,87.6535,109.6343
Louisiana,103.893524,99.10962
Louisiana State,103.555374,91.740654
Louisiana Tech,104.181335,94.03442
Louisiana-Monroe,97.37475,96.81032
Louisville,109.22991,83.77807
Loyola (IL),101.610306,98.516815
Loyola (MD),90.36163,106.62201
Loyola Marymount,100.89414,107.75736
Maine,87.99142,115.50907
Manhattan,100.53912,99.955
Marist,89.321884,102.47748
Marquette,104.29047,91.59885
Marshall,87.29282,100.64486
Maryland,107.4433,90.98247
Maryland-Baltimore County,84.27931,110.908035
Maryland-Eastern Shore,95.39302,106.54001
Massachusetts,101.24637,97.12601
Massachusetts-Lowell,89.21932,104.37178
McNeese State,94.8682,108.65645
Memphis,104.691345,91.44809
Mercer,99.68819,101.80714
Miami (FL),111.24975,88.379776
Miami (OH),97.45382,101.58679
Michigan,110.05873,94.49769
Michigan State,116.480385,88.10743
Middle Tennessee,99.43881,96.04784
Milwaukee,100.54688,102.945244
Minnesota,111.70845,91.490814
