,Offensive Rating,Defensive Rating
Abilene Christian,95.30669,100.49024
Air Force,105.49439,106.509384
Akron,109.95176,92.99344
Alabama,109.36412,95.90242
Alabama A&M,80.16183,106.38274
Alabama State,83.76986,105.56805
Albany (NY),92.64475,102.235825
Alcorn State,90.086975,108.19938
American,96.95826,104.72467
Appalachian State,97.85107,93.04947
Arizona,111.7922,85.123604
Arizona State,102.352234,86.32203
Arkansas,107.17215,91.9463
Arkansas State,104.78257,106.13615
Arkansas-Pine Bluff,76.99774,103.22747
Army,95.03814,105.53304
Auburn,110.79272,91.24933
Austin Peay,104.072716,103.29374
Ball State,100.49105,91.97109
Baylor,112.65259,82.291626
Belmont,103.53403,97.14517
Bethune-Cookman,92.51921,102.719604
Binghamton,94.515724,111.992546
Boise State,105.48659,93.33245
Boston College,97.77313,91.913635
Boston University,99.61714,103.33836
Bowling Green State,103.72647,102.56215
Bradley,108.603165,94.33774
Brigham Young,114.006874,88.99879
Brown,95.23739,99.49239
Bryant,98.16714,100.55062
Bucknell,92.86598,102.02331
Buffalo,101.47828,99.180725
Butler,116.57416,85.69417
Cal Poly,91.62024,105.255714
Cal State Bakersfield,93.93212,101.806114
Cal State Fullerton,92.47422,100.82784
Cal State Northridge,104.26029,112.012535
California,99.33309,96.55229
California Baptist,106.204124,101.79638
Campbell,93.7798,107.026886
Canisius,91.67977,105.29145
Central Arkansas,93.21366,105.75169
Central Connecticut State,83.292915,111.0616
Central Michigan,101.21139,102.9058
Charleston Southern,89.78437,109.73495
Charlotte,98.31934,99.306465
Chattanooga,102.94526,100.730865
Chicago State,83.874435,119.616806
Cincinnati,105.771065,91.93577
Clemson,105.6059,92.02734
Cleveland State,87.40467,104.25546
Coastal Carolina,102.507706,100.94315
Colgate,101.264824,99.75787
College of Charleston,104.89493,102.56144
Colorado,109.55465,83.98331
Colorado State,104.86783,96.94244
Columbia,92.45329,104.14261
Connecticut,104.49455,89.356255
Coppin State,85.4546,104.64962
Cornell,98.71914,109.61871
Creighton,118.93117,89.67126
Dartmouth,95.66882,99.633255
Davidson,108.30971,100.084885
Dayton,120.03034,91.66665
DePaul,106.03488,89.55266
Delaware,103.91179,103.57695
Delaware State,91.41893,113.93024
Denver,91.22471,107.285065
Detroit Mercy,97.311935,110.04964
Drake,101.591354,93.801506
Drexel,97.225266,103.36997
Duke,116.74633,81.497765
Duquesne,103.918755,93.76155
