,Offensive Rating,Defensive Rating
Abilene Christian,87.704124,117.14474
Air Force,97.31632,102.290146
Akron,98.792694,97.74076
Alabama,108.09872,97.99573
Alabama A&M,86.42553,103.18881
Alabama State,90.134315,108.22917
Albany (NY),101.37691,102.761566
Alcorn State,88.83045,110.841225
American,99.088776,98.55784
Appalachian State,85.96633,110.708046
Arizona,117.080376,80.67913
Arizona State,110.54528,92.40389
Arkansas,112.47027,92.73104
Arkansas State,104.64942,101.873985
Arkansas-Pine Bluff,88.47513,111.520485
Army,104.85401,108.317
Auburn,108.0885,100.675064
Austin Peay,95.801315,111.076324
Ball State,96.23466,107.965225
Baylor,116.20513,93.8669
Belmont,111.48406,104.78431
Bethune-Cookman,90.67655,116.91452
Binghamton,85.56156,109.90095
Boise State,115.57116,102.854355
Boston College,114.50997,107.74394
Boston University,102.324356,99.9185
Bowling Green State,90.60549,92.38874
Bradley,96.41955,101.70621
Brigham Young,114.12194,96.68354
Brown,97.61337,100.6201
Bryant,102.960014,110.68414
Bucknell,97.365166,101.99733
Buffalo,107.86829,100.32023
Butler,105.74755,96.74113
Cal Poly,99.5202,106.83191
Cal State Bakersfield,98.643524,103.93245
Cal State Fullerton,97.80128,108.974335
Cal State Northridge,104.58776,109.88949
California,108.33458,92.2979
Campbell,97.19924,116.81968
Canisius,110.90106,106.69978
Central Arkansas,91.49121,113.63666
Central Connecticut State,91.37265,112.42944
Central Michigan,102.869194,115.2622
Charleston Southern,103.05682,112.49381
Charlotte,98.98555,101.45359
Chattanooga,96.66921,110.53487
Chicago State,93.94574,108.525276
Cincinnati,108.821434,88.72146
Clemson,108.11047,91.01745
Cleveland State,107.03214,100.55906
Coastal Carolina,92.150826,100.592804
Colgate,106.92091,106.79959
College of Charleston,91.991714,100.908676
Colorado,108.12244,92.854675
Colorado State,109.6809,104.96545
Columbia,108.9771,100.167465
Connecticut,112.97024,90.21322
Coppin State,95.15027,115.58416
Cornell,94.84395,117.59986
Creighton,124.22343,97.141205
Dartmouth,100.33406,106.65117
Davidson,109.25565,106.668755
