,Offensive Rating,Defensive Rating
Abilene Christian,99.0306,108.52709
Air Force,101.51402,111.324005
Akron,103.74477,101.52805
Alabama,130.41896,97.90176
Alabama A&M,91.80511,112.1439
Alabama State,86.979065,108.71481
Albany (NY),100.2758,109.704796
Alcorn State,103.64431,115.005295
American,101.894516,115.5377
Appalachian State,108.6467,99.06541
Arizona,120.47633,86.6772
Arizona State,104.28228,94.439095
Arkansas,110.59433,103.5074
Arkansas State,107.23368,109.85787
Arkansas-Pine Bluff,98.53475,117.93572
Army,88.28266,106.22467
Auburn,122.217636,90.446075
Austin Peay,102.20912,112.41152
Ball State,101.16398,109.68692
Baylor,126.99724,99.251114
Bellarmine,94.13475,111.274734
Belmont,108.54361,101.410065
Bethune-Cookman,92.24673,108.00635
Binghamton,96.29319,109.20654
Boise State,109.82109,97.857475
Boston College,110.69575,98.443436
Boston University,92.247734,108.94819
Bowling Green State,102.3347,106.612465
Bradley,111.69376,98.2363
Brigham Young,121.787186,92.479256
Brown,101.01876,104.747505
Bryant,98.09889,99.28567
Bucknell,97.71891,106.18924
Buffalo,90.6372,109.987404
Butler,109.362785,100.58242
Cal Poly,90.10375,113.65547
Cal State Bakersfield,98.37778,108.53504
Cal State Fullerton,97.328995,104.2841
Cal State Northridge,96.64874,102.48389
California,108.28873,99.57171
California Baptist,100.08449,107.3098
Campbell,94.83307,114.58497
Canisius,97.35668,108.447174
Central Arkansas,91.03282,115.308075
Central Connecticut State,99.69927,109.188095
Central Michigan,93.63154,104.35079
Charleston Southern,88.760635,109.78694
Charlotte,103.81068,98.28277
Chattanooga,104.78978,107.82926
Chicago State,94.30272,107.357605
Cincinnati,111.26402,91.605515
Clemson,116.709564,90.78536
Cleveland State,103.10416,108.45183
Coastal Carolina,97.26016,107.47167
Colgate,105.25988,100.37406
College of Charleston,111.31145,104.7066
Colorado,120.07259,95.30204
Colorado State,116.2553,98.91953
Columbia,101.60273,112.01803
Connecticut,125.65584,86.66129
Coppin State,80.83641,113.942474
Cornell,111.64111,105.23357
Creighton,121.03758,92.424965
Dartmouth,91.060936,108.417946
Davidson,103.99886,96.26813
Dayton,117.96085,97.05302
DePaul,100.359535,110.42243
Delaware,101.54365,102.56671
Delaware State,89.27051,108.067085
Denver,102.197556,116.31609
Detroit Mercy,91.908485,116.51838
Drake,114.52646,96.358055
Drexel,106.345,102.68157
Duke,122.22846,91.41491
Duquesne,105.86715,98.571365
East Carolina,104.13794,103.22564
East Tennessee State,99.64218,104.915474
Eastern Illinois,91.928116,110.99528
Eastern Kentucky,104.06875,107.76742
Eastern Michigan,96.39468,112.96634
Eastern Washington,109.5855,110.50558
Elon,98.47981,117.15669
Evansville,99.13706,103.81649
FDU,92.997185,112.31553
Fairfield,105.92959,109.40141
Florida,118.8382,95.297585
Florida A&M,93.313385,113.53523
Florida Atlantic,121.4215,102.58753
Florida Gulf Coast,101.11919,107.67264
Florida International,95.45558,108.12334
Florida State,110.30561,97.530426
Fordham,102.70153,99.86148
Fresno State,102.35465,106.34768
Furman,105.88568,107.42456
Gardner-Webb,100.37362,103.45292
George Mason,109.80567,99.060875
George Washington,104.283424,106.0151
Georgetown,107.908455,108.93578
Georgia,108.12405,93.96221
Georgia Southern,101.26001,110.95867
Georgia State,100.37651,107.15113
Georgia Tech,107.72052,101.071915
Gonzaga,120.74456,97.502716
Grambling,95.70162,109.07792
Grand Canyon,110.18929,97.64687
Green Bay,101.07965,106.85393
Hampton,88.70501,116.44115
Harvard,103.118744,106.03349
Hawaii,103.41393,102.264534
High Point,113.450165,109.069496
Hofstra,107.67462,101.13879
Holy Cross,94.56713,119.66318
Houston,119.90015,78.97609
Houston Christian,89.416504,117.477715
Howard,101.628044,114.78626
IU Indy,89.13472,121.960236
Idaho,95.85145,111.77246
Idaho State,99.32189,111.138145
Illinois,122.49031,95.500626
Illinois State,104.56883,103.44483
Illinois-Chicago,99.24079,98.12923
Incarnate Word,93.938545,117.47674
Indiana,108.59382,95.93034
Indiana State,117.89191,103.05024
Iona,96.688194,107.44623
Iowa,118.02579,104.069595
Iowa State,116.40006,85.51955
Jackson State,96.58291,110.46694
Jacksonville,94.71371,105.5256
Jacksonville State,98.31181,106.43388
James Madison,110.72257,102.26516
Kansas,115.00198,91.016846
Kansas City,97.395775,106.34656
Kansas State,106.62426,92.92407
Kennesaw State,101.73207,111.17745
Kent State,104.49629,107.94403
Kentucky,123.08236,98.10476
La Salle,101.32578,107.43628
Lafayette,93.83363,103.534225
Lamar,103.51449,107.95345
Le Moyne,96.9613,106.88213
Lehigh,96.88726,106.028435
Liberty,104.60025,104.88543
Lindenwood,87.77486,115.784515
Lipscomb,109.99258,110.18444
Little Rock,104.72798,110.18283
Long Beach State,104.21439,104.103714
Long Island University,90.17364,112.93171
Longwood,104.571335,106.49669
Louisiana,104.312325,104.905235
Louisiana State,110.99168,99.47932
Louisiana Tech,103.263336,96.823616
Louisiana-Monroe,97.35337,114.324814
Louisville,104.70568,105.62936
Loyola (IL),104.73021,92.850204
Loyola (MD),90.74129,114.95627
Loyola Marymount,107.84621,105.58022
Maine,96.042046,107.206345
Manhattan,89.70698,114.28857
Marist,95.62767,98.01012
Marquette,118.62795,93.826866
Marshall,96.754135,107.14366
Maryland,105.36952,89.38291
Maryland-Baltimore County,102.51422,113.13938
Maryland-Eastern Shore,86.47537,107.62522
Massachusetts,109.713295,97.67873
Massachusetts-Lowell,104.51281,102.58613
McNeese State,113.89082,98.33171
Memphis,110.51874,100.065414
Mercer,101.29104,107.54609
Merrimack,95.93965,101.95457
Miami (FL),108.70852,100.812035
Miami (OH),99.99339,103.71152
Michigan,112.47109,103.05158
Michigan State,114.27978,90.71454
Middle Tennessee,96.162346,103.37276
Milwaukee,102.6506,109.60031
Minnesota,111.30229,98.62159
Mississippi,112.32277,101.96384
Mississippi State,112.4823,89.14978
Mississippi Valley State,80.9183,120.68027
Missouri,109.364105,103.41447
Missouri State,102.69612,101.836075
Monmouth,101.39641,110.15123
Montana,107.12335,111.1698
Montana State,101.970276,109.98021
Morehead State,106.94792,102.96689
Morgan State,95.37405,114.306274
Mount St. Mary's,99.853264,107.54654
Murray State,107.78353,106.97043
NC State,116.77169,96.53945
NJIT,94.37312,113.25633
Navy,94.72871,108.69122
Nebraska,116.00929,92.928856
Nevada,111.54735,92.68702
Nevada-Las Vegas,112.22068,99.18495
New Hampshire,96.803925,103.157814
New Mexico,112.08468,93.11654
New Mexico State,97.55642,111.23159
New Orleans,94.370636,115.06878
Niagara,100.558334,112.19815
Nicholls State,99.361824,107.182
Norfolk State,104.04725,108.000656
North Alabama,103.35035,112.645195
North Carolina,118.57275,91.392006
North Carolina A&T,90.427635,116.864044
North Carolina Central,100.353966,114.7028
North Dakota,100.54942,109.95281
North Dakota State,101.95089,112.30658
North Florida,102.87727,113.98249
North Texas,110.911896,97.58753
Northeastern,101.223,113.1549
Northern Arizona,93.97891,111.780754
Northern Colorado,100.34013,110.62358
Northern Illinois,99.212685,110.60759
Northern Iowa,107.22199,99.32658
Northern Kentucky,98.630135,105.29215
Northwestern,114.64008,97.68436
Northwestern State,92.32825,112.24177
Notre Dame,101.22244,96.7157
Oakland,109.34851,103.978584
Ohio,106.835106,103.13246
Ohio State,116.3227,96.41119
Oklahoma,111.85032,94.46479
Oklahoma State,106.153,101.91896
Old Dominion,95.96471,107.22311
Omaha,98.416985,108.94087
Oral Roberts,102.11657,111.61818
Oregon,116.91065,98.23068
Oregon State,108.32832,98.95822
Pacific,91.26016,114.75411
Penn State,109.26628,98.66129
Pennsylvania,109.311745,108.89447
Pepperdine,103.65869,107.59291
Pittsburgh,116.16753,94.180626
Portland,100.954956,114.773186
Portland State,94.56065,104.960976
Prairie View,93.32415,109.99107
Presbyterian,99.60301,110.24016
Princeton,117.05797,105.1848
Providence,110.43202,91.19209
Purdue,125.596405,89.16127
Purdue Fort Wayne,101.27651,101.51666
Queens (NC),97.44344,112.44038
Quinnipiac,102.254974,103.322876
Radford,105.50408,107.91355
Rhode Island,106.22082,107.88209
Rice,105.53358,107.19392
Richmond,109.30289,95.8538
Rider,98.97878,109.18979
Robert Morris,99.27106,114.02404
Rutgers,100.47178,90.77489
SIU Edwardsville,96.075775,107.434044
Sacramento State,96.56915,112.60505
Sacred Heart,98.971794,112.23885
Saint Francis (PA),88.45094,114.25469
Saint Joseph's,112.7003,99.05166
Saint Louis,109.12974,111.92681
Saint Mary's (CA),114.80528,87.90188
Saint Peter's,97.42191,100.24951
Sam Houston,102.99985,102.04232
Samford,112.08612,102.58086
San Diego,96.34749,108.3743
San Diego State,111.008095,91.292946
San Francisco,112.26786,94.38091
San Jose State,106.09263,114.589264
Santa Clara,108.72449,101.944885
Seattle,103.01296,97.47775
Seton Hall,111.14083,94.30834
Siena,87.585014,116.514946
South Alabama,102.985565,111.07094
South Carolina,112.2336,96.051384
South Carolina State,96.92803,111.0198
South Carolina Upstate,97.22214,109.57339
South Dakota,101.121994,114.29927
South Dakota State,108.56805,104.59842
South Florida,111.90856,99.07237
Southeast Missouri State,86.6616,112.21154
Southeastern Louisiana,98.080574,111.218925
Southern,92.776115,110.68171
Southern California,111.23156,99.78558
Southern Illinois,109.00723,102.86208
Southern Indiana,87.3481,114.67622
Southern Methodist,109.76147,97.40138
Southern Mississippi,98.509285,104.25238
Southern Utah,101.20238,114.50149
St. Bonaventure,111.00816,101.177376
St. John's (NY),119.06849,94.98954
St. Thomas,108.8444,107.09137
Stanford,111.55133,101.88569
Stephen F. Austin,96.41271,103.41259
Stetson,109.00198,116.15459
Stonehill,88.6209,116.33616
Stony Brook,103.11212,105.22804
Syracuse,109.484795,97.87562
TCU,115.62103,94.80162
Tarleton State,106.57923,104.133125
Temple,100.15732,106.77456
Tennessee,121.58857,85.02491
Tennessee State,92.8162,111.49866
Tennessee Tech,93.44777,110.86057
Tennessee-Martin,101.12255,109.06031
Texas,117.05198,92.07283
Texas A&M,116.67388,95.41105
Texas A&M-Commerce,88.83877,112.96493
Texas A&M-Corpus Christi,94.47038,102.8664
Texas Southern,93.22951,107.27398
Texas State,97.11802,98.47786
Texas Tech,117.33529,95.98712
Texas-Rio Grande Valley,92.63015,109.248634
The Citadel,99.41989,111.889885
Toledo,110.76592,108.06716
Towson,101.85387,99.172295
Troy,104.770744,104.63805
Tulane,110.962395,105.95747
Tulsa,100.63874,101.5749
UAB,110.56086,100.279686
UC Davis,99.43479,101.40002
UC Irvine,109.81045,98.5346
UC Riverside,98.408455,105.911545
UC San Diego,110.064606,105.27186
UC Santa Barbara,105.18089,110.173416
UCF,107.008804,92.14459
UCLA,107.60516,94.0683
UNC Asheville,105.48293,106.534775
UNC Greensboro,104.85132,104.30048
UNC Wilmington,110.5185,108.62565
UT Arlington,104.85048,102.97937
UTEP,99.215614,101.68619
UTSA,105.70432,114.17095
Utah,116.236084,95.89072
Utah State,112.668816,99.97776
Utah Tech,96.35528,111.529335
Utah Valley,96.650276,97.22887
VMI,89.74437,111.9947
Valparaiso,96.502235,109.55674
Vanderbilt,105.34622,103.74719
Vermont,103.85058,98.561195
Villanova,113.96193,92.226036
Virginia,106.381004,90.18503
Virginia Commonwealth,113.4419,94.93516
Virginia Tech,116.85426,97.79109
Wagner,93.57978,107.04413
Wake Forest,117.07196,98.76915
Washington,111.28929,97.9973
Washington State,115.71389,93.85513
Weber State,104.00907,110.43293
West Virginia,106.15681,100.01292
Western Carolina,105.61383,103.430725
Western Illinois,94.15758,105.018456
Western Kentucky,100.97351,102.18413
Western Michigan,97.72622,108.92953
Wichita State,102.31558,101.38796
William & Mary,94.550446,116.10796
Winthrop,105.360146,110.44627
Wisconsin,118.259056,95.00363
Wofford,103.11024,109.38543
Wright State,114.92359,115.05582
Wyoming,105.12735,107.30313
Xavier,111.874,92.83465
Yale,107.70868,102.142654
Youngstown State,105.80253,102.72555
