,Offensive Rating,Defensive Rating
Abilene Christian,94.88666,109.8228
Air Force,98.14839,106.647415
Akron,108.80104,96.74695
Alabama,105.67978,94.08209
Alabama A&M,95.73364,114.57015
Alabama State,91.57372,109.470985
Albany (NY),102.66716,100.215744
Alcorn State,91.42348,114.415016
American,86.989395,103.93451
Appalachian State,96.95511,111.53788
Arizona,116.979515,91.2181
Arizona State,109.33138,98.63387
Arkansas,108.61114,93.580734
Arkansas State,96.61581,107.21585
Arkansas-Pine Bluff,84.02621,112.4803
Army,97.567856,107.140656
Auburn,101.841034,100.52246
Austin Peay,102.06853,108.60893
Ball State,101.73045,99.35358
Baylor,116.823814,96.37611
Belmont,112.4145,111.908134
Bethune-Cookman,91.61419,109.87928
Binghamton,87.05729,104.01652
Boise State,109.72664,95.572495
Boston College,94.05455,96.34986
Boston University,98.73705,110.277336
Bowling Green State,99.22336,106.85674
Bradley,87.54256,105.07396
Brigham Young,110.43057,96.89138
Brown,96.05679,109.28077
Bryant,89.49645,115.60322
Bucknell,102.52582,105.93864
Buffalo,104.522705,101.01999
Butler,115.92024,93.888596
Cal Poly,104.13738,108.703865
Cal State Bakersfield,101.986176,93.20819
Cal State Fullerton,97.56945,106.63426
Cal State Northridge,98.07793,103.111534
California,113.61246,89.89202
Campbell,95.14044,112.51565
Canisius,104.7908,112.745834
Central Arkansas,97.9276,117.23078
Central Connecticut State,86.54456,118.03968
Central Michigan,107.06826,104.70987
Charleston Southern,92.60871,112.31908
Charlotte,103.27403,104.448204
Chattanooga,105.287796,101.72071
Chicago State,87.52985,111.820114
Cincinnati,111.359695,86.7795
Clemson,113.39242,92.911606
Cleveland State,88.33861,102.85909
Coastal Carolina,96.522316,102.35968
Colgate,99.63602,108.721825
College of Charleston,94.891914,95.03319
Colorado,108.102715,93.62536
Colorado State,112.96282,104.27392
Columbia,108.354515,105.90315
Connecticut,114.753685,87.77513
Coppin State,91.904816,112.29767
Cornell,93.896065,107.8201
Creighton,113.96302,97.432846
Dartmouth,97.94536,103.64964
Davidson,113.21289,104.61514
Dayton,103.84036,92.43381
DePaul,103.26443,101.71951
Delaware,96.82556,110.123146
Delaware State,84.523766,114.87006
Denver,98.24605,102.393364
Detroit Mercy,107.11805,109.472664
Drake,100.669945,111.898674
Drexel,93.75585,101.57526
Duke,119.91131,93.24108
Duquesne,106.225494,100.76096
East Carolina,104.02026,106.25204
East Tennessee State,103.3874,105.68075
Eastern Illinois,97.039955,108.07814
Eastern Kentucky,102.9822,109.03583
Eastern Michigan,101.145096,100.36753
Eastern Washington,108.28552,112.1961
Elon,103.85412,105.85591
Evansville,108.26387,93.43047
FDU,98.86803,113.56277
Fairfield,101.9827,104.78835
Florida,111.349434,86.94182
Florida A&M,79.10916,107.08469
Florida Atlantic,89.24552,109.474754
Florida Gulf Coast,99.53322,100.953224
Florida International,100.349815,103.64144
Florida State,112.008316,98.00204
Fordham,100.6028,97.96733
Fresno State,107.62862,97.95721
Furman,96.49558,105.227715
Gardner-Webb,95.577675,106.44087
George Mason,101.94615,102.332
