,Offensive Rating,Defensive Rating
New Orleans,94.172226,100.90108
Niagara,94.156006,108.242096
Nicholls State,92.528465,106.79304
Norfolk State,83.010056,105.61248
North Carolina,116.08981,84.402824
North Carolina A&T,83.49674,124.92112
North Carolina Central,95.699814,98.39004
North Dakota,96.987206,99.19561
North Dakota State,101.879364,106.31141
North Florida,95.97235,110.936966
North Texas,86.812645,106.520775
Northeastern,99.10051,101.52298
Northern Arizona,89.48574,109.429306
Northern Colorado,89.49261,106.77857
Northern Illinois,94.22288,103.2723
Northern Iowa,91.35456,90.73454
Northern Kentucky,100.14679,105.87359
Northwestern,109.07965,90.30387
Northwestern State,96.333145,109.744316
Notre Dame,115.72114,92.800606
Oakland,101.03772,95.13641
Ohio,101.54109,95.05328
Ohio State,101.8713,93.10356
Oklahoma,102.32398,91.68842
Oklahoma State,121.503075,104.06419
Old Dominion,98.57584,88.132286
Omaha,101.756676,107.54027
Oral Roberts,94.7462,106.30726
Oregon,118.2049,84.711334
Oregon State,94.536804,95.86609
Pacific,95.017815,100.87919
Penn State,102.10916,95.08788
Pennsylvania,97.84728,100.779175
Pepperdine,92.45783,108.51452
Pittsburgh,111.76068,102.41912
Portland,98.47491,102.849945
Portland State,98.412254,109.206245
Prairie View,87.72778,99.279465
Presbyterian,80.497444,111.705574
Princeton,102.25194,92.69079
Providence,106.09266,89.48568
Purdue,115.14819,87.18259
Purdue Fort Wayne,101.38222,99.279465
Quinnipiac,94.86452,108.18922
Radford,90.68495,103.62718
Rhode Island,110.92149,94.130165
Rice,104.90978,103.17316
Richmond,104.53404,105.73197
Rider,94.11017,103.79761
Robert Morris,93.17953,100.89193
Rutgers,98.1951,92.40012
SIU Edwardsville,88.93978,110.94925
Sacramento State,93.649925,113.51785
Sacred Heart,85.21393,107.741554
Saint Francis (PA),99.56675,108.51105
Saint Joseph's,96.03599,100.03896
Saint Louis,84.730644,98.578705
Saint Mary's (CA),116.00813,94.02906
Saint Peter's,102.52494,95.22641
Sam Houston,92.78026,99.279465
Samford,100.6726,102.93968
San Diego,94.86101,107.44018
San Diego State,100.60979,87.58201
San Francisco,102.4079,91.814186
San Jose State,96.17146,101.8509
Santa Clara,99.59636,99.32728
Savannah State,90.22434,114.99139
Seattle,89.19543,95.896805
Seton Hall,105.541466,87.752304
Siena,103.72818,102.09214
South Alabama,94.10979,98.8065
South Carolina,105.47124,80.62476
South Carolina State,93.15422,117.12425
South Carolina Upstate,97.33148,101.98624
South Dakota,96.64775,97.14742
South Dakota State,103.01153,101.561134
South Florida,92.90068,100.49504
Southeast Missouri State,93.83003,105.235466
Southeastern Louisiana,92.217804,100.87658
Southern,94.09404,109.23815
Southern California,111.63723,93.71701
Southern Illinois,98.78388,108.96759
Southern Methodist,117.156815,90.45396
Southern Mississippi,89.36214,102.52825
Southern Utah,94.844734,121.71372
St. Bonaventure,106.10868,98.74195
St. Francis (NY),85.014336,99.279465
St. John's (NY),109.0584,95.26486
Stanford,100.35557,94.310074
Stephen F. Austin,88.70904,98.06369
Stetson,88.64491,112.95429
Stony Brook,93.65199,105.51187
Syracuse,107.09002,90.74488
TCU,109.391396,90.43208
Temple,105.89725,97.85922
Tennessee,102.33881,92.9518
Tennessee State,96.50669,99.00044
Tennessee Tech,96.74054,97.9112
Tennessee-Martin,96.93108,99.279465
Texas,97.283905,90.89013
Texas A&M,106.69773,88.37567
Texas A&M-Corpus Christi,94.2063,99.279465
Texas Southern,100.34965,93.868904
Texas State,97.6226,95.9185
Texas Tech,109.37188,95.16739
Texas-Rio Grande Valley,91.595695,99.279465
The Citadel,94.3897,115.62991
Toledo,100.39181,98.04055
Towson,101.045265,99.6636
Troy,104.31457,105.64406
Tulane,97.26104,105.17715
Tulsa,100.36048,98.90591
UAB,98.1868,97.20768
