Net Rank,Team,Offensive Rating,Defensive Rating,Net Rating,Offensive Rank,Defensive Rank
1,Duke,116.74633,81.497765,35.248565,7,3
2,Kansas,116.36208,84.35857,32.003510000000006,9,8
3,Michigan State,117.479774,85.96051,31.519264000000007,6,17
4,Butler,116.57416,85.69417,30.879990000000006,8,16
5,Baylor,112.65259,82.291626,30.36096400000001,26,4
6,Ohio State,114.2916,84.93662,29.354979999999998,16,11
7,Creighton,118.93117,89.67126,29.25990999999999,4,45
8,Dayton,120.03034,91.66665,28.36368999999999,2,57
9,San Diego State,116.16772,88.385445,27.782275,10,37
10,Gonzaga,121.36171,93.60058,27.76113000000001,1,84
11,Oregon,119.37405,91.73248,27.64157,3,58
12,Stanford,110.428764,82.91778,27.510984000000008,41,5
13,Villanova,115.81059,88.51941,27.29118000000001,11,38
14,Florida,114.99831,87.81473,27.183580000000006,13,32
15,West Virginia,105.19542,78.130684,27.064735999999996,95,1
16,Indiana,112.41176,85.69267,26.719089999999994,28,15
17,Wisconsin,113.275665,86.586136,26.689529000000007,21,23
18,Arizona,111.7922,85.123604,26.668595999999994,32,12
19,Louisville,113.76068,87.72798,26.03269999999999,18,30
20,Michigan,112.06798,86.06791,26.000070000000008,30,18
21,Colorado,109.55465,83.98331,25.571339999999992,44,7
22,Rutgers,110.21742,84.70811,25.50931,42,10
23,Florida State,111.27608,86.07841,25.197669999999988,36,19
24,Seton Hall,113.11693,88.03643,25.0805,22,33
25,Brigham Young,114.006874,88.99879,25.008083999999997,17,41
26,Houston,112.051834,87.244026,24.807807999999994,31,26
27,Minnesota,113.71707,89.90995,23.807120000000012,19,46
28,Maryland,114.39692,90.65241,23.74450999999999,15,52
29,Louisiana State,118.295135,95.18809,23.107045,5,103
30,Purdue,108.2515,85.58203,22.66946999999999,60,14
31,Kentucky,111.51407,88.98194,22.53213000000001,34,40
32,Wichita State,108.19134,86.10236,22.088979999999992,61,20
33,Texas Tech,108.80368,86.95411,21.84957,52,25
34,Iowa,115.22737,93.75505,21.472319999999996,12,88
35,Oklahoma,108.96485,87.72615,21.238699999999994,51,29
36,Providence,109.35966,88.12984,21.229820000000004,49,34
