Net Rank,Team,Offensive Rating,Defensive Rating,Net Rating,Offensive Rank,Defensive Rank
1,Kansas,123.199036,84.93231,38.266726000000006,4,4
2,Villanova,123.82816,85.964806,37.863354,1,5
3,Virginia,123.55045,89.03903,34.51142,2,14
4,Michigan State,123.54758,89.457756,34.08982399999999,3,17
5,North Carolina,121.16178,90.312325,30.849454999999992,8,22
6,Louisville,114.94531,84.70252,30.24279,25,2
7,Kentucky,119.5014,90.81851,28.68289,12,27
8,West Virginia,115.86488,87.52897,28.33591,21,10
9,Miami (FL),117.48258,89.410225,28.072355,15,16
10,Indiana,123.026665,95.06884,27.957825,5,65
11,Oklahoma,118.003334,90.4036,27.599733999999998,14,23
12,Gonzaga,115.81675,88.42128,27.395470000000003,22,13
13,Syracuse,114.57055,87.262405,27.308144999999996,28,9
14,Xavier,116.35601,89.07752,27.27848999999999,19,15
15,Connecticut,114.753685,87.77513,26.978555,26,11
16,Duke,119.91131,93.24108,26.670230000000004,10,47
17,Oregon,117.322495,90.70153,26.620964999999998,16,25
18,Purdue,113.08612,87.24736,25.838759999999994,38,8
19,Seton Hall,110.6826,84.87515,25.80744999999999,59,3
20,Maryland,115.79698,90.01921,25.777770000000004,23,21
21,Arizona,116.979515,91.2181,25.761415,17,29
22,Texas A&M,115.42861,89.755905,25.672705000000008,24,18
23,Saint Mary's (CA),121.91327,96.4014,25.511870000000002,7,86
24,Cincinnati,111.359695,86.7795,24.580195000000003,53,6
25,Florida,111.349434,86.94182,24.407613999999995,54,7
26,Utah,119.52584,95.582565,23.943275,11,73
27,California,113.61246,89.89202,23.720439999999996,35,19
28,Texas,114.75193,91.06993,23.682000000000002,27,28
29,Iowa State,120.88894,97.31418,23.574760000000012,9,94
30,Notre Dame,122.213806,98.9504,23.263406000000003,6,113
31,Southern Methodist,118.285225,95.04281,23.242414999999994,13,63
32,San Diego State,104.6184,82.00555,22.612849999999995,126,1
33,Butler,115.92024,93.888596,22.031644,20,56
34,Wichita State,110.05549,88.3666,21.68889,64,12
35,Iowa,113.911446,92.571495,21.339951,32,38
36,Wisconsin,110.73799,89.97427,20.763719999999992,57,20
37,Clemson,113.39242,92.911606,20.480813999999995,36,43
38,Baylor,116.823814,96.37611,20.447704,18,85
39,Vanderbilt,112.56459,92.24695,20.317639999999997,42,36
40,Washington,109.84149,91.23065,18.610839999999996,65,30
41,Saint Joseph's,112.13942,93.59011,18.549310000000006,47,50
42,Pittsburgh,114.35496,95.955765,18.399195000000006,29,78
43,South Carolina,107.61628,90.54011,17.076170000000005,91,24
44,Texas Tech,110.41006,93.641235,16.768825000000007,61,52
45,Creighton,113.96302,97.432846,16.530174000000002,31,96
46,Michigan,112.985794,96.755844,16.229950000000002,40,89
47,Georgia Tech,113.769135,97.810524,15.958611000000005,34,98
48,George Washington,112.22974,96.70376,15.525980000000004,45,87
49,Virginia Commonwealth,107.438934,91.92911,15.509824000000009,93,35
50,Nebraska,110.73477,95.36989,15.36488,58,69
51,Providence,106.864746,91.60456,15.26018599999999,104,34
52,Southern California,112.32086,97.0659,15.254959999999997,44,91
53,Georgia,109.411705,94.27694,15.134765000000002,72,60
54,Kansas State,106.52099,91.401764,15.119225999999998,109,32
55,Oregon State,109.26977,94.19517,15.07459999999999,74,59
56,Arkansas,108.61114,93.580734,15.030406,79,49
57,Mississippi,111.06208,96.162994,14.899085999999997,56,81
58,Evansville,108.26387,93.43047,14.833399999999997,83,48
59,Georgetown,108.68771,93.89992,14.787790000000001,78,57
60,Louisiana State,114.304535,99.52546,14.779075000000006,30,120
61,Tulsa,111.888596,97.30318,14.58541600000001,50,93
62,Colorado,108.102715,93.62536,14.477355000000003,85,51
63,Little Rock,107.218605,92.78303,14.435575,97,41
64,Boise State,109.72664,95.572495,14.154145,67,72
65,Northern Iowa,110.13032,96.02877,14.101550000000003,63,80
66,Florida State,112.008316,98.00204,14.006276,48,103
67,UCLA,111.76562,97.81264,13.952979999999997,52,99
68,Valparaiso,104.659485,90.75963,13.899855000000002,125,26
69,Brigham Young,110.43057,96.89138,13.539190000000005,60,90
70,Houston,113.076935,100.23706,12.839875000000006,39,127
71,Old Dominion,106.54144,93.861084,12.680355999999989,108,55
72,Hawaii,105.0916,92.8219,12.2697,119,42
73,Mississippi State,110.26887,98.030655,12.238215000000011,62,104
74,Yale,108.19473,95.96694,12.227790000000013,84,79
75,Virginia Tech,105.40007,93.178925,12.221144999999993,116,44
76,Akron,108.80104,96.74695,12.054090000000002,77,88
77,Stanford,107.06912,95.16009,11.909030000000001,99,66
78,Oklahoma State,104.99546,93.217636,11.777823999999995,121,46
79,Temple,106.48871,94.72759,11.761119999999991,110,61
80,Ohio State,105.470955,93.73262,11.738335000000006,115,53
81,Alabama,105.67978,94.08209,11.59769,113,58
82,Nevada-Las Vegas,102.84276,91.35303,11.489729999999994,150,31
