Net Rank,Team,Offensive Rating,Defensive Rating,Net Rating,Offensive Rank,Defensive Rank
1,Baylor,126.445854,86.98678,39.459074,2,12
2,Gonzaga,123.302666,88.30575,34.996916,3,22
3,Michigan,120.88173,86.405205,34.47652500000001,4,10
4,Iowa,127.64978,96.43928,31.21050000000001,1,93
5,Illinois,115.65452,84.531944,31.12257600000001,8,3
6,Houston,113.67184,83.21049,30.46135000000001,18,1
7,Ohio State,120.491714,92.31862,28.173094000000006,5,52
8,Texas Tech,111.904015,84.58083,27.323184999999995,30,5
9,Tennessee,112.01908,85.22458,26.7945,27,6
10,Colorado,115.52812,89.48091,26.047210000000007,9,29
11,Alabama,110.47053,84.534,25.93652999999999,44,4
12,Connecticut,110.22572,84.4159,25.809820000000002,47,2
13,Florida State,114.82234,89.59517,25.22717,13,30
14,Wisconsin,112.174416,87.18496,24.98945599999999,25,15
15,Syracuse,114.09767,89.24798,24.849689999999995,14,27
16,Purdue,114.96337,90.23442,24.728949999999998,12,33
17,Maryland,113.79595,89.17455,24.62140000000001,16,25
18,Villanova,118.691475,94.12658,24.564894999999993,7,67
19,Arkansas,111.24209,87.41463,23.827460000000002,36,17
20,San Diego State,111.219215,87.47826,23.740955,37,18
21,Virginia,115.39578,91.772446,23.623334,10,47
22,Louisville,110.362625,86.987595,23.375029999999995,45,13
23,Southern California,111.92384,88.953674,22.970165999999992,29,23
24,UCLA,115.31131,92.698845,22.612465,11,56
25,Kansas,109.66364,87.48541,22.17823,52,19
26,Louisiana State,120.03677,97.97065,22.066119999999998,6,110
27,Rutgers,109.087906,87.08498,22.002926000000002,57,14
28,Penn State,113.605774,91.80004,21.805734,19,48
29,Texas,112.431694,90.68265,21.749043999999998,24,36
30,Virginia Tech,112.14891,91.4052,20.743710000000007,26,44
31,Clemson,107.25873,86.770836,20.487893999999997,78,11
32,NC State,113.083694,92.69804,20.385653999999988,21,55
33,West Virginia,113.21832,92.84854,20.369780000000006,20,58
34,Oklahoma,112.62739,92.52577,20.10162000000001,23,54
35,Georgia Tech,112.95458,92.85381,20.10077000000001,22,59
36,Brigham Young,110.63222,90.99367,19.63855000000001,42,39
37,Kentucky,106.816765,87.37244,19.444325000000006,84,16
38,Memphis,105.19885,85.872734,19.326116,100,8
