Net Rank,Team,Offensive Rating,Defensive Rating,Net Rating,Offensive Rank,Defensive Rank
1,Houston,119.09765,83.962296,35.13535400000001,5,3
2,Gonzaga,121.601006,86.70711,34.893896,3,11
3,Villanova,121.15831,87.555916,33.602394000000004,4,13
4,Arizona,118.980934,87.09185,31.88908400000001,6,12
5,Tennessee,113.56282,82.19636,31.366460000000004,22,2
6,Texas Tech,114.32849,84.408875,29.919615000000007,18,5
7,UCLA,118.788826,89.2686,29.520225999999994,7,24
8,Kansas,118.398026,89.39758,29.000445999999997,10,26
9,Baylor,118.58892,89.8096,28.77932,9,28
10,Iowa,122.06912,93.51382,28.555300000000003,2,69
11,Connecticut,116.55156,88.33642,28.21513999999999,13,20
12,Purdue,123.377464,95.56016,27.817304000000007,1,89
13,Kentucky,116.6165,90.09548,26.521020000000007,11,31
14,Illinois,114.176125,88.138596,26.037528999999992,20,19
15,Loyola (IL),111.698326,85.937584,25.760741999999993,34,9
16,Duke,118.71448,93.496086,25.21839399999999,8,68
17,Texas,110.7388,85.65681,25.081990000000005,41,8
18,Saint Mary's (CA),111.21392,86.27562,24.938299999999998,40,10
19,Auburn,111.66916,87.63089,24.03827000000001,36,14
20,Notre Dame,114.17992,90.56437,23.61555,19,33
21,Providence,112.72253,89.32846,23.39407,26,25
22,Wisconsin,110.50448,87.74338,22.7611,44,17
23,Virginia Tech,114.580475,91.92222,22.65825500000001,17,46
24,North Carolina,113.62647,91.52544,22.101029999999994,21,41
25,Alabama,115.41693,93.38988,22.02704999999999,16,66
26,Memphis,112.33993,90.63769,21.70223999999999,29,35
27,Louisiana State,106.007515,84.89966,21.107855,95,6
28,Arkansas,110.238464,89.15215,21.086313999999987,47,23
29,San Francisco,112.65324,91.76479,20.88844999999999,27,43
30,Ohio State,116.58054,95.76609,20.814449999999994,12,91
31,Colorado,108.926895,88.126915,20.799980000000005,67,18
32,Oklahoma,111.69034,91.446815,20.243525000000005,35,40
33,St. John's (NY),112.30098,92.8921,19.408879999999996,31,54
34,North Texas,109.13558,89.74968,19.385900000000007,63,27
35,TCU,109.19887,89.91294,19.285929999999993,62,30
36,Washington State,110.32905,91.56025,18.7688,45,42
37,Michigan,113.00876,94.26748,18.74127999999999,25,73
38,Brigham Young,110.574905,91.9236,18.651305000000008,43,47
39,Vanderbilt,109.417496,91.06092,18.356576000000004,56,39
40,Xavier,110.313866,92.06788,18.245986000000002,46,49
41,Belmont,111.58032,93.38934,18.190979999999996,37,65
42,Seton Hall,107.27451,89.10319,18.17132000000001,81,22
43,Southern Methodist,111.38446,93.49605,17.888410000000007,38,67
44,Texas A&M,109.571365,91.78619,17.785174999999995,55,44
45,Penn State,108.36119,90.75615,17.60503999999999,74,37
46,Creighton,106.00318,88.41706,17.586119999999994,96,21
47,San Diego State,99.40434,82.08197,17.322370000000006,208,1
48,Mississippi State,110.099365,92.89592,17.203445000000002,48,55
49,Oklahoma State,102.24481,85.10989,17.134920000000008,157,7
50,Miami (FL),113.31244,96.19649,17.115949999999998,24,93
51,New Mexico State,108.46904,91.84339,16.625650000000007,73,45
52,UAB,109.91183,93.29369,16.618139999999997,50,63
53,Michigan State,109.60575,93.01411,16.591639999999998,54,57
54,Davidson,116.17052,99.70534,16.46517999999999,15,142
55,Virginia,108.625656,92.381584,16.244072000000003,69,51
56,South Dakota State,116.236534,100.29329,15.943244000000007,14,151
57,Indiana,106.53575,90.5948,15.940949999999987,89,34
58,Boise State,108.80477,93.10589,15.698880000000003,68,59
59,Rutgers,108.30139,92.62488,15.676509999999993,76,52
60,Wake Forest,107.686584,92.28679,15.399794,79,50
61,Iowa State,103.066,87.66732,15.398679999999999,143,15
62,Arizona State,99.60426,84.23493,15.36932999999999,201,4
63,Colorado State,113.52124,98.29479,15.22645,23,122
64,Southern California,108.31176,93.31206,14.999700000000004,75,64
65,Santa Clara,111.920105,97.02441,14.895695000000003,32,104
66,DePaul,109.95085,95.33778,14.613070000000008,49,84
67,Vermont,111.91564,97.385475,14.530164999999997,33,112
68,Florida,108.47644,94.09018,14.386259999999993,72,72
69,Maryland,109.09131,94.82922,14.262089999999986,64,79
70,West Virginia,106.98284,92.75786,14.224980000000002,85,53
71,Kansas State,109.38503,95.221664,14.163365999999996,58,83
72,Drake,109.28674,95.16943,14.11730999999999,59,82
73,Wyoming,108.51243,94.43759,14.074839999999995,71,74
74,Bradley,106.61706,92.94392,13.67313999999999,87,56
75,Wichita State,103.716286,90.13307,13.583215999999993,129,32
76,St. Bonaventure,109.85619,96.283,13.573189999999997,51,95
77,Chattanooga,110.59026,97.03641,13.553849999999997,42,106
78,Marquette,106.36179,93.15774,13.204049999999995,92,61
79,Oregon,109.73037,96.90003,12.830339999999993,53,101
80,Florida State,108.19531,95.41021,12.7851,77,85
81,Clemson,108.94447,96.201614,12.742855999999989,65,94
82,Temple,105.84136,93.20902,12.63234,101,62
83,Murray State,109.39322,97.121056,12.272164000000004,57,107
84,Missouri State,112.30563,100.05086,12.254769999999994,30,147
85,Dayton,105.22802,93.14032,12.087699999999998,106,60
86,Grand Canyon,107.1764,95.43866,11.737740000000002,83,86
87,Syracuse,112.43066,100.75722,11.67344,28,162
88,Northern Iowa,109.20047,97.92477,11.2757,61,114
89,Saint Louis,108.16584,96.93991,11.225930000000005,78,103
90,Virginia Commonwealth,98.817406,87.73816,11.079246000000012,222,16
91,Utah State,108.93654,98.03442,10.902119999999996,66,116
92,Northwestern,104.45505,93.59392,10.861130000000003,117,70
93,Saint Peter's,100.337654,89.83429,10.503364000000005,189,29
94,George Mason,104.93251,94.54376,10.388749999999987,108,75
95,Stanford,105.775345,95.5251,10.250245000000007,102,87
96,South Carolina,102.18471,91.98258,10.202129999999997,159,48
97,Furman,111.3408,101.41007,9.930729999999997,39,181
98,Towson,105.51473,95.717094,9.797635999999997,103,90
99,Fresno State,103.80388,94.77726,9.026620000000008,126,77
100,UCF,105.90844,97.034195,8.874245000000002,98,105
101,California,99.52903,90.78335,8.745680000000007,204,38
102,Tulane,105.95317,97.222626,8.730543999999995,97,110
103,Middle Tennessee,105.22987,96.5049,8.724969999999999,105,96
104,Richmond,106.50642,98.033875,8.47254500000001,91,115
105,Cincinnati,104.11761,95.87833,8.239279999999994,123,92
106,Nebraska,106.80498,99.006935,7.798045000000002,86,132
107,Western Kentucky,107.48366,99.814026,7.669634000000002,80,143
108,Iona,104.14351,96.53199,7.611520000000013,122,97
109,Utah,104.19342,96.65177,7.541650000000004,121,98
110,UC Irvine,98.14775,90.733955,7.4137950000000075,230,36
111,Louisville,102.951866,95.55342,7.398445999999993,146,88
112,Toledo,107.19531,99.84893,7.346380000000011,82,145
113,Butler,100.897484,93.66522,7.232264000000001,183,71
114,Akron,106.085144,99.28723,6.797914000000006,94,136
115,Nevada-Las Vegas,103.5906,97.13183,6.458770000000001,131,108
116,Louisiana Tech,105.03014,98.69347,6.336669999999998,107,125
117,Seattle,99.39426,93.087006,6.307254,209,58
118,Washington,103.09965,96.89951,6.20013999999999,141,100
119,Boston College,104.93008,98.73073,6.19935000000001,109,126
120,Texas State,104.77839,99.16038,5.618009999999998,111,133
121,Minnesota,106.61083,101.15805,5.452780000000004,88,175
122,UC Santa Barbara,106.29855,101.10952,5.1890300000000025,93,173
123,Hofstra,108.62304,103.59189,5.031149999999997,70,210
124,Oral Roberts,109.25368,104.36127,4.892409999999998,60,225
125,Mississippi,103.14185,98.42387,4.717980000000011,139,123
126,Nevada,101.879585,97.26336,4.616225,163,111
127,Princeton,109.78738,105.69142,4.095960000000005,52,249
128,UNC Greensboro,98.873566,94.7934,4.080165999999991,220,78
129,UTEP,103.36464,99.4167,3.9479399999999885,137,139
130,Utah Valley,101.00309,97.164,3.839089999999999,181,109
131,Cal State Fullerton,104.4824,100.69679,3.7856100000000055,116,158
132,College of Charleston,103.526375,99.93212,3.594255000000004,134,146
133,Buffalo,104.63267,101.04588,3.5867900000000077,114,170
134,Florida Atlantic,103.14687,99.58408,3.562790000000007,138,140
135,Morehead State,100.22887,96.691795,3.5370750000000015,192,99
136,Monmouth,101.22777,98.21717,3.010600000000011,177,121
137,Liberty,104.52775,101.5172,3.010549999999995,115,183
138,Kent State,102.12052,99.16899,2.9515300000000053,160,134
139,Coastal Carolina,99.5762,96.90425,2.6719499999999954,202,102
140,Southern Illinois,101.47958,98.82753,2.6520500000000027,173,127
141,Ohio,103.52892,101.10973,2.4191900000000004,133,174
142,Hawaii,101.695015,99.29188,2.403134999999992,165,137
143,Abilene Christian,100.37938,98.11367,2.2657099999999986,187,119
144,North Dakota State,101.0826,98.875916,2.2066839999999956,179,130
145,South Alabama,101.12594,98.96672,2.159220000000005,178,131
146,Rhode Island,96.74326,94.679794,2.0634660000000054,244,76
147,Jacksonville State,103.42341,101.36549,2.05792000000001,135,180
148,Delaware,105.88,103.866165,2.0138350000000003,99,217
149,Saint Joseph's,101.513374,99.6119,1.9014739999999932,172,141
150,Fordham,96.60364,95.01548,1.588160000000002,246,80
151,Georgia Tech,99.67845,98.213554,1.464895999999996,199,120
152,Wofford,101.6333,100.5486,1.0847000000000122,166,155
153,Georgetown,104.72571,103.649345,1.0763650000000098,113,211
154,Portland,101.34479,100.27486,1.0699299999999994,176,150
155,Yale,99.15404,98.106415,1.0476249999999965,214,118
156,Samford,102.97684,101.96334,1.0134999999999934,145,188
157,Northern Kentucky,103.86228,103.006805,0.8554749999999984,125,201
158,Gardner-Webb,95.835236,95.04357,0.7916659999999922,258,81
159,UNC Wilmington,101.58264,100.92363,0.659009999999995,167,166
160,Tulsa,101.05816,100.42188,0.6362799999999993,180,153
161,Drexel,103.776985,103.4361,0.3408850000000001,127,208
