Net Rank,Team,Offensive Rating,Defensive Rating,Net Rating,Offensive Rank,Defensive Rank
1,Villanova,130.37738,89.376564,41.000815999999986,1,12
2,Purdue,123.92374,89.68086,34.24288,2,15
3,Cincinnati,114.41409,80.585785,33.828305,30,1
4,Duke,122.830475,89.63963,33.19084500000001,3,14
5,Virginia,114.00655,81.05794,32.94861,32,2
6,Michigan State,119.632164,88.28837,31.343794000000003,11,8
7,Kansas,122.24969,92.04368,30.206010000000006,5,31
8,West Virginia,120.203545,90.107346,30.096199,10,16
9,Tennessee,115.21959,85.43683,29.782759999999996,27,4
10,North Carolina,121.37911,92.249306,29.129803999999993,8,34
11,Texas Tech,113.28714,84.23756,29.04957999999999,37,3
12,Xavier,122.07339,95.140686,26.932704,7,63
13,Wichita State,122.23289,95.6148,26.618089999999995,6,66
14,Florida,117.31413,91.713196,25.60093400000001,23,28
15,Houston,112.58288,87.62657,24.956310000000002,44,7
16,Gonzaga,118.38932,93.57973,24.80959,15,44
17,Arkansas,118.05843,94.12219,23.936239999999998,19,48
18,Missouri,113.18438,89.37198,23.81240000000001,40,11
19,Clemson,112.52433,88.86568,23.65865000000001,45,10
20,Michigan,109.41313,85.758125,23.65500499999999,77,5
21,Ohio State,113.23815,90.2534,22.984750000000005,39,19
22,Auburn,113.57247,90.73964,22.83283,33,21
23,Seton Hall,118.32365,95.995155,22.328495000000004,16,70
24,Texas A&M,109.57226,87.310555,22.261705000000006,71,6
25,Baylor,110.926994,88.811035,22.11595899999999,61,9
26,Creighton,117.83303,95.94391,21.88911999999999,21,69
27,Marquette,122.253624,100.3935,21.860124,4,121
28,Arizona,118.87717,97.206665,21.670505000000006,13,81
29,TCU,120.26665,99.11926,21.14739,9,103
30,Nevada,118.11792,97.252686,20.865234,18,82
31,Louisville,113.00634,92.22209,20.78425,42,33
32,Virginia Tech,117.34529,96.70407,20.641220000000004,22,78
33,Kentucky,112.66522,92.15507,20.51015000000001,43,32
34,Butler,114.95606,94.61019,20.34586999999999,29,55
35,Arizona State,115.23795,95.004974,20.232975999999994,26,60
36,Penn State,111.98422,91.90067,20.08354999999999,49,29
37,Maryland,114.99838,94.947754,20.050625999999994,28,58
38,Miami (FL),110.54999,90.53757,20.01241999999999,64,20
39,Texas,110.84178,91.03268,19.8091,62,24
40,Alabama,111.10663,91.480804,19.62582599999999,59,27
41,Florida State,113.292534,93.69617,19.59636400000001,36,46
42,Rhode Island,110.30478,90.76382,19.54096,67,22
43,Middle Tennessee,112.025734,92.736115,19.289619000000002,48,37
44,Utah,113.40291,94.30684,19.09607000000001,35,52
45,Notre Dame,113.15028,94.285835,18.86444499999999,41,50
46,NC State,119.0354,100.189545,18.845855,12,114
47,Saint Mary's (CA),118.27382,99.526375,18.747445,17,106
48,Louisiana State,117.00855,98.26146,18.74709,24,89
49,Southern California,112.098595,93.49268,18.60591500000001,47,42
50,Nebraska,109.471535,91.045876,18.425658999999996,75,25
51,Loyola (IL),110.80772,92.47335,18.334370000000007,63,35
52,San Diego State,108.30308,90.187454,18.115625999999992,88,17
53,Syracuse,107.40808,89.39705,18.011030000000005,101,13
54,UCLA,114.11757,96.22994,17.88763,31,72
55,Davidson,118.56748,100.817375,17.750105000000005,14,128
56,Oklahoma,113.27059,96.90463,16.36596,38,79
57,Kansas State,107.56756,91.40761,16.159949999999995,97,26
58,Vanderbilt,117.84347,101.77926,16.064210000000003,20,144
59,Georgia,106.21813,90.24909,15.969040000000007,117,18
60,Western Kentucky,111.86682,96.08029,15.786529999999999,51,71
61,Boston College,111.088486,95.349144,15.739342000000008,60,64
62,Oklahoma State,108.76638,93.22731,15.539069999999995,84,40
63,Oregon,112.51752,97.30478,15.21274000000001,46,84
64,St. John's (NY),105.48758,90.813065,14.674515,125,23
65,Boise State,107.56877,93.63079,13.937979999999996,96,45
66,Indiana,107.55732,93.77339,13.783929999999998,98,47
67,Wisconsin,109.559044,95.86067,13.698374000000001,73,67
68,Mississippi State,108.678345,95.01608,13.66226499999999,85,61
69,Brigham Young,106.95546,93.414185,13.541274999999999,108,41
70,Murray State,111.447556,98.40573,13.041826,56,92
71,St. Bonaventure,109.56015,96.54823,13.01191999999999,72,75
72,Providence,108.09526,95.131905,12.963354999999993,91,62
73,New Mexico State,106.436584,93.573395,12.863188999999991,113,43
74,South Carolina,104.906555,92.56402,12.342534999999998,135,36
75,Fresno State,109.47139,97.259186,12.212204,76,83
76,Washington,106.76459,94.56807,12.196519999999992,110,54
77,Old Dominion,105.18196,93.03886,12.143100000000004,128,39
78,Louisiana,111.57918,99.51028,12.0689,55,105
79,Stanford,106.19231,94.282005,11.910305000000008,119,49
80,Belmont,111.798706,100.19641,11.602295999999996,53,115
81,Iowa State,111.1835,100.43837,10.745129999999989,58,122
82,Nevada-Las Vegas,111.690865,101.09715,10.593715000000003,54,132
83,Georgetown,110.29323,99.8016,10.49163,68,111
84,UAB,109.2387,98.78751,10.451189999999997,81,99
85,Southern Methodist,110.382614,99.94664,10.435974000000002,65,113
86,Iowa,115.76485,105.52711,10.237740000000002,25,202
87,Northern Kentucky,107.05293,96.91122,10.141710000000003,105,80
88,Wake Forest,110.3477,100.31767,10.030029999999996,66,120
89,Illinois,111.413086,101.42218,9.99090600000001,57,139
90,Oregon State,108.4827,98.80199,9.68070999999999,87,100
91,UCF,102.22847,92.92926,9.299210000000002,166,38
92,Northwestern,109.5243,100.25506,9.269239999999996,74,117
93,Furman,107.95451,98.69744,9.257069999999999,92,97
94,South Dakota State,111.863525,102.84789,9.015634999999989,52,164
95,Temple,107.31759,98.403114,8.914475999999993,102,91
96,New Mexico,113.421814,104.61978,8.802033999999992,34,188
97,Utah Valley,109.247116,100.47214,8.77497600000001,80,124
98,Northeastern,106.84077,99.08586,7.7549100000000095,109,102
99,Mississippi,111.87088,104.127304,7.7435760000000045,50,181
100,Wyoming,103.517784,95.89276,7.6250240000000105,154,68
101,Missouri State,105.85221,98.32557,7.52664,122,90
102,Buffalo,109.28362,101.957275,7.326345000000003,79,151
103,Marshall,109.082436,102.040405,7.042030999999994,82,152
104,East Tennessee State,104.49792,97.52669,6.971229999999991,137,85
105,Northern Colorado,106.647995,99.75488,6.8931149999999946,111,110
106,DePaul,101.80966,94.97947,6.8301899999999875,172,59
107,San Diego,101.473366,94.65376,6.819605999999993,185,56
108,Utah State,107.571945,100.76487,6.8070749999999975,95,127
109,Vermont,108.27965,101.85659,6.423060000000007,89,149
110,Bradley,100.35178,94.2866,6.065179999999998,204,51
111,Rutgers,98.053406,91.9978,6.055605999999997,245,30
112,South Dakota,105.90652,100.25682,5.649699999999996,121,118
113,Evansville,99.69345,94.34619,5.3472599999999915,214,53
114,Toledo,110.27165,105.04746,5.224189999999993,69,195
115,Northern Iowa,101.7263,96.63657,5.089729999999989,176,76
116,Virginia Commonwealth,105.444954,100.45851,4.986443999999992,126,123
117,Minnesota,105.08652,100.27794,4.808579999999992,131,119
118,Grand Canyon,99.60375,94.81598,4.787770000000009,217,57
119,Illinois State,104.42246,99.662575,4.759884999999997,138,108
120,UT Arlington,103.208405,98.51657,4.6918349999999975,156,95
121,Florida Gulf Coast,105.54851,100.99254,4.555969999999988,124,131
122,College of Charleston,107.42052,103.05235,4.368169999999992,100,168
123,Georgia State,103.81692,99.553825,4.263094999999993,144,107
124,Saint Louis,100.53083,96.30731,4.2235199999999935,199,74
125,Bucknell,106.3893,102.217834,4.1714660000000094,115,156
126,Eastern Washington,106.01093,102.05551,3.9554200000000037,120,153
127,Colorado,101.71873,98.0273,3.691429999999997,177,87
128,Indiana State,104.941536,101.3691,3.572435999999996,133,138
129,Tulsa,105.1444,101.7146,3.4298,129,143
130,UNC Greensboro,98.83972,95.598045,3.2416750000000008,227,65
131,UC Santa Barbara,109.412224,106.27941,3.132813999999996,78,219
132,Stephen F. Austin,101.55333,98.42949,3.1238400000000013,182,94
133,Weber State,107.55374,104.4318,3.1219400000000093,99,185
134,Georgia Tech,100.559845,97.56969,2.9901550000000015,198,86
135,Saint Joseph's,101.491135,98.65706,2.8340749999999986,184,96
136,Canisius,104.09743,101.34664,2.750790000000009,141,136
137,Louisiana Tech,106.436,103.75821,2.6777900000000017,114,177
138,Southern Illinois,104.32303,101.64662,2.676410000000004,139,141
139,Pennsylvania,98.71373,96.27781,2.435919999999996,230,73
