Net Rank,Team,Offensive Rating,Defensive Rating,Net Rating,Offensive Rank,Defensive Rank
1,Kentucky,120.461494,77.8213,42.64019400000001,5,1
2,Duke,126.06239,86.13252,39.929869999999994,1,12
3,Wisconsin,125.59655,88.95976,36.63678999999999,2,30
4,Gonzaga,121.70739,85.308395,36.398995,4,8
5,Arizona,116.42272,80.92556,35.497159999999994,14,3
6,Virginia,115.02493,79.927475,35.097455,18,2
7,North Carolina,118.3154,84.86566,33.44973999999999,8,7
8,Villanova,118.43813,85.76596,32.672169999999994,6,10
9,Utah,116.91879,87.15088,29.76791,11,18
10,Michigan State,116.480385,88.10743,28.372955000000005,13,22
11,Ohio State,116.72547,88.87079,27.854680000000002,12,28
12,Iowa State,118.31558,90.48387,27.83171,7,40
13,Notre Dame,125.56329,97.96827,27.59501999999999,3,117
14,Oklahoma,112.91558,86.54705,26.368530000000007,21,16
15,Louisville,109.22991,83.77807,25.451840000000004,51,5
16,Iowa,112.00856,87.1294,24.87916,28,17
17,Oklahoma State,111.986206,87.78377,24.20243599999999,29,20
18,Xavier,116.18194,93.281715,22.900224999999992,15,64
19,Miami (FL),111.24975,88.379776,22.869974,35,23
20,West Virginia,112.58397,90.5929,21.991069999999993,24,41
21,Texas,111.16193,89.43831,21.723619999999997,38,33
22,Stanford,112.07787,90.36768,21.71019000000001,27,38
23,Kansas,109.44097,87.835144,21.605825999999993,48,21
24,Butler,106.14812,84.84656,21.30156000000001,74,6
25,St. John's (NY),108.52224,87.280785,21.241455000000002,57,19
26,Georgetown,111.97436,90.76378,21.210580000000007,30,42
27,Northern Iowa,111.53159,90.3827,21.148889999999994,33,39
28,Baylor,110.3177,89.17439,21.14331,44,31
29,Providence,110.36166,89.38541,20.976250000000007,43,32
30,Southern Methodist,111.18547,90.296814,20.888655999999997,37,36
31,Florida,106.23792,85.797134,20.440786000000003,73,11
32,Oregon,111.4814,91.04421,20.437189999999987,34,46
33,Minnesota,111.70845,91.490814,20.217636,32,49
34,Wichita State,110.96173,90.98947,19.972260000000006,39,45
35,Syracuse,105.26451,85.58915,19.675359999999998,85,9
36,NC State,112.563835,93.40603,19.157804999999996,25,66
37,Brigham Young,118.03952,99.09687,18.94265,9,131
38,Purdue,108.4424,89.59342,18.84898000000001,58,35
39,Georgia,104.88241,86.37144,18.510969999999986,87,15
40,Cincinnati,106.9995,88.52507,18.474429999999998,67,25
41,UCLA,112.46655,94.057755,18.408794999999998,26,74
42,Davidson,115.17305,97.46849,17.70456,17,110
43,Indiana,117.91534,100.383835,17.531504999999996,10,155
44,TCU,106.135216,88.61304,17.522176,76,26
45,Virginia Commonwealth,111.21332,93.96808,17.245239999999995,36,71
46,San Diego State,100.5686,83.43561,17.132990000000007,161,4
47,Arkansas,113.6143,96.88416,16.730140000000006,19,103
48,Maryland,107.4433,90.98247,16.460829999999987,63,44
49,Saint Mary's (CA),111.71216,95.38767,16.324489999999997,31,90
50,Illinois,107.6217,91.80143,15.820270000000008,62,55
51,Dayton,107.07717,91.337685,15.739485000000002,65,47
52,Michigan,110.05873,94.49769,15.561039999999991,46,77
53,Old Dominion,104.102264,88.8811,15.221164000000002,99,29
54,Arizona State,109.16751,94.0415,15.126009999999994,52,73
55,Penn State,105.42176,90.318565,15.103195,83,37
56,Richmond,107.381714,92.31542,15.066294,64,58
57,Mississippi,110.709656,96.284706,14.424949999999995,40,97
58,Texas A&M,106.4646,92.119095,14.345505000000003,71,57
59,Vanderbilt,112.692505,98.62595,14.066554999999994,22,125
60,Georgia State,108.893974,94.9246,13.969374000000002,55,83
61,Alabama,108.826195,94.8995,13.926694999999995,56,82
62,Rhode Island,99.75381,86.139336,13.614474000000001,170,13
63,Colorado State,107.04596,93.47716,13.568799999999996,66,67
64,Murray State,115.26622,101.886154,13.380066,16,186
65,Memphis,104.691345,91.44809,13.243255000000005,90,48
66,Kansas State,107.91092,94.964386,12.946534,61,84
