Net Rank,Team,Offensive Rating,Defensive Rating,Net Rating,Offensive Rank,Defensive Rank
1,Houston,119.90015,78.97609,40.92406,16,1
2,Connecticut,125.65584,86.66129,38.994550000000004,3,4
3,Tennessee,121.58857,85.02491,36.56366,10,2
4,Purdue,125.596405,89.16127,36.435135,4,8
5,Arizona,120.47633,86.6772,33.799130000000005,14,5
6,Alabama,130.41896,97.90176,32.5172,1,73
7,Auburn,122.217636,90.446075,31.771561000000005,8,11
8,Iowa State,116.40006,85.51955,30.88051,34,3
9,Duke,122.22846,91.41491,30.813549999999992,7,19
10,Brigham Young,121.787186,92.479256,29.30793,9,25
11,Creighton,121.03758,92.424965,28.612615000000005,12,24
12,Baylor,126.99724,99.251114,27.746126000000004,2,98
13,North Carolina,118.57275,91.392006,27.180744000000004,20,18
14,Illinois,122.49031,95.500626,26.989683999999997,6,48
15,Saint Mary's (CA),114.80528,87.90188,26.90339999999999,44,6
16,Clemson,116.709564,90.78536,25.924204000000003,32,14
17,Texas,117.05198,92.07283,24.979150000000004,28,21
18,Kentucky,123.08236,98.10476,24.977599999999995,5,76
19,Marquette,118.62795,93.826866,24.801084000000003,19,32
20,Colorado,120.07259,95.30204,24.77055,15,46
21,St. John's (NY),119.06849,94.98954,24.078949999999992,17,43
22,Kansas,115.00198,91.016846,23.985134000000002,42,15
23,Michigan State,114.27978,90.71454,23.565240000000003,47,12
24,Florida,118.8382,95.297585,23.540615000000003,18,45
25,Mississippi State,112.4823,89.14978,23.332519999999988,54,7
26,Wisconsin,118.259056,95.00363,23.255426,21,44
27,Gonzaga,120.74456,97.502716,23.241844,13,64
28,Nebraska,116.00929,92.928856,23.080433999999997,39,30
29,Pittsburgh,116.16753,94.180626,21.986903999999996,38,36
30,Washington State,115.71389,93.85513,21.858760000000004,40,33
31,Villanova,113.96193,92.226036,21.735894000000002,48,23
32,Texas Tech,117.33529,95.98712,21.348169999999996,25,52
33,Texas A&M,116.67388,95.41105,21.262829999999994,33,47
34,Dayton,117.96085,97.05302,20.90782999999999,23,60
35,TCU,115.62103,94.80162,20.819410000000005,41,41
36,Utah,116.236084,95.89072,20.345364000000004,37,50
37,NC State,116.77169,96.53945,20.232240000000004,31,57
38,Ohio State,116.3227,96.41119,19.911509999999993,35,56
39,San Diego State,111.008095,91.292946,19.715148999999997,76,17
40,Cincinnati,111.26402,91.605515,19.658505000000005,72,20
41,Providence,110.43202,91.19209,19.23993,87,16
42,Virginia Tech,116.85426,97.79109,19.06317,30,70
43,Xavier,111.874,92.83465,19.03935,63,27
44,New Mexico,112.08468,93.11654,18.968140000000005,61,31
45,Nevada,111.54735,92.68702,18.86032999999999,68,26
46,Florida Atlantic,121.4215,102.58753,18.833969999999994,11,138
47,Oregon,116.91065,98.23068,18.679969999999997,29,78
48,Virginia Commonwealth,113.4419,94.93516,18.506740000000008,51,42
49,Wake Forest,117.07196,98.76915,18.302810000000008,26,89
50,Drake,114.52646,96.358055,18.168405000000007,46,55
51,San Francisco,112.26786,94.38091,17.88695,57,38
52,Oklahoma,111.85032,94.46479,17.385530000000003,64,40
53,Colorado State,116.2553,98.91953,17.33577000000001,36,90
54,Northwestern,114.64008,97.68436,16.95572,45,69
55,Seton Hall,111.14083,94.30834,16.832489999999993,74,37
56,Virginia,106.381004,90.18503,16.195974000000007,133,10
57,South Carolina,112.2336,96.051384,16.182215999999997,58,53
58,Maryland,105.36952,89.38291,15.986609999999999,148,9
59,McNeese State,113.89082,98.33171,15.559110000000004,49,81
60,UCF,107.008804,92.14459,14.864214000000004,128,22
61,Indiana State,117.89191,103.05024,14.841669999999993,24,145
62,Georgia,108.12405,93.96221,14.161839999999998,117,34
63,Iowa,118.02579,104.069595,13.956194999999994,22,163
64,Kansas State,106.62426,92.92407,13.700190000000006,131,29
65,Saint Joseph's,112.7003,99.05166,13.64864,52,92
66,UCLA,107.60516,94.0683,13.536860000000004,124,35
67,Bradley,111.69376,98.2363,13.457459999999998,65,79
68,Richmond,109.30289,95.8538,13.449089999999998,103,49
69,North Texas,110.911896,97.58753,13.324365999999998,79,66
70,Washington,111.28929,97.9973,13.291989999999998,71,74
71,Nevada-Las Vegas,112.22068,99.18495,13.035730000000001,59,97
