Net Rank,Team,Offensive Rating,Defensive Rating,Net Rating,Offensive Rank,Defensive Rank
1,Gonzaga,124.237114,87.52038,36.716734,1,14
2,Virginia,118.78084,82.08677,36.694069999999996,7,2
3,Michigan State,120.112274,83.61592,36.496354,4,5
4,Duke,120.09196,85.84434,34.24762,5,9
5,Texas Tech,112.91693,78.98692,33.930009999999996,29,1
6,Michigan,115.57307,83.42873,32.14434,16,4
7,Kentucky,117.671974,86.086555,31.585419,9,10
8,Auburn,122.21365,91.07647,31.13718,2,28
9,North Carolina,117.32883,86.6379,30.690929999999994,10,11
10,Tennessee,121.74705,92.58819,29.158860000000004,3,44
11,Houston,115.10113,87.26655,27.834580000000003,18,13
12,Purdue,119.89898,92.253174,27.645805999999993,6,39
13,Kansas,114.54716,88.14271,26.40445000000001,19,15
14,Iowa State,116.93325,91.66349,25.269760000000005,14,35
15,Wisconsin,110.80306,85.63513,25.16793,46,8
16,Louisiana State,117.02957,92.340126,24.68944400000001,13,40
17,Villanova,118.43313,93.87073,24.56240000000001,8,55
18,Florida State,109.44205,85.20412,24.23792999999999,59,7
19,Kansas State,106.854546,82.67188,24.182665999999998,100,3
20,Marquette,110.855354,86.94209,23.913264000000012,45,12
21,Oregon,107.37879,84.037254,23.34153599999999,90,6
22,Virginia Tech,117.28534,94.74556,22.539780000000007,11,62
23,Maryland,113.82128,91.3922,22.42908,25,31
24,Texas,112.61573,90.42403,22.191699999999997,33,26
25,UCF,111.708885,89.83503,21.873854999999992,41,20
26,Wofford,117.08503,95.256454,21.828575999999998,12,71
27,Louisville,113.96825,92.485794,21.482456,22,43
28,Mississippi,113.92257,92.44849,21.474079999999987,23,42
29,Oklahoma,110.43877,89.3568,21.08197,48,18
30,Syracuse,110.04665,89.05905,20.9876,52,17
31,Nevada,113.18777,92.202644,20.985125999999994,27,38
32,Nebraska,115.32342,94.64514,20.67828,17,61
33,Cincinnati,111.41152,91.56721,19.844309999999993,43,34
34,Baylor,114.04714,94.32001,19.727130000000002,21,59
35,Buffalo,112.00436,92.44469,19.55967000000001,38,41
36,Mississippi State,114.23273,94.81664,19.416089999999997,20,65
37,NC State,113.21079,93.95963,19.25116,26,56
38,Florida,109.52536,90.29492,19.23044,57,21
39,Iowa,116.14322,97.05182,19.091399999999993,15,96
40,Saint Mary's (CA),112.860306,93.86382,18.99648599999999,30,54
41,Utah State,112.41862,93.96772,18.450900000000004,34,58
42,TCU,109.61703,91.318344,18.298686000000004,55,29
43,Washington,108.16178,90.34847,17.813309999999987,75,23
44,Indiana,107.59188,90.34084,17.251040000000003,86,22
45,Creighton,112.01656,94.765594,17.250966000000005,37,64
46,Ohio State,109.00929,92.03361,16.975679999999997,64,37
47,Xavier,112.81287,95.979,16.833870000000005,31,80
48,Clemson,107.05647,90.3764,16.68007,97,25
49,Northwestern,104.50551,88.1575,16.348010000000002,134,16
50,Providence,106.868675,90.82424,16.044434999999993,99,27
51,Rutgers,107.13389,91.33034,15.803549999999987,94,30
52,San Francisco,111.75301,95.96047,15.792540000000002,39,77
53,Arizona State,108.32555,92.72465,15.60090000000001,73,46
54,Butler,112.0973,96.554794,15.542506000000003,36,87
