Team 1,Team 2,Date,Win Probability
Arizona,TCU,2022-03-20,0.7523837900727725
Notre Dame,Wichita State,2015-03-26,0.6593217835405658
Creighton,Oregon,2024-03-23,0.6667113474996261
Loyola (IL),Miami (FL),2018-03-15,0.38075891769673154
Clemson,Kansas,2018-03-23,0.21549757692002766
Florida State,Xavier,2017-03-18,0.6821600530575174
Duke,Yale,2016-03-19,0.705358628739014
Kentucky,Wofford,2019-03-23,0.32643023097320717
Auburn,Kentucky,2019-03-31,0.49591426143293227
Gonzaga,North Carolina,2017-04-03,0.5425459820913257
Georgia Tech,Loyola (IL),2021-03-19,0.48391984443790104
Texas Tech,Utah State,2021-03-19,0.3485642909839265
