Team,Gtm,Date,Site,Opponent,Type,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,oFG,oFGA,oFG%,o3P,o3PA,o3P%,o2P,o2PA,o2P%,oeFG%,oFT,oFTA,oFT%,oORB,oDRB,oTRB,oAST,oSTL,oBLK,oTOV,oPF
Albany (NY),22,2017-01-25,,Vermont,REG (Conf),L,49,60,,19,64,.297,1,8,.125,18,56,.321,.305,10,13,.769,12,25,37,8,8,1,9,20,22,50,.440,3,18,.167,19,32,.594,.470,13,20,.650,5,29,34,12,1,7,14,19
Albany (NY),23,2017-01-28,@,Hartford,REG (Conf),W,74,61,,25,55,.455,5,14,.357,20,41,.488,.500,19,27,.704,14,29,43,11,6,0,12,16,19,55,.345,12,36,.333,7,19,.368,.455,11,16,.688,4,22,26,14,7,5,13,20
Albany (NY),24,2017-02-01,,UMass Lowell,REG (Conf),W,90,77,,32,61,.525,7,13,.538,25,48,.521,.582,19,24,.792,10,21,31,20,7,2,10,18,30,58,.517,7,17,.412,23,41,.561,.578,10,14,.714,9,20,29,15,6,2,14,18
Albany (NY),25,2017-02-04,,Stony Brook,REG (Conf),L,65,72,,21,52,.404,3,10,.300,18,42,.429,.433,20,23,.870,11,14,25,12,8,2,13,24,23,48,.479,7,18,.389,16,30,.533,.552,19,24,.792,8,20,28,8,6,7,14,20
Albany (NY),26,2017-02-06,@,New Hampshire,REG (Conf),W,69,55,,24,53,.453,7,17,.412,17,36,.472,.519,14,20,.700,6,21,27,14,10,0,5,15,21,50,.420,6,21,.286,15,29,.517,.480,7,10,.700,9,21,30,14,2,4,14,16
Albany (NY),27,2017-02-09,@,Binghamton,REG (Conf),W,66,54,,23,52,.442,9,21,.429,14,31,.452,.529,11,15,.733,7,26,33,15,4,2,9,10,21,52,.404,6,16,.375,15,36,.417,.462,6,8,.750,2,21,23,7,3,4,5,12
Albany (NY),28,2017-02-15,,UMBC,REG (Conf),W,78,69,,25,57,.439,3,13,.231,22,44,.500,.465,25,31,.806,10,21,31,8,4,2,8,17,25,54,.463,7,22,.318,18,32,.563,.528,12,17,.706,8,19,27,13,4,4,12,25
Albany (NY),29,2017-02-19,@,Maine,REG (Conf),W,74,56,,29,70,.414,8,23,.348,21,47,.447,.471,8,10,.800,10,28,38,15,4,2,3,20,17,51,.333,9,19,.474,8,32,.250,.422,13,23,.565,6,24,30,10,3,5,9,10
Albany (NY),30,2017-02-22,@,Vermont,REG (Conf),L,50,62,,21,42,.500,7,13,.538,14,29,.483,.583,1,2,.500,3,18,21,11,2,2,13,13,23,52,.442,6,22,.273,17,30,.567,.500,10,13,.769,9,14,23,9,6,3,3,9
Albany (NY),31,2017-02-25,,Hartford,REG (Conf),W,80,62,,30,62,.484,7,14,.500,23,48,.479,.540,13,16,.813,7,24,31,16,8,4,13,18,22,61,.361,7,21,.333,15,40,.375,.418,11,14,.786,9,17,26,11,6,5,15,19
Albany (NY),32,2017-03-01,,Hartford,CTOURN,W,100,71,,35,57,.614,13,25,.520,22,32,.688,.728,17,21,.810,6,25,31,25,3,3,11,15,27,64,.422,5,20,.250,22,44,.500,.461,12,14,.857,5,17,22,11,8,1,10,18
Albany (NY),33,2017-03-06,@,Stony Brook,CTOURN,W,63,56,,18,46,.391,6,14,.429,12,32,.375,.457,21,25,.840,9,23,32,8,7,0,16,23,18,45,.400,4,21,.190,14,24,.583,.444,16,24,.667,8,20,28,8,5,3,16,24
Albany (NY),34,2017-03-11,@,Vermont,CTOURN,L,53,56,,21,53,.396,2,15,.133,19,38,.500,.415,9,14,.643,6,26,32,10,2,6,9,22,16,48,.333,6,16,.375,10,32,.313,.396,18,24,.750,7,23,30,9,2,9,5,15
