Team,Gtm,Date,Site,Opponent,Type,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,oFG,oFGA,oFG%,o3P,o3PA,o3P%,o2P,o2PA,o2P%,oeFG%,oFT,oFTA,oFT%,oORB,oDRB,oTRB,oAST,oSTL,oBLK,oTOV,oPF
Delaware State,8,2016-12-02,@,Delaware,REG (Non-Conf),L,49,64,,21,55,.382,1,15,.067,20,40,.500,.391,6,9,.667,2,18,20,12,7,3,10,19,23,58,.397,6,20,.300,17,38,.447,.448,12,17,.706,14,31,45,15,6,1,14,13
Delaware State,9,2016-12-04,@,SMU,REG (Non-Conf),L,60,74,,21,51,.412,9,22,.409,12,29,.414,.500,9,14,.643,4,14,18,14,10,0,16,21,25,53,.472,7,22,.318,18,31,.581,.538,17,24,.708,17,25,42,19,8,5,19,15
Delaware State,10,2016-12-08,@,North Texas,REG (Non-Conf),L,40,73,,12,53,.226,6,22,.273,6,31,.194,.283,10,18,.556,7,17,24,6,4,0,10,20,26,58,.448,3,19,.158,23,39,.590,.474,18,25,.720,13,31,44,11,8,6,5,17
Delaware State,11,2016-12-10,,Keystone,REG (Non-Conf),W,92,69,,37,68,.544,15,30,.500,22,38,.579,.654,3,9,.333,16,27,43,24,9,5,21,6,27,61,.443,13,30,.433,14,31,.452,.549,2,4,.500,3,18,21,17,13,3,20,16
Delaware State,12,2016-12-17,@,Binghamton,REG (Non-Conf),L,66,85,,25,55,.455,8,21,.381,17,34,.500,.527,8,18,.444,8,14,22,16,4,1,10,21,31,51,.608,8,20,.400,23,31,.742,.686,15,24,.625,7,25,32,21,4,0,12,18
Delaware State,13,2016-12-19,@,Indiana,REG (Non-Conf),L,56,103,,21,63,.333,6,22,.273,15,41,.366,.381,8,15,.533,11,12,23,13,4,2,12,16,42,63,.667,11,26,.423,31,37,.838,.754,8,14,.571,10,30,40,28,9,8,9,13
Delaware State,14,2016-12-22,@,Iowa,REG (Non-Conf),L,57,89,,16,66,.242,6,24,.250,10,42,.238,.288,19,26,.731,17,20,37,9,7,0,18,22,29,51,.569,8,20,.400,21,31,.677,.647,23,35,.657,5,32,37,17,12,4,17,20
Delaware State,15,2016-12-29,@,Hawaii,REG (Non-Conf),L,66,77,,22,46,.478,8,20,.400,14,26,.538,.565,14,25,.560,6,14,20,8,5,0,15,22,25,54,.463,10,28,.357,15,26,.577,.556,17,20,.850,11,20,31,17,8,1,14,21
Delaware State,16,2017-01-07,@,North Carolina A&T,REG (Conf),W,55,53,,20,55,.364,9,31,.290,11,24,.458,.445,6,12,.500,6,14,20,11,6,5,7,16,18,44,.409,7,20,.350,11,24,.458,.489,10,14,.714,9,29,38,10,2,2,20,15
Delaware State,17,2017-01-10,@,North Carolina Central,REG (Conf),W,69,68,,23,58,.397,10,23,.435,13,35,.371,.483,13,20,.650,9,27,36,11,7,0,16,19,23,60,.383,9,23,.391,14,37,.378,.458,13,20,.650,11,25,36,15,8,2,16,16
Delaware State,18,2017-01-14,,Hampton,REG (Conf),L,77,85,OT,26,59,.441,8,23,.348,18,36,.500,.508,17,21,.810,5,16,21,15,4,3,11,20,28,54,.519,10,17,.588,18,37,.486,.611,19,21,.905,8,26,34,18,4,2,16,19
Delaware State,19,2017-01-16,,Norfolk State,REG (Conf),L,70,75,,19,51,.373,9,24,.375,10,27,.370,.461,23,33,.697,7,23,30,10,8,1,14,16,24,51,.471,8,24,.333,16,27,.593,.549,19,25,.760,8,23,31,16,7,6,19,25
Delaware State,20,2017-01-21,@,South Carolina State,REG (Conf),L,64,74,,23,58,.397,6,19,.316,17,39,.436,.448,12,20,.600,11,21,32,13,3,3,14,16,28,54,.519,6,20,.300,22,34,.647,.574,12,18,.667,7,22,29,15,3,5,14,16
Delaware State,21,2017-01-23,@,Savannah State,REG (Conf),L,79,94,,27,65,.415,12,31,.387,15,34,.441,.508,13,24,.542,9,23,32,19,4,4,19,20,31,68,.456,14,41,.341,17,27,.630,.559,18,25,.720,9,32,41,22,10,4,16,20
Delaware State,22,2017-01-28,,Florida A&M,REG (Conf),L,68,81,,23,64,.359,11,41,.268,12,23,.522,.445,11,14,.786,8,19,27,14,7,2,14,21,24,52,.462,8,19,.421,16,33,.485,.538,25,30,.833,7,28,35,13,7,2,16,13
Delaware State,23,2017-01-30,,North Carolina Central,REG (Conf),L,74,82,,25,61,.410,11,26,.423,14,35,.400,.500,13,16,.813,6,25,31,10,0,6,10,24,26,55,.473,8,20,.400,18,35,.514,.545,22,29,.759,6,23,29,12,6,2,8,17
Delaware State,24,2017-02-01,,North Carolina A&T,REG (Conf),W,82,65,,30,59,.508,11,27,.407,19,32,.594,.602,11,17,.647,7,17,24,20,6,3,8,23,19,52,.365,6,26,.231,13,26,.500,.423,21,31,.677,15,23,38,8,2,2,14,22
Delaware State,25,2017-02-04,@,Bethune-Cookman,REG (Conf),W,88,82,OT,30,63,.476,12,29,.414,18,34,.529,.571,16,21,.762,10,21,31,20,8,3,16,16,28,64,.438,9,25,.360,19,39,.487,.508,17,20,.850,13,24,37,23,7,1,17,19
Delaware State,26,2017-02-06,@,Florida A&M,REG (Conf),W,80,77,OT,31,58,.534,10,24,.417,21,34,.618,.621,8,13,.615,9,26,35,15,6,1,9,17,28,64,.438,7,24,.292,21,40,.525,.492,14,21,.667,11,16,27,14,7,2,9,15
Delaware State,27,2017-02-11,@,Morgan State,REG (Conf),W,56,45,,16,40,.400,4,12,.333,12,28,.429,.450,20,25,.800,7,30,37,9,8,6,20,18,15,61,.246,6,20,.300,9,41,.220,.295,9,17,.529,16,20,36,8,7,5,14,21
Delaware State,28,2017-02-13,@,Coppin State,REG (Conf),L,75,83,,26,66,.394,7,28,.250,19,38,.500,.447,16,20,.800,6,26,32,12,4,1,6,26,24,57,.421,9,35,.257,15,22,.682,.500,26,35,.743,9,31,40,19,3,2,13,18
Delaware State,29,2017-02-20,,Morgan State,REG (Conf),L,54,65,,20,51,.392,5,19,.263,15,32,.469,.441,9,13,.692,5,19,24,11,5,4,13,21,24,56,.429,2,14,.143,22,42,.524,.446,15,22,.682,13,25,38,5,7,2,13,17
Delaware State,30,2017-02-25,,Maryland Eastern Shore,REG (Conf),L,64,65,,27,56,.482,7,14,.500,20,42,.476,.545,3,4,.750,9,18,27,16,2,4,10,11,21,56,.375,13,28,.464,8,28,.286,.491,10,14,.714,11,17,28,14,4,3,6,10
Delaware State,31,2017-03-02,,Howard,REG (Conf),W,66,56,,23,61,.377,8,18,.444,15,43,.349,.443,12,17,.706,17,24,41,9,3,1,12,17,20,53,.377,8,26,.308,12,27,.444,.453,8,12,.667,6,18,24,9,5,4,10,15
Delaware State,32,2017-03-07,N,Bethune-Cookman,CTOURN,L,62,69,,23,64,.359,4,19,.211,19,45,.422,.391,12,19,.632,13,22,35,15,4,4,10,19,18,52,.346,10,27,.370,8,25,.320,.442,23,27,.852,8,27,35,10,4,5,13,20
Denver,1,2016-11-12,,Jacksonville,REG (Non-Conf),L,84,92,,27,57,.474,12,25,.480,15,32,.469,.579,18,28,.643,10,23,33,14,5,0,18,33,26,48,.542,10,22,.455,16,26,.615,.646,30,41,.732,7,24,31,11,11,0,15,27
Denver,2,2016-11-17,@,San Jose State,REG (Non-Conf),W,74,69,,28,50,.560,4,14,.286,24,36,.667,.600,14,19,.737,4,27,31,18,6,2,20,21,25,62,.403,7,20,.350,18,42,.429,.460,12,16,.750,7,17,24,14,10,2,13,19
Denver,3,2016-11-23,,Utah Valley,REG (Non-Conf),L,85,88,,30,51,.588,8,17,.471,22,34,.647,.667,17,27,.630,6,25,31,12,6,6,21,28,28,58,.483,8,21,.381,20,37,.541,.552,24,33,.727,7,20,27,10,11,3,14,27
Denver,4,2016-11-26,@,Eastern Washington,REG (Non-Conf),L,80,85,OT,32,66,.485,10,21,.476,22,45,.489,.561,6,9,.667,11,28,39,18,2,1,10,18,33,75,.440,8,27,.296,25,48,.521,.493,11,15,.733,14,21,35,15,5,9,3,17
Denver,5,2016-11-27,N,Sacramento State,REG (Non-Conf),W,72,61,,26,66,.394,7,20,.350,19,46,.413,.447,13,20,.650,16,22,38,14,3,1,7,15,22,49,.449,2,11,.182,20,38,.526,.469,15,18,.833,4,23,27,5,4,4,6,21
Denver,6,2016-11-30,@,Wyoming,REG (Non-Conf),L,70,82,,26,61,.426,7,24,.292,19,37,.514,.484,11,15,.733,8,25,33,14,5,4,19,21,26,61,.426,9,31,.290,17,30,.567,.500,21,25,.840,7,25,32,13,6,6,8,18
Denver,7,2016-12-03,@,Weber State,REG (Non-Conf),W,57,55,,25,52,.481,5,15,.333,20,37,.541,.529,2,4,.500,6,28,34,14,4,2,17,20,16,53,.302,6,27,.222,10,26,.385,.358,17,20,.850,7,19,26,6,7,3,9,10
Denver,8,2016-12-07,@,Texas A&M,REG (Non-Conf),L,58,80,,19,54,.352,10,26,.385,9,28,.321,.444,10,15,.667,10,15,25,13,3,1,9,21,28,56,.500,7,26,.269,21,30,.700,.563,17,24,.708,11,25,36,20,4,8,4,16
Denver,9,2016-12-10,@,Air Force,REG (Non-Conf),W,77,65,,29,51,.569,7,14,.500,22,37,.595,.637,12,18,.667,4,28,32,16,5,1,11,20,21,52,.404,7,22,.318,14,30,.467,.471,16,25,.640,7,21,28,12,7,3,11,17
Denver,10,2016-12-13,@,South Alabama,REG (Non-Conf),W,64,51,,21,42,.500,7,17,.412,14,25,.560,.583,15,22,.682,6,22,28,15,3,1,16,19,17,54,.315,2,22,.091,15,32,.469,.333,15,21,.714,14,17,31,3,5,1,13,21
Denver,11,2016-12-17,,Northern Colorado,REG (Non-Conf),W,73,70,,21,58,.362,9,22,.409,12,36,.333,.440,22,27,.815,9,25,34,13,7,3,14,25,21,49,.429,7,22,.318,14,27,.519,.500,21,30,.700,7,27,34,8,7,2,18,27
Denver,12,2016-12-19,,Arkansas–Pine Bluff,REG (Non-Conf),W,74,52,,23,49,.469,7,21,.333,16,28,.571,.541,21,28,.750,7,20,27,17,12,2,11,11,21,47,.447,8,19,.421,13,28,.464,.532,2,4,.500,4,21,25,10,4,4,19,25
Denver,13,2016-12-22,,UC Riverside,REG (Non-Conf),W,73,55,,23,43,.535,7,18,.389,16,25,.640,.616,20,24,.833,5,26,31,15,9,1,15,17,17,46,.370,6,19,.316,11,27,.407,.435,15,21,.714,4,15,19,8,5,0,15,25
Denver,14,2016-12-28,,Oral Roberts,REG (Conf),W,77,73,,29,63,.460,6,12,.500,23,51,.451,.508,13,22,.591,9,29,38,19,5,0,10,22,26,62,.419,7,25,.280,19,37,.514,.476,14,20,.700,10,25,35,14,3,3,9,22
Denver,15,2017-01-04,,South Dakota,REG (Conf),L,69,75,,25,64,.391,5,20,.250,20,44,.455,.430,14,15,.933,15,23,38,13,9,1,15,22,22,48,.458,9,19,.474,13,29,.448,.552,22,30,.733,6,24,30,11,7,2,17,19
Denver,16,2017-01-07,@,IPFW,REG (Conf),L,83,87,,31,60,.517,11,25,.440,20,35,.571,.608,10,10,1.000,4,18,22,21,4,3,14,16,32,62,.516,11,26,.423,21,36,.583,.605,12,16,.750,9,17,26,17,7,3,14,12
Denver,17,2017-01-11,,Western Illinois,REG (Conf),W,84,70,,30,57,.526,8,17,.471,22,40,.550,.596,16,22,.727,5,31,36,16,4,4,12,17,23,63,.365,7,24,.292,16,39,.410,.421,17,17,1.000,5,24,29,10,4,6,10,18
Denver,18,2017-01-14,,North Dakota State,REG (Conf),W,79,55,,29,60,.483,5,19,.263,24,41,.585,.525,16,19,.842,11,35,46,15,3,4,11,17,19,60,.317,6,19,.316,13,41,.317,.367,11,17,.647,7,17,24,7,8,7,7,17
Denver,19,2017-01-18,@,Omaha,REG (Conf),L,88,97,,35,55,.636,7,14,.500,28,41,.683,.700,11,17,.647,4,19,23,18,4,1,13,23,31,55,.564,12,20,.600,19,35,.543,.673,23,29,.793,9,16,25,10,10,1,11,17
Denver,20,2017-01-21,@,IUPUI,REG (Conf),W,78,74,,30,56,.536,9,22,.409,21,34,.618,.616,9,12,.750,8,23,31,16,3,3,13,18,26,57,.456,9,23,.391,17,34,.500,.535,13,19,.684,6,17,23,8,4,3,8,12
Denver,21,2017-01-25,,South Dakota State,REG (Conf),W,91,82,,30,60,.500,11,20,.550,19,40,.475,.592,20,24,.833,13,21,34,15,4,3,7,16,29,59,.492,15,26,.577,14,33,.424,.619,9,14,.643,8,17,25,15,5,3,9,24
Denver,22,2017-01-28,@,South Dakota,REG (Conf),L,83,88,,27,53,.509,6,17,.353,21,36,.583,.566,23,29,.793,8,28,36,12,3,2,17,27,28,59,.475,5,13,.385,23,46,.500,.517,27,37,.730,5,19,24,14,9,3,8,22
Denver,23,2017-01-31,@,Oral Roberts,REG (Conf),W,93,69,,33,56,.589,11,16,.688,22,40,.550,.688,16,22,.727,6,27,33,20,7,3,8,22,23,53,.434,5,20,.250,18,33,.545,.481,18,25,.720,6,18,24,15,6,3,11,17
Denver,24,2017-02-04,,IPFW,REG (Conf),W,76,73,OT,25,60,.417,10,25,.400,15,35,.429,.500,16,22,.727,6,30,36,15,7,5,11,15,29,71,.408,5,26,.192,24,45,.533,.444,10,15,.667,14,27,41,13,8,5,11,16
Denver,25,2017-02-11,@,North Dakota State,REG (Conf),L,63,81,,21,60,.350,5,25,.200,16,35,.457,.392,14,16,.875,5,25,30,9,4,1,12,21,26,58,.448,6,17,.353,20,41,.488,.500,23,28,.821,8,34,42,9,9,4,10,18
Denver,26,2017-02-14,@,Western Illinois,REG (Conf),W,78,72,,28,56,.500,5,12,.417,23,44,.523,.545,17,20,.850,4,32,36,20,2,0,10,19,25,55,.455,10,21,.476,15,34,.441,.545,12,21,.571,4,25,29,14,5,5,9,21
Denver,27,2017-02-19,,IUPUI,REG (Conf),L,72,83,,26,53,.491,5,15,.333,21,38,.553,.538,15,22,.682,8,20,28,12,4,1,12,20,26,51,.510,10,19,.526,16,32,.500,.608,21,26,.808,6,21,27,13,9,2,10,19
Denver,28,2017-02-22,,Omaha,REG (Conf),L,83,84,,31,52,.596,8,15,.533,23,37,.622,.673,13,17,.765,7,23,30,16,7,2,19,20,30,62,.484,11,26,.423,19,36,.528,.573,13,16,.813,8,16,24,16,14,1,11,18
Denver,29,2017-02-25,@,South Dakota State,REG (Conf),L,64,88,,25,60,.417,5,12,.417,20,48,.417,.458,9,18,.500,6,19,25,13,5,3,9,15,33,58,.569,14,28,.500,19,30,.633,.690,8,13,.615,6,28,34,16,5,3,9,21
Denver,30,2017-03-05,N,South Dakota State,CTOURN,L,73,83,,26,59,.441,6,15,.400,20,44,.455,.492,15,20,.750,7,20,27,9,5,3,13,24,27,57,.474,7,18,.389,20,39,.513,.535,22,28,.786,7,25,32,12,7,2,9,23
DePaul,1,2016-11-13,,Robert Morris,REG (Non-Conf),W,78,72,,24,52,.462,3,11,.273,21,41,.512,.490,27,34,.794,7,23,30,15,5,5,15,21,25,61,.410,7,20,.350,18,41,.439,.467,15,21,.714,13,20,33,11,10,1,15,26
DePaul,2,2016-11-17,,Rutgers,REG (Non-Conf),L,59,66,,21,54,.389,8,24,.333,13,30,.433,.463,9,17,.529,8,16,24,12,6,2,11,23,20,51,.392,3,12,.250,17,39,.436,.422,23,29,.793,15,24,39,6,5,4,15,21
DePaul,3,2016-11-20,,Milwaukee,REG (Non-Conf),W,77,59,,27,51,.529,11,22,.500,16,29,.552,.637,12,14,.857,7,23,30,19,4,2,12,18,23,55,.418,3,23,.130,20,32,.625,.445,10,14,.714,9,16,25,9,8,2,10,17
DePaul,4,2016-11-23,,Missouri State,REG (Non-Conf),W,68,66,,26,55,.473,2,12,.167,24,43,.558,.491,14,16,.875,9,24,33,10,5,4,18,17,25,55,.455,10,24,.417,15,31,.484,.545,6,11,.545,6,19,25,17,8,4,13,18
DePaul,5,2016-11-30,,Drake,REG (Non-Conf),W,77,75,,30,57,.526,5,15,.333,25,42,.595,.570,12,17,.706,11,19,30,11,7,0,14,19,26,58,.448,8,29,.276,18,29,.621,.517,15,18,.833,15,22,37,17,8,1,17,20
DePaul,6,2016-12-03,@,Northwestern,REG (Non-Conf),L,64,80,,20,61,.328,2,20,.100,18,41,.439,.344,22,31,.710,12,23,35,11,8,5,12,22,26,60,.433,10,22,.455,16,38,.421,.517,18,24,.750,9,26,35,23,5,7,12,28
DePaul,7,2016-12-06,,Lamar,REG (Non-Conf),W,80,61,,27,54,.500,2,9,.222,25,45,.556,.519,24,31,.774,14,25,39,10,6,5,13,19,18,60,.300,9,24,.375,9,36,.250,.375,16,23,.696,12,14,26,10,7,3,10,26
DePaul,8,2016-12-10,N,Temple,REG (Non-Conf),L,65,74,,20,60,.333,1,14,.071,19,46,.413,.342,24,32,.750,15,24,39,5,8,5,16,21,20,50,.400,9,20,.450,11,30,.367,.490,25,31,.806,7,26,33,13,11,2,16,31
DePaul,9,2016-12-14,,Illinois–Chicago,REG (Non-Conf),L,75,80,,27,59,.458,4,9,.444,23,50,.460,.492,17,26,.654,11,22,33,8,0,5,16,21,26,57,.456,8,20,.400,18,37,.486,.526,20,28,.714,9,21,30,18,3,5,13,25
DePaul,10,2016-12-17,,Chicago State,REG (Non-Conf),W,109,61,,38,57,.667,13,20,.650,25,37,.676,.781,20,29,.690,9,31,40,22,7,3,15,17,23,62,.371,4,21,.190,19,41,.463,.403,11,15,.733,7,15,22,10,8,3,13,24
DePaul,11,2016-12-19,,Southeast Missouri State,REG (Non-Conf),W,81,78,,28,53,.528,9,22,.409,19,31,.613,.613,16,20,.800,6,24,30,20,3,0,12,14,27,53,.509,13,30,.433,14,23,.609,.632,11,13,.846,2,21,23,18,4,1,13,20
DePaul,12,2016-12-22,N,Wyoming,REG (Non-Conf),L,58,72,,20,71,.282,4,15,.267,16,56,.286,.310,14,20,.700,11,21,32,5,11,2,14,21,24,57,.421,6,25,.240,18,32,.563,.474,18,22,.818,8,36,44,12,4,6,22,18
DePaul,13,2016-12-23,N,Missouri State,REG (Non-Conf),L,58,69,,18,57,.316,4,23,.174,14,34,.412,.351,18,21,.857,13,16,29,9,7,3,12,23,25,53,.472,1,16,.063,24,37,.649,.481,18,26,.692,12,25,37,15,5,1,16,18
DePaul,14,2016-12-28,@,Villanova,REG (Conf),L,65,68,,28,65,.431,3,17,.176,25,48,.521,.454,6,7,.857,8,22,30,11,5,2,7,23,21,42,.500,8,26,.308,13,16,.813,.595,18,26,.692,3,25,28,12,4,3,14,16
DePaul,15,2017-01-01,,St. John's (NY),REG (Conf),L,73,79,,25,59,.424,9,21,.429,16,38,.421,.500,14,16,.875,12,19,31,9,5,1,15,22,27,57,.474,9,23,.391,18,34,.529,.553,16,21,.762,10,21,31,18,9,9,12,16
DePaul,16,2017-01-07,@,Seton Hall,REG (Conf),L,56,87,,20,54,.370,4,14,.286,16,40,.400,.407,12,20,.600,8,15,23,4,11,2,16,16,33,61,.541,13,28,.464,20,33,.606,.648,8,16,.500,12,27,39,21,9,3,15,18
DePaul,17,2017-01-10,,Providence,REG (Conf),W,64,63,,22,48,.458,2,12,.167,20,36,.556,.479,18,21,.857,7,19,26,12,14,4,16,19,20,47,.426,5,17,.294,15,30,.500,.479,18,22,.818,6,19,25,12,10,1,19,21
DePaul,18,2017-01-14,@,Marquette,REG (Conf),L,58,83,,19,50,.380,6,14,.429,13,36,.361,.440,14,20,.700,4,12,16,13,4,1,9,13,30,48,.625,13,27,.481,17,21,.810,.760,10,14,.714,5,25,30,22,4,3,10,19
DePaul,19,2017-01-16,@,St. John's (NY),REG (Conf),L,68,78,,24,59,.407,5,14,.357,19,45,.422,.449,15,16,.938,9,21,30,13,6,4,16,18,25,55,.455,12,22,.545,13,33,.394,.564,16,25,.640,7,21,28,18,6,8,10,16
DePaul,20,2017-01-21,,Butler,REG (Conf),L,69,70,OT,22,56,.393,11,24,.458,11,32,.344,.491,14,24,.583,6,31,37,9,3,6,12,20,23,64,.359,6,24,.250,17,40,.425,.406,18,26,.692,9,31,40,10,7,4,5,23
DePaul,21,2017-01-28,@,Creighton,REG (Conf),L,66,83,,23,61,.377,9,22,.409,14,39,.359,.451,11,14,.786,9,17,26,16,11,2,13,20,29,52,.558,7,21,.333,22,31,.710,.625,18,26,.692,5,29,34,20,5,1,17,13
DePaul,22,2017-01-31,,Georgetown,REG (Conf),L,73,76,,28,64,.438,6,19,.316,22,45,.489,.484,11,16,.688,13,17,30,11,11,3,13,22,24,44,.545,9,20,.450,15,24,.625,.648,19,27,.704,4,25,29,15,3,4,20,22
DePaul,23,2017-02-04,,Marquette,REG (Conf),L,79,92,,29,62,.468,8,22,.364,21,40,.525,.532,13,15,.867,9,18,27,19,7,3,7,17,30,52,.577,14,22,.636,16,30,.533,.712,18,21,.857,6,25,31,22,2,8,11,15
DePaul,24,2017-02-08,@,Xavier,REG (Conf),L,61,72,,24,55,.436,7,24,.292,17,31,.548,.500,6,8,.750,8,14,22,12,9,2,17,20,26,53,.491,8,19,.421,18,34,.529,.566,12,18,.667,12,23,35,20,6,0,19,13
DePaul,25,2017-02-11,,Creighton,REG (Conf),L,58,93,,17,55,.309,5,19,.263,12,36,.333,.355,19,23,.826,10,19,29,9,9,1,17,15,34,56,.607,13,22,.591,21,34,.618,.723,12,17,.706,4,28,32,24,4,3,16,17
DePaul,26,2017-02-13,,Villanova,REG (Conf),L,62,75,,22,58,.379,8,26,.308,14,32,.438,.448,10,16,.625,10,26,36,11,5,6,14,24,21,48,.438,7,20,.350,14,28,.500,.510,26,32,.813,5,24,29,12,7,5,10,15
DePaul,27,2017-02-19,@,Butler,REG (Conf),L,66,82,,24,49,.490,5,17,.294,19,32,.594,.541,13,18,.722,3,20,23,7,4,2,11,16,33,58,.569,7,20,.350,26,38,.684,.629,9,14,.643,5,22,27,18,6,2,6,16
DePaul,28,2017-02-22,@,Georgetown,REG (Conf),W,67,65,,25,53,.472,7,15,.467,18,38,.474,.538,10,16,.625,11,19,30,13,6,4,12,23,21,49,.429,3,13,.231,18,36,.500,.459,20,24,.833,7,21,28,13,3,3,12,19
DePaul,29,2017-02-25,,Seton Hall,REG (Conf),L,79,82,,28,53,.528,7,17,.412,21,36,.583,.594,16,20,.800,4,17,21,14,7,2,16,25,28,49,.571,7,21,.333,21,28,.750,.643,19,28,.679,4,19,23,16,10,3,15,17
DePaul,30,2017-02-28,@,Providence,REG (Conf),L,64,73,,24,49,.490,4,13,.308,20,36,.556,.531,12,22,.545,6,20,26,9,7,3,21,25,22,55,.400,5,17,.294,17,38,.447,.445,24,28,.857,11,25,36,12,10,3,17,21
DePaul,31,2017-03-04,,Xavier,REG (Conf),L,65,79,,20,50,.400,6,21,.286,14,29,.483,.460,19,26,.731,8,22,30,7,5,1,15,22,28,62,.452,10,29,.345,18,33,.545,.532,13,21,.619,14,22,36,13,8,0,9,19
DePaul,32,2017-03-08,N,Xavier,CTOURN,L,64,75,,25,63,.397,4,17,.235,21,46,.457,.429,10,16,.625,15,18,33,10,7,2,13,19,29,59,.492,6,24,.250,23,35,.657,.542,11,19,.579,8,22,30,16,5,3,11,14
Detroit Mercy,1,2016-11-11,,Adrian,REG (Non-Conf),W,99,69,,34,70,.486,12,29,.414,22,41,.537,.571,19,32,.594,18,23,41,17,6,3,9,16,28,55,.509,9,17,.529,19,38,.500,.591,4,14,.286,6,24,30,4,2,1,17,24
Detroit Mercy,2,2016-11-14,@,East Tennessee State,REG (Non-Conf),L,78,107,,26,62,.419,12,22,.545,14,40,.350,.516,14,25,.560,5,13,18,12,4,1,12,22,41,60,.683,8,21,.381,33,39,.846,.750,17,25,.680,6,34,40,21,7,6,15,22
Detroit Mercy,3,2016-11-18,@,Illinois,REG (Non-Conf),L,69,89,,24,56,.429,5,21,.238,19,35,.543,.473,16,23,.696,3,24,27,8,2,4,15,29,27,52,.519,8,19,.421,19,33,.576,.596,27,38,.711,5,31,36,10,6,1,15,21
Detroit Mercy,4,2016-11-20,@,Florida State,REG (Non-Conf),L,71,100,,28,68,.412,8,22,.364,20,46,.435,.471,7,13,.538,11,18,29,14,4,2,16,22,40,70,.571,1,14,.071,39,56,.696,.579,19,26,.731,11,28,39,18,11,6,8,14
Detroit Mercy,5,2016-11-23,@,New Hampshire,REG (Non-Conf),L,70,86,,26,57,.456,4,16,.250,22,41,.537,.491,14,21,.667,3,22,25,10,2,1,8,30,26,51,.510,7,20,.350,19,31,.613,.578,27,37,.730,6,30,36,11,2,0,6,19
Detroit Mercy,6,2016-11-26,,Manhattan,REG (Non-Conf),L,81,84,2OT,28,61,.459,9,19,.474,19,42,.452,.533,16,31,.516,8,24,32,14,4,3,14,30,28,57,.491,8,18,.444,20,39,.513,.561,20,30,.667,9,30,39,10,4,4,18,35
Detroit Mercy,7,2016-11-30,,Eastern Michigan,REG (Non-Conf),L,61,87,,19,50,.380,4,22,.182,15,28,.536,.420,19,27,.704,9,23,32,12,5,3,18,24,32,65,.492,7,21,.333,25,44,.568,.546,16,26,.615,13,21,34,16,12,2,8,22
Detroit Mercy,8,2016-12-03,@,Murray State,REG (Non-Conf),L,76,86,,27,57,.474,6,17,.353,21,40,.525,.526,16,23,.696,8,24,32,13,4,2,17,28,27,61,.443,7,23,.304,20,38,.526,.500,25,34,.735,11,25,36,14,4,1,10,20
Detroit Mercy,9,2016-12-07,@,Toledo,REG (Non-Conf),L,65,73,,26,62,.419,1,15,.067,25,47,.532,.427,12,21,.571,10,28,38,7,7,2,13,28,21,52,.404,8,24,.333,13,28,.464,.481,23,36,.639,7,24,31,14,4,5,13,19
Detroit Mercy,10,2016-12-10,@,Bowling Green,REG (Non-Conf),L,61,74,,23,56,.411,2,15,.133,21,41,.512,.429,13,18,.722,10,26,36,9,6,0,18,24,26,57,.456,9,25,.360,17,32,.531,.535,13,25,.520,9,22,31,13,11,4,14,18
Detroit Mercy,11,2016-12-17,,Western Kentucky,REG (Non-Conf),W,85,79,,33,63,.524,12,20,.600,21,43,.488,.619,7,13,.538,9,18,27,15,8,2,9,16,30,62,.484,10,26,.385,20,36,.556,.565,9,12,.750,12,25,37,16,3,5,15,14
Detroit Mercy,12,2016-12-22,,IPFW,REG (Non-Conf),L,86,93,,29,62,.468,15,30,.500,14,32,.438,.589,13,17,.765,7,19,26,18,7,2,21,27,32,59,.542,7,17,.412,25,42,.595,.602,22,29,.759,12,25,37,14,10,4,18,16
Detroit Mercy,13,2016-12-29,,Northern Kentucky,REG (Conf),L,70,81,,27,60,.450,6,17,.353,21,43,.488,.500,10,13,.769,8,19,27,11,6,10,10,16,26,61,.426,14,30,.467,12,31,.387,.541,15,23,.652,16,23,39,12,5,5,10,17
Detroit Mercy,14,2016-12-31,,Wright State,REG (Conf),L,72,85,,25,50,.500,7,20,.350,18,30,.600,.570,15,20,.750,7,15,22,10,8,3,16,18,29,52,.558,12,21,.571,17,31,.548,.673,15,19,.789,5,20,25,21,6,0,13,16
Detroit Mercy,15,2017-01-06,@,Illinois–Chicago,REG (Conf),L,64,78,,24,63,.381,6,21,.286,18,42,.429,.429,10,14,.714,9,14,23,11,10,5,16,21,26,45,.578,8,15,.533,18,30,.600,.667,18,23,.783,5,29,34,19,6,11,23,16
Detroit Mercy,16,2017-01-08,@,Valparaiso,REG (Conf),L,74,81,,29,71,.408,12,27,.444,17,44,.386,.493,4,9,.444,13,17,30,17,12,1,16,31,22,42,.524,4,15,.267,18,27,.667,.571,33,42,.786,7,30,37,17,11,4,20,14
Detroit Mercy,17,2017-01-13,@,Oakland,REG (Conf),W,93,88,,34,73,.466,3,20,.150,31,53,.585,.486,22,27,.815,13,21,34,16,12,1,17,29,27,56,.482,6,26,.231,21,30,.700,.536,28,38,.737,12,25,37,16,12,6,25,23
