Team 1,Team 2,Date,Win Probability
Ohio State,Villanova,2022-03-20,0.336755444183057
Notre Dame,West Virginia,2017-03-18,0.5781896356178609
Louisiana,Tennessee,2023-03-16,0.412051018500375
Gonzaga,South Dakota State,2017-03-16,0.8442783869926459
Florida Atlantic,Tennessee,2023-03-23,0.5097133657370648
Alabama,Texas A&M-Corpus Christi,2023-03-16,0.6521969878104803
Colgate,Wisconsin,2022-03-18,0.683579026377276
Coastal Carolina,Wisconsin,2015-03-20,0.2889318358876259
FDU,Florida Atlantic,2023-03-19,0.4400334676962528
Gonzaga,Utah,2016-03-19,0.4690928770955864
Michigan,Villanova,2022-03-24,0.31201928920100336
George Washington,Memphis,2014-03-21,0.4103460687082871
North Carolina,Providence,2014-03-21,0.513235965029641
Georgia State,Xavier,2015-03-21,0.6833689198510287
Gonzaga,UCLA,2021-04-03,0.7446851497369598
Cincinnati,Kentucky,2015-03-21,0.26849140801887456
Arizona,Weber State,2014-03-21,0.7772644371368268
Florida,Virginia Tech,2021-03-19,0.37338907583263115
Wisconsin,Xavier,2016-03-20,0.42538356202271477
Baylor,Colgate,2024-03-22,0.5159337705746178
Butler,Virginia,2016-03-19,0.4213784938056949
Hampton,Virginia,2016-03-17,0.1536166587987669
Michigan,Tennessee,2014-03-28,0.35748047706423586
San Diego State,UAB,2024-03-22,0.5594104063370624
Gonzaga,Kansas,2024-03-23,0.8165157648865916
Maryland,West Virginia,2015-03-22,0.46156907735147534
Kansas,Maryland,2016-03-24,0.4601681118594488
Duke,Vermont,2024-03-22,0.6368943812988246
Saint Peter's,Tennessee,2024-03-21,0.21481848631978867
Colgate,Texas,2023-03-16,0.6217599587784547
Miami (FL),Wichita State,2016-03-19,0.5168232421760264
Auburn,Kansas,2019-03-23,0.7876387045520423
Auburn,College of Charleston,2018-03-16,0.5924309113023444
Kansas State,Loyola (IL),2018-03-24,0.4448647512214858
Cal State Bakersfield,Oklahoma,2016-03-18,0.4653064190798279
Duke,North Dakota State,2019-03-22,0.9202371149763685
Texas Southern,Xavier,2018-03-16,0.18731575311312004
NC State,Texas Tech,2024-03-21,0.6199528425024797
Florida State,Xavier,2018-03-18,0.46117917110183704
Arizona State,Buffalo,2019-03-22,0.1294556376486735
Louisville,Minnesota,2019-03-21,0.3656995550585193
Kentucky,Louisville,2014-03-28,0.3375421602536414
Duke,Wisconsin,2015-04-06,0.6018682409808281
Florida State,Vermont,2019-03-21,0.3852527703862387
Auburn,Virginia,2019-04-06,0.5321525862699761
Florida,Wisconsin,2017-03-24,0.4998202728112667
Seton Hall,Wofford,2019-03-21,0.13795469971620103
Gonzaga,Purdue,2024-03-29,0.6151346519289467
Davidson,Iowa,2015-03-20,0.5570323972252882
Clemson,Rutgers,2021-03-19,0.28766642262341696
Oklahoma,Virginia Commonwealth,2016-03-20,0.596505062159524
Kansas,Villanova,2018-03-31,0.3514056519622867
Brigham Young,Oregon,2014-03-20,0.5409657718559001
Cal State Fullerton,Purdue,2018-03-16,0.07022281031351206
Gonzaga,Memphis,2022-03-19,0.7478882409605541
Notre Dame,Stephen F. Austin,2016-03-20,0.5004785555907326
Cincinnati,Saint Joseph's,2016-03-18,0.8050321148303434
Boise State,Memphis,2022-03-17,0.4404096305846533
Florida Gulf Coast,Florida State,2017-03-16,0.3877955645365961
Florida,UCLA,2014-03-27,0.5822270438129702
Connecticut,Stetson,2024-03-22,0.8251026823304618
Kansas,Samford,2024-03-21,0.36126173108695975
Iowa State,Ohio State,2019-03-22,0.8037146529493296
Kentucky,Wisconsin,2014-04-05,0.5177554739262236
Florida State,Missouri,2018-03-16,0.5427319677594841
Clemson,New Mexico State,2018-03-16,0.29555176126541444
North Dakota State,Oklahoma,2014-03-20,0.6591428140767791
Louisiana State,Michigan,2021-03-22,0.3933139326034238
Gonzaga,TCU,2023-03-19,0.7471290058225113
James Madison,Wisconsin,2024-03-22,0.811125080545418
Iowa,Villanova,2016-03-20,0.5772948186636587
Dayton,Stanford,2014-03-27,0.4007191699889022
Duke,San Diego State,2015-03-22,0.8351637466647482
North Carolina,Washington,2019-03-24,0.69141715537265
Gonzaga,West Virginia,2017-03-23,0.6622690308669891
Arizona State,TCU,2023-03-17,0.4182189290778389
