Team 1,Team 2,Date,Win Probability
Arizona,Princeton,2023-03-16,0.4557134578172197
Baylor,Georgia State,2015-03-19,0.6818797356147741
Mississippi,Oklahoma,2019-03-22,0.6033466066950743
Gonzaga,Southern California,2021-03-30,0.6391313778559539
Maryland,West Virginia,2023-03-16,0.6173865770334063
Stephen F. Austin,UCLA,2014-03-23,0.5885151263497542
Eastern Washington,Kansas,2021-03-20,0.2407592180006063
Houston,Texas A&M,2024-03-24,0.9105856145394713
Florida,South Carolina,2017-03-26,0.7869834714151996
Gonzaga,McNeese State,2024-03-21,0.6569284109581329
Michigan,Notre Dame,2016-03-18,0.35089560846311985
Saint Mary's (CA),Virginia Commonwealth,2017-03-16,0.7435701316712975
Duke,Kansas,2018-03-25,0.6965782291002656
Auburn,Clemson,2018-03-18,0.5458006676108793
Duke,Michigan State,2019-03-31,0.6858104220341545
Ohio State,South Dakota State,2018-03-15,0.44731583853287027
Florida,Pittsburgh,2014-03-22,0.6039362878528766
Arkansas,Seton Hall,2017-03-17,0.6237960120162114
Kentucky,Notre Dame,2015-03-28,0.7806565860967991
Nevada,Texas,2018-03-16,0.5967720612943511
Kentucky,Northern Kentucky,2017-03-17,0.6737641991919926
Florida State,Michigan,2018-03-24,0.4368500498166665
Michigan,Montana,2018-03-15,0.7364274723688847
Connecticut,Illinois,2024-03-30,0.7558313740653003
Dayton,Wichita State,2017-03-17,0.19907507552721201
Florida,Michigan,2019-03-23,0.44831637358700266
Howard,Kansas,2023-03-16,0.3012307632563549
Alabama,Clemson,2024-03-30,0.5256400042326015
Houston,Villanova,2022-03-26,0.8486625306511005
Duke,Robert Morris,2015-03-20,0.9266251348012042
Kent State,UCLA,2017-03-17,0.22745555168025053
Maryland,Valparaiso,2015-03-20,0.18735160796416203
Southern California,Southern Methodist,2017-03-17,0.34581476273068196
Gonzaga,Norfolk State,2021-03-20,0.8704073988337365
Albany (NY),Oklahoma,2015-03-20,0.27034330513119686
Kansas State,Montana State,2023-03-17,0.45263792209654125
Buffalo,West Virginia,2015-03-20,0.7150866591296643
Florida Atlantic,Northwestern,2024-03-22,0.6575129713371015
Arizona,TCU,2022-03-20,0.7427839760124826
Notre Dame,Wichita State,2015-03-26,0.6272181106763701
Creighton,Oregon,2024-03-23,0.6534452885725754
Loyola (IL),Miami (FL),2018-03-15,0.3413279704946175
Clemson,Kansas,2018-03-23,0.21769148750714098
Florida State,Xavier,2017-03-18,0.7116187536862776
Duke,Yale,2016-03-19,0.6176021296122265
Kentucky,Wofford,2019-03-23,0.2654522025780223
Auburn,Kentucky,2019-03-31,0.6399277267259995
Gonzaga,North Carolina,2017-04-03,0.4984251026012672
Georgia Tech,Loyola (IL),2021-03-19,0.5435927471931977
Texas Tech,Utah State,2021-03-19,0.36000864406797684
