Name,Game,Opponent,Site,Outcome,Date,ORtg,DRtg,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FTr,oeFG%,oTOV%,oDRB%,oFTr,Pace,o3PAr
Central Connecticut State,9,NON-FBS-SCHOOL,@,0,2016-12-13,90.75015893197711,106.41479732388824,0.2465483234714004,0.492921270718232,0.4731182795698925,0.6121495327102804,0.07083825265643448,0.07033639143730887,0.46548323471400394,0.19707565162110616,0.2569444444444444,0.29980276134122286,0.5575815738963532,0.1951987406532861,0.7430555555555556,0.28790786948176583,1264.45,0.3723608445297505
Central Connecticut State,10,Massachusetts-Lowell,@,0,2016-12-18,91.22656973843631,107.18053308952808,0.24064171122994651,0.49570133994268456,0.4768211920529801,0.5840336134453782,0.07454813981292636,0.06944444444444445,0.4661319073083779,0.20240895160715555,0.26791277258566976,0.3172905525846702,0.5777972027972028,0.19973275195161402,0.7320872274143302,0.28321678321678323,1412.5,0.3706293706293706
Central Connecticut State,11,Fordham,@,0,2016-12-21,90.3663062772309,107.83563042368556,0.24958949096880131,0.4988419739889542,0.47465437788018433,0.5984555984555985,0.07784583971413986,0.06666666666666667,0.4696223316912972,0.21300629336775856,0.26512968299711814,0.32019704433497537,0.5856,0.2105666156202144,0.7348703170028819,0.2816,1558.2250000000001,0.376
Central Connecticut State,12,NON-FBS-SCHOOL,@,0,2016-12-29,89.20510597590504,108.45049578215185,0.24316109422492402,0.49255554455118683,0.4591549295774648,0.5848375451263538,0.0805091016723398,0.06220095693779904,0.4627659574468085,0.20806552868374636,0.25132275132275134,0.31762917933130697,0.5835798816568047,0.20600858369098712,0.7486772486772487,0.28846153846153844,1680.9,0.3816568047337278
Central Connecticut State,13,St. Francis (NY),@,0,2016-12-31,90.10537840426987,108.59728506787332,0.23553719008264462,0.48849977741504674,0.47006369426751593,0.5625,0.0802015877746769,0.06040268456375839,0.45867768595041325,0.20254550431093468,0.27014218009478674,0.33746556473829203,0.5791268758526603,0.20050396943669224,0.7298578199052133,0.3178717598908595,1836.0500000000002,0.39017735334242837
Central Connecticut State,14,Sacred Heart,,0,2017-01-05,90.40067417451925,107.4867658179985,0.23730964467005075,0.4852106691521149,0.4711425206124853,0.5454545454545454,0.08570708343836653,0.06570841889117043,0.45685279187817257,0.19816644960290097,0.2748917748917749,0.33121827411167515,0.5724269377382465,0.19561381396521302,0.7251082251082251,0.3176620076238882,1970.7250000000001,0.3811944091486658
Central Connecticut State,15,Mount St. Mary's,,0,2017-01-07,91.28789692992959,108.0238162744542,0.23159144893111638,0.48824222552384855,0.4714285714285714,0.5365168539325843,0.08505812305075136,0.06297709923664122,0.45902612826603323,0.19445375736385842,0.27439024390243905,0.334916864608076,0.5720238095238095,0.19185332199225028,0.725609756097561,0.32857142857142857,2102.05,0.3761904761904762
Central Connecticut State,16,Long Island University,@,0,2017-01-12,90.50877311835241,107.37955503983221,0.22808988764044943,0.48590063768397057,0.4661885245901639,0.5415549597855228,0.08658201861067102,0.0632688927943761,0.4556179775280899,0.19601201363954565,0.27167630057803466,0.33370786516853934,0.5591160220994476,0.19369379421150115,0.7283236994219653,0.31712707182320443,2227.3999999999996,0.3712707182320442
Central Connecticut State,17,FDU,,0,2017-01-14,89.96183697097038,106.91291087766861,0.23168103448275862,0.48607571474908484,0.46608527131782945,0.5424164524421594,0.08217553371738395,0.06467661691542288,0.45635775862068967,0.19981990480682646,0.26838235294117646,0.3426724137931034,0.5521376433785193,0.1973907150118604,0.7316176470588235,0.3169968717413973,2346.45,0.37122002085505734
Central Connecticut State,18,Robert Morris,@,0,2017-01-19,90.57890144674634,107.1049203326987,0.23716632443531827,0.4920309503339726,0.4675925925925926,0.5326876513317191,0.08177172061328791,0.06279434850863422,0.4620123203285421,0.20534464216869913,0.2719298245614035,0.3459958932238193,0.554013875123885,0.20282593446237102,0.7280701754385965,0.32210109018830524,2479.45,0.3686818632309217
Central Connecticut State,19,Saint Francis (PA),@,1,2017-01-21,91.6520278011151,107.11252854258271,0.24615384615384617,0.4978013772504771,0.4734088927637315,0.5292792792792793,0.08303296786246722,0.06360946745562131,0.46923076923076923,0.2069808294508516,0.2778702163061564,0.3346153846153846,0.5512581547064306,0.2045630390066238,0.7221297836938436,0.32525629077353213,2634.075,0.3699906803355079
Central Connecticut State,20,Bryant,,0,2017-01-25,91.39275563005612,106.93568726355613,0.24954792043399637,0.49172613912634305,0.47818930041152263,0.5214592274678111,0.08286795172041075,0.06876790830945559,0.4629294755877034,0.20479556883609068,0.2866043613707165,0.321880650994575,0.5495093666369313,0.20248603855161235,0.7133956386292835,0.33006244424620873,2759.8499999999995,0.3773416592328278
Central Connecticut State,21,Long Island University,,1,2017-01-28,91.51486681629174,105.55612823420266,0.2480553154710458,0.4910655936665609,0.4781591263650546,0.5081967213114754,0.08384015393602035,0.06712328767123288,0.46326707000864303,0.20529951110879135,0.29056047197640117,0.331028522039758,0.5439419795221843,0.2027282410748033,0.7094395280235988,0.3361774744027304,2892.075,0.3771331058020478
